tick,strategy_0_fraction,strategy_1_fraction,mean_trust,coordination_rate,num_interactions,strategy_switches,converged,majority_strategy,majority_fraction,mean_memory_window,norm_level,belief_error,belief_variance,norm_adoption_rate,mean_norm_strength,mean_ddm_evidence,total_anomalies,norm_crises,enforcement_events,norm_crystallisations,correct_norm_rate,mean_compliance
0,0.51,0.49,0.43599999999999994,0.46,50,55,False,0,0.51,3.43,0,0.49979999999999997,0.2499,0.0,0.0,0.0,0,0,0,0,0.0,0.0
1,0.51,0.49,0.40579999999999994,0.54,50,54,False,0,0.51,2.97,0,0.27440000000000003,0.1349,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2,0.56,0.44,0.3788600000000001,0.48,50,25,False,0,0.56,3.0,0,0.24019999999999997,0.08669722222222219,0.0,0.0,0.0,0,0,0,0,0.0,0.0
3,0.48,0.52,0.362408,0.44,50,28,False,1,0.52,3.01,0,0.25983333333333336,0.09209097222222225,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4,0.57,0.43,0.3350676,0.54,50,41,False,0,0.57,2.82,0,0.26476666666666676,0.10151319444444441,0.0,0.0,0.0,0,0,0,0,0.0,0.0
5,0.56,0.44,0.31468448000000004,0.52,50,35,False,0,0.56,2.79,0,0.22209999999999996,0.07862430555555555,0.0,0.0,0.0,0,0,0,0,0.0,0.0
6,0.53,0.47,0.298199557,0.5,50,41,False,0,0.53,2.68,0,0.2864333333333333,0.12100763888888888,0.0,0.0,0.0,0,0,0,0,0.0,0.0
7,0.57,0.43,0.2920701451,0.54,50,44,False,0,0.57,2.63,0,0.2872666666666667,0.12209444444444445,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8,0.55,0.45,0.29004211846,0.54,50,32,False,0,0.55,2.66,0,0.2701666666666666,0.11306875,0.0,0.0,0.0,0,0,0,0,0.0,0.0
9,0.53,0.47,0.266457629287,0.38,50,38,False,0,0.53,2.56,0,0.22743333333333335,0.09006319444444447,0.0,0.0,0.0,0,0,0,0,0.0,0.0
10,0.61,0.39,0.26701654285599996,0.54,50,44,False,0,0.61,2.56,0,0.2669,0.10602430555555556,0.0,0.0,0.0,0,0,0,0,0.0,0.0
11,0.57,0.43,0.25989283602868,0.38,50,38,False,0,0.57,2.54,0,0.2315,0.08644097222222223,0.0,0.0,0.0,0,0,0,0,0.0,0.0
12,0.61,0.39,0.27108760372501,0.62,50,44,False,0,0.61,2.56,0,0.3152333333333333,0.1341743055555555,0.0,0.0,0.0,0,0,0,0,0.0,0.0
13,0.68,0.32,0.2700777723662922,0.48,50,33,False,0,0.68,2.6,0,0.23199999999999998,0.0796277777777778,0.0,0.0,0.0,0,0,0,0,0.0,0.0
14,0.56,0.44,0.27355227359116957,0.64,50,34,False,0,0.56,2.56,0,0.3014,0.1234972222222222,0.0,0.0,0.0,0,0,0,0,0.0,0.0
15,0.64,0.36,0.2718162179982868,0.44,50,34,False,0,0.64,2.59,0,0.2608333333333333,0.10231319444444446,0.0,0.0,0.0,0,0,0,0,0.0,0.0
16,0.59,0.41,0.26340529730825035,0.5,50,41,False,0,0.59,2.51,0,0.2637333333333334,0.10358055555555555,0.0,0.0,0.0,0,0,0,0,0.0,0.0
17,0.65,0.35,0.2624566008673382,0.42,50,38,False,0,0.65,2.58,0,0.241,0.08766388888888889,0.0,0.0,0.0,0,0,0,0,0.0,0.0
18,0.61,0.39,0.25882701566660254,0.5,50,40,False,0,0.61,2.54,0,0.26733333333333337,0.10475277777777778,0.0,0.0,0.0,0,0,0,0,0.0,0.0
19,0.64,0.36,0.26140414356802194,0.48,50,39,False,0,0.64,2.52,0,0.2610666666666666,0.09984444444444444,0.0,0.0,0.0,0,0,0,0,0.0,0.0
20,0.66,0.34,0.2730271775218942,0.56,50,36,False,0,0.66,2.58,0,0.2575,0.09765208333333333,0.0,0.0,0.0,0,0,0,0,0.0,0.0
21,0.67,0.33,0.27657016542997,0.62,50,35,False,0,0.67,2.58,0,0.27213333333333334,0.10519166666666666,0.0,0.0,0.0,0,0,0,0,0.0,0.0
22,0.65,0.35,0.2805335779034089,0.5,50,34,False,0,0.65,2.61,0,0.2418333333333333,0.09334097222222221,0.0,0.0,0.0,0,0,0,0,0.0,0.0
23,0.62,0.38,0.29560317931490937,0.68,50,37,False,0,0.62,2.64,0,0.2877,0.11531875000000003,0.0,0.0,0.0,0,0,0,0,0.0,0.0
24,0.66,0.34,0.29394761522851115,0.52,50,34,False,0,0.66,2.66,0,0.24053333333333332,0.09396111111111112,0.0,0.0,0.0,0,0,0,0,0.0,0.0
25,0.53,0.47,0.2922698757103049,0.54,50,35,False,0,0.53,2.7,0,0.27366666666666667,0.1057666666666667,0.0,0.0,0.0,0,0,0,0,0.0,0.0
