agent,tick,from,to,bexp_A,sigma,e,C
16,50,uncr,crA,1.0,0.8,3.233,0.5926
70,50,crB,uncr,1.0,0.0,0.0,0.5536
74,50,uncr,crA,1.0,0.8,3.18,0.5993
60,51,crB,uncr,1.0,0.0,0.0,0.5767
73,51,uncr,crA,0.75,0.8,3.033,0.596
83,51,uncr,crA,1.0,0.8,3.091,0.6851
88,51,uncr,crA,1.0,0.8,3.127,0.7514
14,52,uncr,crA,1.0,0.8,3.032,0.6991
19,52,crB,uncr,1.0,0.0,0.0,0.5374
26,52,uncr,crA,1.0,0.8,3.112,0.5877
68,54,crB,uncr,1.0,0.0,0.0,0.5455
36,55,uncr,crA,1.0,0.8,3.209,0.6479
43,55,crB,uncr,1.0,0.0,0.0,0.6727
58,56,uncr,crA,1.0,0.8,3.115,0.7936
99,58,uncr,crA,1.0,0.8,3.177,0.811
100,59,uncr,crA,1.0,0.8,3.051,0.8629
70,61,uncr,crA,1.0,0.8,3.082,0.7139
19,65,uncr,crA,1.0,0.8,3.105,0.8824
60,66,uncr,crA,1.0,0.8,3.025,0.9128
20,67,uncr,crA,1.0,0.8,3.031,0.9632
68,67,uncr,crA,1.0,0.8,3.051,0.8845
56,85,uncr,crA,1.0,0.8,3.003,0.9931
