N,topology,degree_k,rewire_p,trial,converged,conv_tick,total_ticks,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err
100,roundrobin,4,0.0,19,true,24,224,1.0,1.0,100,0.9280829635446728,0.0
100,roundrobin,4,0.0,35,true,26,226,1.0,1.0,99,0.9275354277922772,0.0
100,roundrobin,4,0.0,10,true,47,247,1.0,1.0,99,0.8963963188643879,0.0
100,roundrobin,4,0.0,39,true,44,244,1.0,1.0,98,0.8887277407605586,0.0
100,roundrobin,4,0.0,13,true,61,261,1.0,1.0,100,0.8809197033807363,0.0
100,roundrobin,4,0.0,48,true,28,228,1.0,1.0,100,0.9274708276742649,0.0
100,roundrobin,4,0.0,26,true,28,228,1.0,1.0,100,0.9244268644876844,0.0
100,roundrobin,4,0.0,42,true,20,220,1.0,1.0,100,0.9275865569894434,0.0
100,roundrobin,4,0.0,34,true,17,217,1.0,1.0,100,0.9277394108927871,0.0
100,roundrobin,4,0.0,5,true,63,263,1.0,1.0,98,0.8696168239284285,0.0
100,roundrobin,4,0.0,17,true,34,234,1.0,1.0,100,0.926919448841379,0.0
100,roundrobin,4,0.0,29,true,27,227,1.0,1.0,99,0.9283190364445141,0.0
100,roundrobin,4,0.0,38,true,38,238,1.0,1.0,100,0.9126301742654719,0.0
100,roundrobin,4,0.0,2,true,29,229,1.0,1.0,99,0.9274717641751744,0.0
100,roundrobin,4,0.0,8,true,26,226,1.0,1.0,99,0.9280058567786592,0.0
100,roundrobin,4,0.0,23,true,46,246,1.0,1.0,100,0.8886524849573675,0.0
100,roundrobin,4,0.0,36,true,21,221,1.0,1.0,100,0.9276823311437574,0.0
100,roundrobin,4,0.0,20,true,19,219,1.0,1.0,100,0.928160648292165,0.0
100,roundrobin,4,0.0,50,true,25,225,1.0,1.0,100,0.9276087992702975,0.0
100,roundrobin,4,0.0,44,true,36,236,1.0,1.0,99,0.9127859878653071,0.0
100,roundrobin,4,0.0,40,true,59,259,1.0,1.0,100,0.8826561740726256,0.0
100,roundrobin,4,0.0,32,true,35,235,1.0,1.0,100,0.9235111724633938,0.0
100,roundrobin,4,0.0,14,true,40,240,1.0,1.0,99,0.9117360846818986,0.0
100,roundrobin,4,0.0,11,true,56,256,1.0,1.0,99,0.8632098715068087,0.0
100,roundrobin,4,0.0,6,true,30,230,1.0,1.0,99,0.9234258926321856,0.0
100,roundrobin,4,0.0,27,true,25,225,1.0,1.0,100,0.9279404938791893,0.0
100,roundrobin,4,0.0,45,true,54,254,1.0,1.0,99,0.870429468317695,0.0
100,roundrobin,4,0.0,24,true,42,242,1.0,1.0,98,0.8936724657044756,0.0
100,roundrobin,4,0.0,21,true,32,232,1.0,1.0,100,0.9276800301243117,0.0
100,roundrobin,4,0.0,9,true,39,239,1.0,1.0,99,0.9211912143327224,0.0
100,roundrobin,4,0.0,18,true,22,222,1.0,1.0,99,0.9286305946373785,0.0
100,roundrobin,4,0.0,15,true,31,231,1.0,1.0,99,0.9284950616565838,0.0
100,roundrobin,4,0.0,30,true,30,230,1.0,1.0,99,0.926259335827099,0.0
100,roundrobin,4,0.0,3,true,27,227,1.0,1.0,99,0.9270777306383255,0.0
100,roundrobin,4,0.0,12,true,19,219,1.0,1.0,99,0.9281332885954067,0.0
100,roundrobin,4,0.0,46,true,28,228,1.0,1.0,99,0.9282014486876767,0.0
100,ring,4,0.0,39,true,661,861,1.0,1.0,100,0.9566860905422433,0.0
100,ring,4,0.0,25,true,660,860,1.0,1.0,100,0.9434082985157395,0.0
100,ring,4,0.0,16,true,849,1049,1.0,1.0,100,0.9418052106932906,0.0
100,ring,4,0.0,10,true,758,958,1.0,1.0,100,0.9387940476357248,0.0
100,ring,4,0.0,49,true,907,1107,1.0,1.0,100,0.9623635242062752,0.0
