tick,fraction_A,coordination,n_uncr,n_cryst_A,n_cryst_B,new_cryst_A,new_cryst_B,dissolutions,bexp_all,bexp_uncr,bexp_crA,bexp_crB,beff_all,beff_uncr,beff_crA,beff_crB,C_all,C_uncr,C_crA,C_crB,sigma_crA,sigma_crB,anom_crA,anom_crB,compl_crA,compl_crB,e_uncr_mean,e_uncr_abs_mean
51,0.63,0.5,25,42,33,0,0,3,0.62,0.62,0.627,0.6111,0.6022,0.6636,0.7081,0.4208,0.2601,0.2342,0.3004,0.2282,0.4589,0.3278,4.88,4.97,0.291,0.1564,0.491,1.046
52,0.68,0.56,24,43,33,3,0,2,0.6475,0.4931,0.7035,0.6869,0.6259,0.6058,0.7206,0.5172,0.2626,0.2066,0.3249,0.2221,0.48,0.3287,4.35,5.67,0.2681,0.1388,0.196,0.954
53,0.69,0.62,27,42,31,1,0,4,0.6992,0.6173,0.7242,0.7366,0.652,0.5226,0.776,0.5965,0.2737,0.2334,0.3301,0.2326,0.4979,0.3152,4.33,5.9,0.3029,0.1438,0.219,0.862
54,0.65,0.5,29,41,30,0,0,2,0.6917,0.6379,0.7195,0.7056,0.7076,0.6306,0.8094,0.6429,0.2783,0.2426,0.33,0.2419,0.5051,0.3182,4.59,6.43,0.3253,0.1269,0.492,1.041
55,0.66,0.6,33,40,27,1,0,5,0.6608,0.6035,0.7083,0.6605,0.7075,0.6048,0.8377,0.6403,0.2957,0.2437,0.3527,0.2749,0.5116,0.3239,4.25,6.81,0.3308,0.1333,0.401,1.014
56,0.64,0.44,36,40,24,1,0,4,0.655,0.6343,0.6833,0.6389,0.6732,0.6046,0.8139,0.5417,0.2902,0.258,0.3449,0.2473,0.5121,0.3081,4.12,6.79,0.3314,0.1414,0.411,1.062
57,0.7,0.48,38,41,21,2,0,4,0.685,0.6425,0.6911,0.75,0.6772,0.6183,0.7795,0.5838,0.2839,0.271,0.3275,0.2222,0.533,0.3151,4.15,7.19,0.3232,0.1241,0.545,1.101
58,0.64,0.64,40,42,18,2,0,4,0.6842,0.6646,0.7202,0.6435,0.7046,0.6297,0.8036,0.6399,0.2946,0.2598,0.3483,0.2468,0.5532,0.3228,4.1,7.39,0.3452,0.1324,0.461,1.013
59,0.73,0.54,45,41,14,0,0,5,0.6883,0.6259,0.7805,0.619,0.7068,0.6548,0.8235,0.5319,0.2999,0.2718,0.3556,0.2269,0.5615,0.3007,4.17,7.0,0.384,0.1518,0.542,1.018
60,0.7,0.72,46,44,10,3,0,4,0.7158,0.6232,0.8049,0.75,0.7135,0.5705,0.8722,0.6729,0.316,0.2671,0.384,0.2417,0.5665,0.2535,3.89,5.8,0.3592,0.1225,0.476,1.055
61,0.76,0.64,46,46,8,2,0,2,0.7342,0.6957,0.788,0.6458,0.7449,0.6203,0.8869,0.6448,0.3305,0.2848,0.39,0.251,0.5659,0.2532,3.74,5.75,0.3735,0.0638,0.691,1.202
62,0.76,0.6,47,48,5,2,0,3,0.7625,0.734,0.783,0.8333,0.7674,0.6718,0.8659,0.7204,0.3358,0.2804,0.3984,0.2551,0.577,0.248,3.88,4.6,0.3734,0.0612,0.918,1.285
63,0.8,0.68,43,52,5,4,0,0,0.7842,0.7888,0.7756,0.8333,0.7961,0.7171,0.8628,0.7823,0.3526,0.2828,0.4188,0.2648,0.5957,0.2487,3.75,5.4,0.3703,0.0615,1.127,1.37
64,0.79,0.66,40,55,5,4,0,1,0.8008,0.7521,0.8288,0.8833,0.8198,0.7938,0.8422,0.7815,0.3681,0.2842,0.4377,0.2746,0.6177,0.2495,3.53,6.2,0.3964,0.0619,1.222,1.414
65,0.84,0.76,38,58,4,4,0,2,0.825,0.7632,0.8649,0.8333,0.8375,0.7383,0.9049,0.8021,0.4007,0.3116,0.4638,0.3319,0.6375,0.2472,3.34,6.5,0.42,0.0611,1.404,1.567
66,0.84,0.68,34,63,3,5,0,1,0.8275,0.777,0.8466,1.0,0.8507,0.7536,0.9039,0.8355,0.4217,0.335,0.4708,0.3723,0.6517,0.2452,3.25,6.67,0.4285,0.0601,1.596,1.617
67,0.91,0.86,29,69,2,6,0,1,0.8667,0.8506,0.8696,1.0,0.8612,0.7537,0.9041,0.9399,0.461,0.3802,0.4977,0.3666,0.6661,0.2451,3.06,6.5,0.4388,0.0601,1.745,1.79
68,0.89,0.78,22,76,2,7,0,0,0.8892,0.8712,0.8914,1.0,0.9042,0.8409,0.9215,0.9399,0.487,0.4265,0.506,0.43,0.6798,0.2451,2.89,7.5,0.4502,0.0601,1.875,1.875
69,0.95,0.9,17,81,2,5,0,0,0.9158,0.8824,0.9208,1.0,0.9304,0.848,0.9474,0.9399,0.5261,0.4711,0.5386,0.487,0.6815,0.2451,2.63,8.5,0.479,0.0601,1.94,1.94
70,0.96,0.92,14,85,1,4,0,1,0.9275,0.8512,0.9392,1.0,0.9479,0.8529,0.9636,0.9398,0.5649,0.4686,0.5816,0.5005,0.6886,0.2453,2.53,9.0,0.4884,0.0602,1.81,1.822
71,0.92,0.88,12,88,0,3,0,1,0.945,0.9028,0.9508,NaN,0.951,0.8492,0.9648,NaN,0.5921,0.5162,0.6024,NaN,0.6937,NaN,2.53,NaN,0.5023,NaN,1.974,1.974
72,0.96,0.92,8,92,0,4,0,0,0.9517,0.9583,0.9511,NaN,0.9641,0.8542,0.9736,NaN,0.6209,0.5773,0.6247,NaN,0.6997,NaN,2.47,NaN,0.5028,NaN,1.998,1.998
73,0.99,0.98,5,95,0,3,0,0,0.9608,1.0,0.9588,NaN,0.9725,1.0,0.9711,NaN,0.6549,0.6046,0.6576,NaN,0.7043,NaN,2.4,NaN,0.5153,NaN,1.849,1.849
74,0.99,0.98,4,96,0,1,0,0,0.9758,1.0,0.9748,NaN,0.9814,1.0,0.9806,NaN,0.687,0.7412,0.6848,NaN,0.7068,NaN,2.39,NaN,0.5316,NaN,1.893,1.893
75,1.0,1.0,3,97,0,1,0,0,0.9867,1.0,0.9863,NaN,0.9871,1.0,0.9867,NaN,0.7183,0.7568,0.7171,NaN,0.7092,NaN,2.36,NaN,0.5343,NaN,1.833,1.833
76,0.99,0.98,3,97,0,0,0,0,0.993,1.0,0.9928,NaN,0.9942,1.0,0.994,NaN,0.7439,0.7811,0.7427,NaN,0.7106,NaN,2.37,NaN,0.5426,NaN,1.982,1.982
77,1.0,1.0,2,98,0,1,0,0,0.995,1.0,0.9949,NaN,0.9977,1.0,0.9976,NaN,0.7695,0.7792,0.7693,NaN,0.713,NaN,2.35,NaN,0.5387,NaN,1.919,1.919
78,1.0,1.0,2,98,0,0,0,0,0.9975,1.0,0.9974,NaN,0.9983,1.0,0.9983,NaN,0.7926,0.8012,0.7924,NaN,0.7144,NaN,2.35,NaN,0.5468,NaN,2.009,2.009
79,1.0,1.0,2,98,0,0,0,0,0.9975,1.0,0.9974,NaN,0.9992,1.0,0.9991,NaN,0.8133,0.8211,0.8131,NaN,0.7158,NaN,2.35,NaN,0.5485,NaN,2.185,2.185
