tick,fraction_A,coordination,n_uncr,n_cryst_A,n_cryst_B,new_cryst_A,new_cryst_B,dissolutions,bexp_all,bexp_uncr,bexp_crA,bexp_crB,beff_all,beff_uncr,beff_crA,beff_crB,C_all,C_uncr,C_crA,C_crB,sigma_crA,sigma_crB,anom_crA,anom_crB,compl_crA,compl_crB,e_uncr_mean,e_uncr_abs_mean
143,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9998,NaN,0.9998,NaN,0.7949,NaN,2.3,NaN,0.65,NaN,NaN,NaN
144,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9998,NaN,0.9998,NaN,0.7959,NaN,2.3,NaN,0.6514,NaN,NaN,NaN
145,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9998,NaN,0.9998,NaN,0.797,NaN,2.3,NaN,0.6528,NaN,NaN,NaN
146,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9998,NaN,0.9998,NaN,0.798,NaN,2.3,NaN,0.6543,NaN,NaN,NaN
147,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9999,NaN,0.9999,NaN,0.799,NaN,2.3,NaN,0.6557,NaN,NaN,NaN
148,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9999,NaN,0.9999,NaN,0.8,NaN,2.3,NaN,0.6571,NaN,NaN,NaN
149,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9999,NaN,0.9999,NaN,0.801,NaN,2.3,NaN,0.6585,NaN,NaN,NaN
150,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9999,NaN,0.9999,NaN,0.802,NaN,2.3,NaN,0.66,NaN,NaN,NaN
151,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9999,NaN,0.9999,NaN,0.803,NaN,2.3,NaN,0.6614,NaN,NaN,NaN
152,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9999,NaN,0.9999,NaN,0.804,NaN,2.3,NaN,0.6628,NaN,NaN,NaN
153,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9999,NaN,0.9999,NaN,0.8049,NaN,2.3,NaN,0.6642,NaN,NaN,NaN
154,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9999,NaN,0.9999,NaN,0.8059,NaN,2.3,NaN,0.6656,NaN,NaN,NaN
155,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9999,NaN,0.9999,NaN,0.8069,NaN,2.3,NaN,0.667,NaN,NaN,NaN
156,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9999,NaN,0.9999,NaN,0.8078,NaN,2.3,NaN,0.6684,NaN,NaN,NaN
157,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9999,NaN,0.9999,NaN,0.8088,NaN,2.3,NaN,0.6697,NaN,NaN,NaN
158,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8098,NaN,2.3,NaN,0.6711,NaN,NaN,NaN
159,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8107,NaN,2.3,NaN,0.6725,NaN,NaN,NaN
160,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8117,NaN,2.3,NaN,0.6739,NaN,NaN,NaN
161,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8126,NaN,2.3,NaN,0.6753,NaN,NaN,NaN
162,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8135,NaN,2.3,NaN,0.6766,NaN,NaN,NaN
163,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8145,NaN,2.3,NaN,0.678,NaN,NaN,NaN
164,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8154,NaN,2.3,NaN,0.6793,NaN,NaN,NaN
165,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8163,NaN,2.3,NaN,0.6807,NaN,NaN,NaN
166,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8172,NaN,2.3,NaN,0.682,NaN,NaN,NaN
167,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8182,NaN,2.3,NaN,0.6834,NaN,NaN,NaN
168,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8191,NaN,2.3,NaN,0.6847,NaN,NaN,NaN
169,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.82,NaN,2.3,NaN,0.6861,NaN,NaN,NaN
170,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8209,NaN,2.3,NaN,0.6874,NaN,NaN,NaN
171,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8218,NaN,2.3,NaN,0.6887,NaN,NaN,NaN
172,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8227,NaN,2.3,NaN,0.69,NaN,NaN,NaN
173,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8235,NaN,2.3,NaN,0.6914,NaN,NaN,NaN
174,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8244,NaN,2.3,NaN,0.6927,NaN,NaN,NaN
175,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8253,NaN,2.3,NaN,0.694,NaN,NaN,NaN
176,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8262,NaN,2.3,NaN,0.6953,NaN,NaN,NaN
177,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.827,NaN,2.3,NaN,0.6966,NaN,NaN,NaN
178,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8279,NaN,2.3,NaN,0.6979,NaN,NaN,NaN
179,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8288,NaN,2.3,NaN,0.6992,NaN,NaN,NaN
180,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8296,NaN,2.3,NaN,0.7005,NaN,NaN,NaN
181,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8305,NaN,2.3,NaN,0.7017,NaN,NaN,NaN
182,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8313,NaN,2.3,NaN,0.703,NaN,NaN,NaN
183,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8322,NaN,2.3,NaN,0.7043,NaN,NaN,NaN
184,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.833,NaN,2.3,NaN,0.7056,NaN,NaN,NaN
185,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8338,NaN,2.3,NaN,0.7068,NaN,NaN,NaN
186,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8347,NaN,2.3,NaN,0.7081,NaN,NaN,NaN
187,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8355,NaN,2.3,NaN,0.7094,NaN,NaN,NaN
188,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8363,NaN,2.3,NaN,0.7106,NaN,NaN,NaN
189,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8371,NaN,2.3,NaN,0.7119,NaN,NaN,NaN
190,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.838,NaN,2.3,NaN,0.7131,NaN,NaN,NaN
191,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8388,NaN,2.3,NaN,0.7144,NaN,NaN,NaN
192,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8396,NaN,2.3,NaN,0.7156,NaN,NaN,NaN
193,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8404,NaN,2.3,NaN,0.7168,NaN,NaN,NaN
194,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8412,NaN,2.3,NaN,0.7181,NaN,NaN,NaN
195,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.842,NaN,2.3,NaN,0.7193,NaN,NaN,NaN
196,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8428,NaN,2.3,NaN,0.7205,NaN,NaN,NaN
197,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8435,NaN,2.3,NaN,0.7217,NaN,NaN,NaN
198,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8443,NaN,2.3,NaN,0.7229,NaN,NaN,NaN
199,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8451,NaN,2.3,NaN,0.7241,NaN,NaN,NaN
200,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.8459,NaN,2.3,NaN,0.7253,NaN,NaN,NaN
