N,condition,w_base,w_max,enable_normative,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
100,B_lockin_only,2,6,false,14,0,false,61,61,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,15,0,false,71,74,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,16,0,false,191,191,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,17,0,false,162,166,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,18,0,false,129,133,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,19,0,false,156,154,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,20,0,false,96,96,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,21,0,false,70,70,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,22,0,false,54,54,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,23,0,false,83,83,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,24,0,false,76,68,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,25,0,false,132,134,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,26,0,false,128,138,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,27,0,false,76,76,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,28,0,false,99,99,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,29,0,false,67,66,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
100,B_lockin_only,2,6,false,30,0,false,90,90,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
100,C_normative_only,5,5,true,1,77,true,26,28,26,28,0.0,0.9974541155305973,99,0.8489908133652554,0.99,77
100,C_normative_only,5,5,true,2,109,true,47,47,60,60,0.0,0.9991601315570992,99,0.79538958695242,0.99,109
100,C_normative_only,5,5,true,3,106,true,36,36,57,57,1.0,0.9997131531797369,98,0.851157932353922,0.98,106
100,C_normative_only,5,5,true,4,77,true,25,27,26,28,1.0,0.997866041691976,98,0.8505828784948125,0.98,77
100,C_normative_only,5,5,true,5,111,true,54,54,62,62,0.0,0.997183407612099,98,0.7463639459656258,0.98,111
100,C_normative_only,5,5,true,6,109,true,53,56,59,60,0.0,0.9984067019185697,100,0.78237573449405,1.0,109
100,C_normative_only,5,5,true,7,107,true,54,52,58,58,0.0,0.9973511515415234,100,0.747284780121396,1.0,107
100,C_normative_only,5,5,true,8,99,true,39,39,50,50,0.0,0.9992354817901945,97,0.8256596660774007,0.97,99
100,C_normative_only,5,5,true,9,108,true,53,46,59,59,1.0,0.9985184192832274,100,0.7768630095202472,1.0,108
100,C_normative_only,5,5,true,10,87,true,36,36,35,36,0.0,0.9974902335465049,98,0.825082927865056,0.98,87
