N,theta_crystal,trial,converged,convergence_tick,first_tick_behavioral,final_frac_dominant_norm
100,1.0,3,true,96,40,1.0
100,1.0,4,true,119,65,1.0
100,1.0,5,true,85,31,1.0
100,1.0,6,true,98,47,1.0
100,1.0,7,true,94,45,1.0
100,1.0,8,true,88,39,1.0
100,1.0,9,true,87,35,1.0
100,1.0,10,true,82,26,1.0
100,1.0,11,true,88,35,1.0
100,1.0,12,true,86,31,1.0
100,1.0,13,true,88,35,1.0
100,1.0,14,true,84,30,1.0
100,1.0,15,true,82,25,1.0
100,1.0,16,true,117,65,1.0
100,1.0,17,true,127,72,1.0
100,1.0,18,true,87,34,1.0
100,1.0,19,true,102,53,1.0
100,1.0,20,true,90,41,1.0
100,1.0,21,true,89,40,1.0
100,1.0,22,true,85,28,1.0
100,1.0,23,true,85,29,1.0
100,1.0,24,true,85,33,1.0
100,1.0,25,true,98,46,1.0
100,1.0,26,true,92,40,1.0
100,1.0,27,true,107,58,1.0
100,1.0,28,true,101,45,1.0
100,1.0,29,true,91,39,1.0
100,1.0,30,true,84,27,1.0
100,3.0,1,true,85,31,0.98
100,3.0,2,true,101,29,0.99
100,3.0,3,true,105,38,0.95
100,3.0,4,true,115,63,0.98
100,3.0,5,true,74,25,0.97
100,3.0,6,true,122,73,0.99
100,3.0,7,true,74,22,0.99
100,3.0,8,true,81,32,0.98
100,3.0,9,true,76,23,0.97
100,3.0,10,true,110,31,0.99
100,3.0,11,true,102,30,0.97
100,3.0,12,true,98,31,0.97
100,3.0,13,true,74,23,0.97
100,3.0,14,true,99,44,0.98
100,3.0,15,true,99,34,0.99
100,3.0,16,true,108,48,0.99
100,3.0,17,true,66,15,1.0
100,3.0,18,true,67,17,1.0
100,3.0,19,true,89,27,0.99
100,3.0,20,true,74,22,0.99
100,3.0,21,true,99,30,0.98
100,3.0,22,true,94,27,0.98
100,3.0,23,true,114,59,1.0
100,3.0,24,true,100,37,0.98
100,3.0,25,true,103,41,1.0
100,3.0,26,true,98,34,0.96
100,3.0,27,true,74,23,0.98
100,3.0,28,true,102,39,0.99
100,3.0,29,true,98,30,0.96
100,3.0,30,true,100,34,1.0
100,5.0,1,true,143,85,0.97
100,5.0,2,true,91,34,0.98
100,5.0,3,true,89,31,0.98
100,5.0,4,true,95,38,0.93
100,5.0,5,true,91,32,0.96
100,5.0,6,true,99,38,0.95
100,5.0,7,true,83,30,1.0
100,5.0,8,true,79,24,0.99
100,5.0,9,true,107,46,0.91
100,5.0,10,true,88,33,0.97
100,5.0,11,true,85,28,1.0
100,5.0,12,true,91,35,0.96
100,5.0,13,true,108,40,0.95
100,5.0,14,true,90,35,0.98
100,5.0,15,true,88,32,0.97
100,5.0,16,true,88,33,0.96
100,5.0,17,true,83,29,1.0
100,5.0,18,true,94,34,0.94
100,5.0,19,true,104,49,0.98
100,5.0,20,true,97,42,0.96
100,5.0,21,true,99,38,0.98
100,5.0,22,true,92,34,0.98
100,5.0,23,true,112,47,0.93
100,5.0,24,true,97,37,0.95
100,5.0,25,true,118,48,0.95
100,5.0,26,true,147,54,0.93
100,5.0,27,true,116,50,0.94
100,5.0,28,true,90,30,0.98
100,5.0,29,true,78,26,1.0
100,5.0,30,true,89,36,0.96
100,8.0,1,true,155,48,0.9
100,8.0,2,true,98,35,0.96
100,8.0,3,true,98,35,0.94
100,8.0,4,true,120,51,0.97
100,8.0,5,true,100,34,0.95
100,8.0,6,true,339,58,0.91
100,8.0,7,true,138,57,0.92
100,8.0,8,true,89,34,0.97
100,8.0,9,true,1397,72,0.9
100,8.0,10,true,1450,63,0.9
100,8.0,11,true,107,39,0.91
100,8.0,12,true,607,59,0.91
100,8.0,13,true,232,66,0.91
100,8.0,14,true,210,52,0.91
100,8.0,15,true,103,40,0.95
100,8.0,16,true,104,37,0.94
100,8.0,17,true,97,33,0.96
100,8.0,18,true,103,41,0.95
100,8.0,19,true,1102,50,0.91
100,8.0,20,true,108,40,0.97
100,8.0,21,true,103,39,0.96
100,8.0,22,true,284,51,0.92
100,8.0,23,true,673,62,0.9
100,8.0,24,true,135,54,0.92
100,8.0,25,true,590,58,0.9
100,8.0,26,true,125,38,0.91
100,8.0,27,true,105,40,0.93
100,8.0,28,true,95,39,0.97
100,8.0,29,true,810,48,0.91
100,8.0,30,true,108,43,0.95
100,12.0,1,false,0,98,0.8
100,12.0,2,true,207,61,0.91
100,12.0,3,false,0,70,0.81
100,12.0,4,false,0,52,0.87
100,12.0,5,true,980,48,0.9
100,12.0,6,false,0,61,0.87
100,12.0,7,true,846,59,0.9
100,12.0,8,false,0,54,0.86
100,12.0,9,true,130,64,0.93
100,12.0,10,true,403,46,0.9
100,12.0,11,false,0,58,0.89
100,12.0,12,true,1404,81,0.9
100,12.0,13,true,964,62,0.9
100,12.0,14,true,1200,67,0.9
100,12.0,15,true,140,52,0.95
100,12.0,16,true,136,57,0.92
100,12.0,17,true,543,54,0.9
100,12.0,18,false,0,101,0.89
100,12.0,19,true,158,58,0.91
100,12.0,20,true,777,56,0.91
100,12.0,21,true,2774,67,0.9
100,12.0,22,true,1452,54,0.9
100,12.0,23,true,890,53,0.9
100,12.0,24,true,1880,68,0.91
100,12.0,25,true,112,48,0.95
100,12.0,26,true,202,52,0.9
100,12.0,27,false,0,70,0.84
100,12.0,28,true,2776,68,0.9
100,12.0,29,false,0,124,0.81
100,12.0,30,false,0,58,0.85
200,1.0,1,true,110,61,1.0
200,1.0,2,true,115,63,1.0
200,1.0,3,true,130,75,1.0
200,1.0,4,true,89,37,1.0
200,1.0,5,true,85,32,1.0
200,1.0,6,true,122,65,1.0
200,1.0,7,true,85,34,1.0
200,1.0,8,true,105,53,1.0
200,1.0,9,true,87,34,1.0
200,1.0,10,true,84,28,1.0
200,1.0,11,true,134,80,1.0
200,1.0,12,true,85,29,1.0
200,1.0,13,true,86,32,1.0
200,1.0,14,true,109,60,1.0
200,1.0,15,true,135,86,1.0
200,1.0,16,true,124,72,1.0
200,1.0,17,true,95,46,1.0
200,1.0,18,true,106,54,1.0
200,1.0,19,true,105,56,1.0
200,1.0,20,true,156,107,1.0
200,1.0,21,true,94,45,1.0
200,1.0,22,true,91,37,1.0
200,1.0,23,true,101,52,1.0
200,1.0,24,true,104,53,1.0
200,1.0,25,true,110,61,1.0
