theta_crystal,Phi,trial,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,1.0,4,true,78,78,0.0,0.997079659791336,99,0.8489434750925413,0.99,29,29,29,29,7,285,6,0,1.0,1
3.0,0.5,19,true,105,105,1.0,0.9997735681214914,99,0.8649187466066048,0.99,32,33,56,56,11,379,10,0,1.0,0
3.0,0.0,5,true,81,81,0.0,0.9979973016185231,96,0.8379451746841539,0.96,30,30,32,32,9,0,5,0,1.0,2
3.0,5.0,3,true,110,110,1.0,0.9977314904930387,100,0.6790087532549697,1.0,59,59,60,61,52,1100,47,5,1.0,11
3.0,2.0,19,true,111,111,1.0,0.9984439362480179,98,0.7160960781785941,0.98,59,57,62,62,45,1113,43,0,1.0,10
3.0,1.0,19,true,125,125,1.0,0.997705754661647,100,0.777704636669577,1.0,76,76,74,76,81,1316,48,33,1.0,16
7.0,0.5,20,true,117,117,1.0,0.9989505348735881,96,0.8565905206838992,0.96,59,59,68,68,3,261,0,0,1.0,1
3.0,0.0,19,true,109,109,1.0,0.998618850975042,99,0.7457412387486663,0.99,53,53,60,60,33,0,31,1,1.0,10
3.0,0.5,5,true,95,95,0.0,0.9993788432361289,99,0.8595209682182267,0.99,33,33,46,46,11,389,10,0,1.0,0
3.0,2.0,5,true,90,90,0.0,0.9992856560658114,100,0.8591615008446714,1.0,27,27,41,41,11,348,11,0,1.0,0
3.0,5.0,18,true,110,110,1.0,0.9994966170380992,94,0.7613610569894643,0.94,44,44,61,61,44,1012,38,0,1.0,5
3.0,5.0,4,true,72,72,0.0,0.9974481910444465,97,0.849465438520036,0.97,18,18,17,18,6,180,4,0,1.0,0
3.0,0.0,6,true,91,91,0.0,0.99915206164744,97,0.8571974794819388,0.97,30,30,42,42,11,0,8,0,1.0,1
3.0,0.5,20,true,108,108,1.0,0.9997135219865955,98,0.8633664891411933,0.98,39,39,59,59,16,556,14,0,1.0,1
3.0,1.0,5,true,112,112,1.0,0.9997544487935699,97,0.8649269085783708,0.97,38,38,63,63,22,674,20,0,1.0,3
3.0,1.0,20,true,81,81,1.0,0.9979660588289241,98,0.8522142684908385,0.98,30,29,28,30,9,326,7,0,1.0,0
3.0,2.0,20,true,113,113,0.0,0.9996572037747403,93,0.8232009032495722,0.93,43,43,64,64,36,898,29,0,1.0,6
3.0,0.0,20,true,78,78,0.0,0.9979554105309955,99,0.8496261993266604,0.99,26,25,29,29,6,0,5,0,1.0,0
7.0,0.5,21,true,115,115,1.0,0.9997121722767255,91,0.8597862037652311,0.91,44,44,66,66,0,97,0,0,1.0,0
3.0,0.5,6,true,106,106,0.0,0.9997501917859453,99,0.8644879698460525,0.99,32,34,57,57,13,475,12,0,1.0,0
3.0,0.0,7,true,80,80,1.0,0.9980792421106288,99,0.8503036269622672,0.99,27,26,31,31,6,0,5,0,1.0,3
3.0,5.0,5,true,104,104,1.0,0.9990773271925094,96,0.7879089293296268,0.96,41,45,55,55,38,953,34,0,1.0,4
3.0,1.0,6,true,73,73,0.0,0.9974542252653577,99,0.8483756791335252,0.99,24,24,21,24,4,178,3,0,1.0,0
3.0,2.0,6,true,122,122,0.0,0.9999285837780423,96,0.8695200400590749,0.96,36,36,73,73,27,718,24,0,1.0,3
3.0,5.0,19,true,108,108,0.0,0.998717107821222,99,0.7280146912511823,0.99,50,50,59,59,40,1018,39,0,1.0,5
3.0,0.5,21,true,116,116,1.0,0.9995285437218068,99,0.8087052685254229,0.99,49,49,67,67,29,933,28,0,1.0,6
3.0,1.0,21,true,107,107,0.0,0.9994563194903481,99,0.856895737228402,0.99,41,42,58,58,23,726,22,0,1.0,5
3.0,0.0,21,true,107,107,0.0,0.9990597149459797,95,0.7779753204546036,0.95,46,48,58,58,24,0,19,0,1.0,12
3.0,0.5,7,true,75,75,1.0,0.9971172779847464,99,0.8480948127511005,0.99,26,26,26,26,6,239,5,0,1.0,0
3.0,5.0,6,true,69,69,1.0,0.9971914796083972,100,0.8471657276518691,1.0,16,17,18,18,3,139,3,0,1.0,0
3.0,0.0,8,true,100,100,1.0,0.9994741353199638,98,0.8387145825672476,0.98,33,35,51,51,15,0,13,0,1.0,6
3.0,1.0,7,true,91,91,0.0,0.9989669888504328,96,0.8563802448008131,0.96,31,33,42,42,10,412,6,0,1.0,2
3.0,2.0,7,true,108,108,0.0,0.999542391294552,94,0.8460427263903386,0.94,42,43,59,59,31,835,25,0,1.0,6
3.0,5.0,20,true,107,107,1.0,0.9995096469272137,94,0.8333933454826337,0.94,40,40,58,58,35,833,29,0,1.0,5
3.0,0.0,22,true,75,75,1.0,0.9973894399383113,96,0.8486432365934964,0.96,26,26,26,26,7,0,3,0,1.0,0
3.0,1.0,22,true,74,74,0.0,0.9975914553573156,100,0.848756395899959,1.0,21,23,23,25,4,175,4,0,1.0,0
3.0,0.5,8,true,80,80,0.0,0.9979289715486224,100,0.8496564603609214,1.0,28,29,28,29,6,251,6,0,1.0,1
3.0,0.5,22,true,106,106,0.0,0.9994902176602386,99,0.8569936328325234,0.99,42,42,57,57,18,630,17,0,1.0,0
3.0,1.0,8,true,69,69,0.0,0.9970410114812945,100,0.8465200058343954,1.0,19,19,20,20,2,124,2,0,1.0,0
3.0,5.0,7,true,108,108,0.0,0.9986851255306682,100,0.6749155692450465,1.0,54,54,59,59,45,1067,45,0,1.0,8
3.0,2.0,8,true,70,70,0.0,0.9973726745454343,100,0.8477277003212591,1.0,18,19,18,19,3,134,3,0,1.0,0
3.0,0.0,9,true,104,104,0.0,0.9995268946583411,99,0.8309973765107426,0.99,35,37,55,55,18,0,17,0,1.0,6
3.0,0.0,23,true,84,84,1.0,0.9986122283373178,99,0.8520379911401192,0.99,27,27,35,35,9,0,8,0,1.0,2
3.0,1.0,9,true,69,69,0.0,0.9970707289483784,100,0.8462269619706194,1.0,19,20,19,20,2,143,2,0,1.0,0
3.0,0.5,9,true,110,110,1.0,0.9995359061830378,98,0.8579714743186676,0.98,41,43,61,61,20,676,18,0,1.0,3
3.0,2.0,9,true,74,74,1.0,0.9975033640458407,98,0.848213901721922,0.98,25,24,21,25,7,250,5,0,1.0,0
3.0,5.0,21,true,123,123,0.0,0.9999447667827209,94,0.8625072279816821,0.94,34,35,74,74,31,742,25,0,1.0,2
3.0,0.5,23,true,121,121,1.0,0.9998927504392967,94,0.8626166066663881,0.94,41,41,72,72,21,701,15,0,1.0,2
3.0,1.0,23,true,111,111,1.0,0.9994618216467814,96,0.8452497021875676,0.96,45,45,62,62,30,903,26,0,1.0,6
3.0,0.0,24,true,78,78,1.0,0.9977286688950753,98,0.8495612488705921,0.98,26,26,29,29,7,0,5,0,1.0,2
