theta_crystal,Phi,trial,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,2.0,7,true,105,105,0.0,0.9993499985586993,98,0.8627700106936275,0.98,41,41,56,56,26,703,24,0,1.0,7
3.0,0.5,24,true,99,99,0.0,0.9996990148644187,96,0.8648931021238986,0.96,29,29,50,50,11,352,7,0,1.0,0
5.0,0.5,10,true,103,103,1.0,0.9992203194534548,91,0.8586753628408149,0.91,42,42,54,54,7,316,0,0,1.0,3
3.0,2.0,8,true,96,96,0.0,0.9994791317606626,98,0.8613845510728584,0.98,30,30,47,47,13,376,12,0,1.0,1
3.0,5.0,23,true,114,114,1.0,0.999859300909425,97,0.8683712158527627,0.97,36,36,65,65,27,659,24,0,1.0,4
3.0,0.0,10,true,99,99,1.0,0.9994975253525266,97,0.8545972123143988,0.97,35,35,50,50,15,0,12,0,1.0,5
3.0,0.5,25,true,118,118,0.0,0.9998479507673417,97,0.8670722703798713,0.97,40,40,69,69,24,729,21,0,1.0,4
3.0,5.0,24,true,69,69,0.0,0.9970245223143198,100,0.8474548288024483,1.0,19,20,17,20,2,125,2,0,1.0,0
5.0,0.5,11,true,102,102,1.0,0.9986690542036386,91,0.8562526638837157,0.91,46,46,53,53,8,383,0,0,1.0,1
3.0,2.0,9,true,111,111,1.0,0.9997766741592484,97,0.85830163452906,0.97,37,37,62,62,23,668,20,0,1.0,4
3.0,0.5,26,true,73,73,1.0,0.9972401805746245,100,0.8469928492134509,1.0,20,21,24,24,4,182,4,0,1.0,0
3.0,0.0,11,true,118,118,1.0,0.9981694131464549,99,0.7526551120453098,0.99,65,65,69,69,56,0,39,16,1.0,19
3.0,5.0,25,true,118,118,0.0,0.9988674386357884,99,0.6873730886574599,0.99,56,58,60,62,45,1097,44,0,1.0,4
5.0,0.5,12,true,119,119,0.0,0.9995717605958012,91,0.8621329452273843,0.91,54,54,70,70,8,435,0,0,1.0,2
