alpha,beta,ratio,condition,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0.1,0.15,1.5,B_lockin_only,16,0,false,206,203,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,17,0,false,288,288,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,18,0,false,119,119,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,19,0,false,152,149,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,20,0,false,214,213,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,21,0,false,77,74,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,22,0,false,78,81,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,23,0,false,123,134,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,24,0,false,273,273,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,25,0,false,208,210,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,26,0,false,277,307,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,27,0,false,188,188,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,28,0,false,70,70,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,29,0,false,244,253,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,B_lockin_only,30,0,false,176,176,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.15,1.5,C_normative_only,1,124,true,71,72,75,75,1.0,0.9986679642708404,97,0.7566403922538382,0.97,124
0.1,0.15,1.5,C_normative_only,2,85,true,34,34,36,36,0.0,0.998530288125244,97,0.8508987050450526,0.97,85
0.1,0.15,1.5,C_normative_only,3,97,true,42,42,48,48,0.0,0.9991881655658458,96,0.8486399666778522,0.96,97
0.1,0.15,1.5,C_normative_only,4,89,true,38,38,40,40,0.0,0.9986576680957999,98,0.843752930561277,0.98,89
0.1,0.15,1.5,C_normative_only,5,108,true,41,41,59,59,1.0,0.9997082990644118,96,0.8488196109107314,0.96,108
0.1,0.15,1.5,C_normative_only,6,79,true,26,28,30,30,1.0,0.9986585236034238,97,0.8506578497881482,0.97,79
0.1,0.15,1.5,C_normative_only,7,112,true,51,50,63,63,0.0,0.9995179762085783,97,0.8016321067884462,0.97,112
0.1,0.15,1.5,C_normative_only,8,112,true,57,57,63,63,0.0,0.9991220411226984,97,0.7648605741005634,0.97,112
0.1,0.15,1.5,C_normative_only,9,101,true,41,42,52,52,0.0,0.9993037635113265,97,0.827935564645973,0.97,101
0.1,0.15,1.5,C_normative_only,10,85,true,32,34,36,36,0.0,0.9983233248059306,98,0.8455531619728185,0.98,85
0.1,0.15,1.5,C_normative_only,11,78,true,29,29,28,29,1.0,0.9982583604461617,99,0.8499386676187436,0.99,78
0.1,0.15,1.5,C_normative_only,12,109,true,38,38,60,60,0.0,0.999800904374719,96,0.8466150232493336,0.96,109
0.1,0.15,1.5,C_normative_only,13,116,true,52,52,67,67,1.0,0.999659066454683,98,0.7936329359062904,0.98,116
0.1,0.15,1.5,C_normative_only,14,85,true,30,33,33,34,1.0,0.9986821177815476,97,0.8517458246408663,0.97,85
0.1,0.15,1.5,C_normative_only,15,118,true,53,53,69,69,0.0,0.9996275603310295,95,0.7956068270925888,0.95,118
0.1,0.15,1.5,C_normative_only,16,89,true,34,37,40,40,0.0,0.9986206037626899,97,0.8465923333003709,0.97,89
0.1,0.15,1.5,C_normative_only,17,85,true,36,35,34,36,0.0,0.9983247300471685,96,0.8516199197962123,0.96,85
0.1,0.15,1.5,C_normative_only,18,82,true,29,29,33,33,0.0,0.9985183100164019,98,0.8505351011240502,0.98,82
