theta_crystal,condition,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
3.0,A_baseline,10,0,false,334,410,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,11,0,false,0,0,0,0,0.7,0.3260455887454182,0,0.0,0.0,3000
3.0,A_baseline,12,0,false,681,681,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,13,0,false,775,525,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,14,0,false,916,943,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,15,0,false,0,0,0,0,0.26,0.4749174800867664,0,0.0,0.0,3000
3.0,A_baseline,16,0,false,197,309,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,17,0,false,801,1739,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,18,0,false,2131,2223,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,19,0,false,212,193,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,20,0,false,1354,1354,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,21,0,false,1475,1432,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,22,0,false,540,501,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,23,0,false,2752,2737,0,0,1.0,0.9701379690551264,0,0.0,0.0,3000
3.0,A_baseline,24,0,false,1086,1013,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,25,0,false,379,379,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,26,0,false,1276,1276,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,27,0,false,1370,1380,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,28,0,false,491,490,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
3.0,A_baseline,29,0,false,398,449,0,0,0.94,0.7603210351112856,0,0.0,0.0,3000
3.0,A_baseline,30,0,false,619,1576,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
3.0,C_normative_only,1,108,true,35,38,59,59,0.0,0.9997581836709499,96,0.8564841983565751,0.96,108
3.0,C_normative_only,2,184,true,135,135,135,135,1.0,0.9977555249081083,100,0.7939716069552257,1.0,184
3.0,C_normative_only,3,111,true,41,41,62,62,1.0,0.9997298238760769,97,0.8374072742661269,0.97,111
3.0,C_normative_only,4,78,true,27,29,26,29,1.0,0.9977852547970819,98,0.8502415751470408,0.98,78
3.0,C_normative_only,5,76,true,27,27,25,27,1.0,0.9973415211300068,100,0.849614844263299,1.0,76
3.0,C_normative_only,6,104,true,39,39,55,55,1.0,0.999589740004771,97,0.8466770963554294,0.97,104
3.0,C_normative_only,7,105,true,35,36,56,56,1.0,0.9996894773902105,98,0.8556439550029781,0.98,105
3.0,C_normative_only,8,71,true,22,22,20,22,1.0,0.9974957761656569,100,0.8483912729041908,1.0,71
3.0,C_normative_only,9,73,true,20,22,20,24,0.0,0.9979479828037299,100,0.8504078429187133,1.0,73
3.0,C_normative_only,10,108,true,45,47,59,59,0.0,0.9993014975336412,99,0.8116106798562044,0.99,108
3.0,C_normative_only,11,99,true,40,40,50,50,1.0,0.9991924972992914,98,0.8371211933347714,0.98,99
3.0,C_normative_only,12,104,true,36,36,55,55,1.0,0.999610057536442,98,0.8456535081512295,0.98,104
3.0,C_normative_only,13,102,true,37,37,53,53,1.0,0.9995007944656689,99,0.8411217013634072,0.99,102
3.0,C_normative_only,14,81,true,32,32,32,32,1.0,0.9965811323897101,99,0.8401871518818751,0.99,81
3.0,C_normative_only,15,103,true,43,43,54,54,1.0,0.998958799993337,98,0.7987926788228019,0.98,103
3.0,C_normative_only,16,102,true,41,41,53,53,1.0,0.999276148969519,99,0.8250243690529484,0.99,102
3.0,C_normative_only,17,81,true,28,29,31,32,0.0,0.9978225457001376,99,0.8462393676594937,0.99,81
3.0,C_normative_only,18,100,true,40,43,51,51,0.0,0.9989399166817993,99,0.8160619180915867,0.99,100
3.0,C_normative_only,19,75,true,26,26,25,26,0.0,0.9971877424375567,99,0.8488659822301127,0.99,75
