condition,tick,fraction_A,mean_confidence,coordination_rate,num_crystallised,mean_norm_strength,num_enforcements,belief_error,belief_variance,frac_dominant_norm,convergence_counter
A_baseline,1,0.49,0.458,0.58,0,0.0,0,0.49980000000000013,0.24989999999999973,0.0,0
A_baseline,2,0.49,0.39159999999999967,0.38,0,0.0,0,0.19600000000000012,0.0948999999999999,0.0,0
A_baseline,3,0.48,0.37011000000000016,0.44,0,0.0,0,0.2304000000000003,0.06982222222222224,0.0,0
A_baseline,4,0.47,0.3384430000000001,0.5,0,0.0,0,0.1712999999999999,0.05531875000000008,0.0,0
A_baseline,5,0.59,0.30538129999999997,0.5,0,0.0,0,0.1605999999999999,0.041984,0.0,0
A_baseline,6,0.54,0.2941810199999999,0.56,0,0.0,0,0.182,0.050603999999999996,0.0,0
A_baseline,7,0.56,0.2864852579999999,0.52,0,0.0,0,0.19759999999999983,0.054816000000000004,0.0,0
A_baseline,8,0.57,0.2593336053,0.38,0,0.0,0,0.17660000000000003,0.05348399999999996,0.0,0
A_baseline,9,0.61,0.25722974399000004,0.58,0,0.0,0,0.15499999999999997,0.045324000000000024,0.0,0
A_baseline,10,0.57,0.2619719834,0.54,0,0.0,0,0.17940000000000011,0.04830000000000001,0.0,0
A_baseline,11,0.6,0.2582459544072999,0.44,0,0.0,0,0.18999999999999984,0.05527600000000002,0.0,0
A_baseline,12,0.61,0.2540722308454899,0.42,0,0.0,0,0.1836000000000001,0.05433599999999998,0.0,0
A_baseline,13,0.6,0.25563862134105714,0.6,0,0.0,0,0.17799999999999983,0.050795999999999994,0.0,0
A_baseline,14,0.64,0.2571032768890485,0.52,0,0.0,0,0.1735999999999999,0.04558400000000001,0.0,0
A_baseline,15,0.65,0.25857174317772597,0.58,0,0.0,0,0.16300000000000014,0.03879999999999998,0.0,0
A_baseline,16,0.58,0.2697809611884337,0.64,0,0.0,0,0.17239999999999991,0.046944,0.0,0
A_baseline,17,0.63,0.2748769543840212,0.62,0,0.0,0,0.17979999999999993,0.04999999999999999,0.0,0
A_baseline,18,0.59,0.27026580868320915,0.38,0,0.0,0,0.16280000000000008,0.04567599999999998,0.0,0
A_baseline,19,0.69,0.2830043692556318,0.58,0,0.0,0,0.1735999999999998,0.040015999999999954,0.0,0
A_baseline,20,0.64,0.29096823873751765,0.48,0,0.0,0,0.17079999999999998,0.04292399999999997,0.0,0
A_baseline,21,0.64,0.2816619323378948,0.44,0,0.0,0,0.15720000000000006,0.038955999999999984,0.0,0
A_baseline,22,0.67,0.2905297905315264,0.5,0,0.0,0,0.16800000000000015,0.040684000000000005,0.0,0
A_baseline,23,0.6,0.2821255583957527,0.32,0,0.0,0,0.1399999999999999,0.036096,0.0,0
A_baseline,24,0.62,0.29368365096055454,0.52,0,0.0,0,0.15999999999999992,0.044844,0.0,0
A_baseline,25,0.62,0.29669551548932865,0.6,0,0.0,0,0.16719999999999996,0.04510000000000004,0.0,0
A_baseline,26,0.65,0.30815991958746664,0.58,0,0.0,0,0.1850000000000001,0.04937599999999997,0.0,0
A_baseline,27,0.56,0.30318002282576706,0.44,0,0.0,0,0.18759999999999988,0.049100000000000046,0.0,0
A_baseline,28,0.55,0.30362576843949785,0.54,0,0.0,0,0.2020000000000001,0.05280000000000002,0.0,0
A_baseline,29,0.54,0.29245236483185744,0.4,0,0.0,0,0.1856000000000001,0.04694399999999997,0.0,0
A_baseline,30,0.51,0.29472572895678445,0.54,0,0.0,0,0.1955999999999998,0.04935600000000011,0.0,0
A_baseline,31,0.55,0.2852987793161488,0.54,0,0.0,0,0.18500000000000016,0.04743599999999997,0.0,0
A_baseline,32,0.61,0.2766982002827947,0.54,0,0.0,0,0.1499999999999999,0.040096000000000014,0.0,0
A_baseline,33,0.52,0.27104546085045383,0.6,0,0.0,0,0.17479999999999993,0.04308399999999999,0.0,0
A_baseline,34,0.6,0.27885619882338986,0.56,0,0.0,0,0.17399999999999982,0.04903600000000001,0.0,0
A_baseline,35,0.55,0.2947521516545365,0.5,0,0.0,0,0.20800000000000007,0.057644,0.0,0
A_baseline,36,0.56,0.27579537623784145,0.48,0,0.0,0,0.19039999999999985,0.054976000000000004,0.0,0
A_baseline,37,0.6,0.28540684500002267,0.56,0,0.0,0,0.18999999999999978,0.05684399999999998,0.0,0
A_baseline,38,0.54,0.28894778218490336,0.48,0,0.0,0,0.19640000000000005,0.055500000000000015,0.0,0
A_baseline,39,0.59,0.29678070381462013,0.54,0,0.0,0,0.18600000000000008,0.057375999999999996,0.0,0
A_baseline,40,0.59,0.2917410757497799,0.5,0,0.0,0,0.1862000000000001,0.05622399999999998,0.0,0
A_baseline,41,0.58,0.2862474572119008,0.56,0,0.0,0,0.19199999999999984,0.053999999999999986,0.0,0
A_baseline,42,0.54,0.2942000528526648,0.48,0,0.0,0,0.18800000000000006,0.05017600000000003,0.0,0
A_baseline,43,0.6,0.29256442466660215,0.44,0,0.0,0,0.1719999999999998,0.051599999999999986,0.0,0
A_baseline,44,0.65,0.2836433663658529,0.46,0,0.0,0,0.18500000000000014,0.050336000000000006,0.0,0
A_baseline,45,0.57,0.27942616483104893,0.58,0,0.0,0,0.17819999999999994,0.05105600000000002,0.0,0
A_baseline,46,0.57,0.28617435721045575,0.58,0,0.0,0,0.1789999999999999,0.049803999999999994,0.0,0
A_baseline,47,0.57,0.28637106381456384,0.5,0,0.0,0,0.17879999999999988,0.05113600000000008,0.0,0
A_baseline,48,0.63,0.2923706629379403,0.46,0,0.0,0,0.17840000000000011,0.04599599999999997,0.0,0
A_baseline,49,0.6,0.29061290331254447,0.52,0,0.0,0,0.17199999999999993,0.05265600000000003,0.0,0
A_baseline,50,0.67,0.30203171589755734,0.54,0,0.0,0,0.19300000000000012,0.053536,0.0,0
A_baseline,51,0.53,0.2939235120430511,0.46,0,0.0,0,0.19339999999999996,0.048000000000000036,0.0,0
A_baseline,52,0.62,0.30186364346446704,0.6,0,0.0,0,0.1876,0.05710000000000001,0.0,0
A_baseline,53,0.58,0.3085296482132006,0.64,0,0.0,0,0.19759999999999991,0.058400000000000035,0.0,0
A_baseline,54,0.53,0.30093818075695244,0.5,0,0.0,0,0.20420000000000002,0.05460399999999997,0.0,0
A_baseline,55,0.59,0.29948070097784935,0.74,0,0.0,0,0.19600000000000026,0.06030000000000001,0.0,0
A_baseline,56,0.6,0.29655920545741454,0.52,0,0.0,0,0.19199999999999984,0.058144000000000064,0.0,0
A_baseline,57,0.59,0.2928762941534324,0.5,0,0.0,0,0.18860000000000027,0.055116000000000075,0.0,0
A_baseline,58,0.64,0.2853406771789827,0.52,0,0.0,0,0.19239999999999988,0.05310000000000006,0.0,0
A_baseline,59,0.63,0.28113272293649905,0.58,0,0.0,0,0.17780000000000004,0.04670000000000003,0.0,0
A_baseline,60,0.61,0.2752187551222378,0.46,0,0.0,0,0.1567999999999999,0.03940399999999997,0.0,0
A_baseline,61,0.58,0.2810460377412397,0.56,0,0.0,0,0.17399999999999988,0.04830000000000004,0.0,0
A_baseline,62,0.7,0.2892627354398865,0.6,0,0.0,0,0.19000000000000014,0.050176000000000054,0.0,0
A_baseline,63,0.67,0.30181439275474475,0.58,0,0.0,0,0.18140000000000012,0.05015600000000006,0.0,0
A_baseline,64,0.57,0.30305456642730444,0.62,0,0.0,0,0.1866,0.05172400000000001,0.0,0
A_baseline,65,0.58,0.2861525748989023,0.36,0,0.0,0,0.15799999999999995,0.04359999999999998,0.0,0
A_baseline,66,0.58,0.2803958147621632,0.56,0,0.0,0,0.158,0.04119999999999999,0.0,0
A_baseline,67,0.64,0.27798918715107107,0.52,0,0.0,0,0.16159999999999994,0.03913600000000004,0.0,0
A_baseline,68,0.62,0.28180145215667024,0.44,0,0.0,0,0.1511999999999999,0.04039600000000001,0.0,0
A_baseline,69,0.53,0.27030990721090203,0.42,0,0.0,0,0.1700000000000001,0.03870000000000006,0.0,0
A_baseline,70,0.59,0.26267831365210415,0.5,0,0.0,0,0.14780000000000001,0.037536000000000035,0.0,0
A_baseline,71,0.6,0.2697190279654757,0.52,0,0.0,0,0.1439999999999999,0.039183999999999976,0.0,0
