Phi,theta_crystal,sigma_0,k,trial,converged,convergence_tick,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0.0,1.5,0.5,4.0,12,true,136,71,71,47,71,1.0,0.995500547307022,100,0.5711679282717532,1.0,136
0.0,1.5,0.5,4.0,13,true,218,105,106,93,108,1.0,0.9740088359568425,100,0.5687150771307862,1.0,218
0.0,1.5,0.5,4.0,14,true,134,69,69,47,69,0.0,0.9919174533237449,100,0.5798847530513962,1.0,134
0.0,1.5,0.5,4.0,15,true,139,79,77,46,79,1.0,0.9732099154071209,100,0.5737142853610931,1.0,139
0.0,1.5,0.5,4.0,16,true,131,74,74,58,74,0.01,0.9796087004355692,100,0.5658058104622303,1.0,131
0.0,1.5,0.5,4.0,17,true,128,66,62,54,66,1.0,0.9975110025518235,100,0.6173958096478422,1.0,128
0.0,1.5,0.5,4.0,18,true,131,77,73,49,77,1.0,0.9792260236756818,100,0.5529950408885221,1.0,131
0.0,1.5,0.5,4.0,19,true,132,75,76,56,76,1.0,0.983939181278242,100,0.559787775154369,1.0,132
0.0,1.5,0.5,4.0,20,true,202,55,62,36,62,0.0,0.993769227289347,100,0.5442786397574679,1.0,202
0.0,1.5,0.8,1.0,1,true,96,43,43,43,43,1.0,0.9981708548517098,100,0.7382945781146881,1.0,96
0.0,1.5,0.8,1.0,2,true,97,47,48,47,48,1.0,0.9974440594702132,100,0.6974320881089533,1.0,97
0.0,1.5,0.8,1.0,3,true,105,53,56,53,56,0.0,0.9972044450208916,100,0.6981772023314555,1.0,105
0.0,1.5,0.8,1.0,4,true,81,22,22,32,32,1.0,0.9987788471711896,100,0.8571308365472347,1.0,81
0.0,1.5,0.8,1.0,5,true,109,56,58,56,58,1.0,0.9973891863200115,100,0.7563511801154367,1.0,109
0.0,1.5,0.8,1.0,6,true,85,29,27,36,36,0.0,0.9985965452112398,100,0.8474606116136862,1.0,85
0.0,1.5,0.8,1.0,7,true,98,49,49,48,49,1.0,0.9972453019983728,100,0.6839505882660402,1.0,98
0.0,1.5,0.8,1.0,8,true,98,47,48,46,49,1.0,0.9974516003652398,100,0.6644653563337478,1.0,98
0.0,1.5,0.8,1.0,9,true,124,66,66,75,75,1.0,0.9986056545215913,100,0.813623577504286,1.0,124
0.0,1.5,0.8,1.0,10,true,89,38,39,40,40,0.0,0.9977574586052026,100,0.7652047875773651,1.0,89
0.0,1.5,0.8,1.0,11,true,87,37,37,38,38,1.0,0.9983018697686542,100,0.8131132424242625,1.0,87
0.0,1.5,0.8,1.0,12,true,69,20,20,19,20,0.0,0.9969093481053968,100,0.8484525700042919,1.0,69
0.0,1.5,0.8,1.0,13,true,83,24,26,34,34,0.0,0.9988461591251617,100,0.8571367404384883,1.0,83
0.0,1.5,0.8,1.0,14,true,86,29,34,37,37,0.0,0.9984232921627241,100,0.8309999230644043,1.0,86
0.0,1.5,0.8,1.0,15,true,93,41,41,43,44,0.0,0.9983518165213552,100,0.7491913292688885,1.0,93
0.0,1.5,0.8,1.0,16,true,89,39,39,40,40,0.0,0.9981502533310644,100,0.7794772985928462,1.0,89
0.0,1.5,0.8,1.0,17,true,100,51,51,51,51,1.0,0.9976364151150595,100,0.6702201776578779,1.0,100
0.0,1.5,0.8,1.0,18,true,82,22,22,33,33,1.0,0.9989092851266969,100,0.8569653289964515,1.0,82
0.0,1.5,0.8,1.0,19,true,88,34,34,39,39,0.0,0.9987214637130747,100,0.8355285792323301,1.0,88
0.0,1.5,0.8,1.0,20,true,85,30,30,36,36,1.0,0.9988505084672841,100,0.8569073840769851,1.0,85
0.0,1.5,0.8,2.0,1,true,88,28,34,39,39,0.0,0.9987260021486507,100,0.8351194432915336,1.0,88
0.0,1.5,0.8,2.0,2,true,89,27,27,40,40,0.0,0.9989027411607957,100,0.8493055464122456,1.0,89
0.0,1.5,0.8,2.0,3,true,85,25,26,36,36,1.0,0.9991391342961389,100,0.8575215148990029,1.0,85
0.0,1.5,0.8,2.0,4,true,82,21,23,33,33,0.0,0.9990708198053333,100,0.8570252490796119,1.0,82
0.0,1.5,0.8,2.0,5,true,92,36,38,43,43,0.0,0.9983288413496055,100,0.8025400308968612,1.0,92
0.0,1.5,0.8,2.0,6,true,94,42,42,45,45,1.0,0.9982159775142005,100,0.719054226494474,1.0,94
0.0,1.5,0.8,2.0,7,true,80,21,21,31,31,0.0,0.9991546267127757,100,0.8570403866322728,1.0,80
0.0,1.5,0.8,2.0,8,true,84,22,22,35,35,0.0,0.9992489667456006,100,0.8582240121200723,1.0,84
0.0,1.5,0.8,2.0,9,true,109,55,60,57,60,1.0,0.9969935634494944,100,0.7167142917797844,1.0,109
0.0,1.5,0.8,2.0,10,true,103,54,54,54,54,0.0,0.9965954589302121,100,0.7078555283297938,1.0,103
0.0,1.5,0.8,2.0,11,true,100,49,51,49,51,1.0,0.9972657656785935,100,0.6749973599818614,1.0,100
0.0,1.5,0.8,2.0,12,true,90,37,37,41,41,0.0,0.9980627382883847,100,0.8008256086466922,1.0,90
0.0,1.5,0.8,2.0,13,true,87,29,29,38,38,0.0,0.9987746416575756,100,0.8441074518456035,1.0,87
0.0,1.5,0.8,2.0,14,true,87,25,25,38,38,0.0,0.9991012524534988,100,0.8592774876017611,1.0,87
0.0,1.5,0.8,2.0,15,true,83,25,25,34,34,1.0,0.9989281574051599,100,0.8519433157336769,1.0,83
0.0,1.5,0.8,2.0,16,true,84,21,21,35,35,0.0,0.9993556122358686,100,0.8587442283096292,1.0,84
0.0,1.5,0.8,2.0,17,true,93,35,35,44,44,1.0,0.9988336518711377,100,0.7952054935726669,1.0,93
0.0,1.5,0.8,2.0,18,true,88,34,34,39,39,0.0,0.9985737178533087,100,0.8090405974200909,1.0,88
0.0,1.5,0.8,2.0,19,true,68,17,17,14,17,0.0,0.9976837795189563,100,0.8495212909273099,1.0,68
0.0,1.5,0.8,2.0,20,true,98,47,49,46,49,1.0,0.9975892242527737,100,0.6828300847227115,1.0,98
0.0,1.5,0.8,4.0,1,true,88,30,30,39,39,1.0,0.9989369295144591,100,0.8365790768280157,1.0,88
0.0,1.5,0.8,4.0,2,true,71,22,22,16,22,1.0,0.9976798616839528,98,0.850731566411463,0.98,71
0.0,1.5,0.8,4.0,3,true,108,56,57,49,57,0.0,0.9942890525374373,100,0.6881676331123668,1.0,108
0.0,1.5,0.8,4.0,4,true,97,43,45,48,48,1.0,0.9982432085738678,100,0.7218925369137403,1.0,97
0.0,1.5,0.8,4.0,5,true,102,49,49,48,49,1.0,0.9978048157744837,100,0.6909893728542024,1.0,102
0.0,1.5,0.8,4.0,6,true,93,40,43,44,44,1.0,0.9976854095634282,100,0.7068740145820317,1.0,93
0.0,1.5,0.8,4.0,7,true,121,56,56,50,56,1.0,0.9988601018249116,100,0.7100682944461602,1.0,121
0.0,1.5,0.8,4.0,8,true,111,62,62,59,62,1.0,0.9971460805795169,97,0.7365266291207396,0.97,111
0.0,1.5,0.8,4.0,9,true,92,40,38,43,43,0.0,0.9981848098903932,100,0.7638991251779734,1.0,92
0.0,1.5,0.8,4.0,10,true,94,43,43,42,43,0.0,0.9978679835208132,100,0.7402580068051507,1.0,94
0.0,1.5,0.8,4.0,11,true,88,31,29,39,39,0.0,0.9984491562586542,100,0.8324849323867839,1.0,88
0.0,1.5,0.8,4.0,12,true,87,29,29,38,38,0.0,0.9989401959058933,100,0.8436760603060924,1.0,87
0.0,1.5,0.8,4.0,13,true,102,46,46,47,50,1.0,0.997945420133355,100,0.6941322338395236,1.0,102
0.0,1.5,0.8,4.0,14,true,90,35,35,41,41,1.0,0.9983687552802709,99,0.816463677682938,0.99,90
0.0,1.5,0.8,4.0,15,true,89,32,32,40,40,0.0,0.9986476223723254,100,0.8013969275409345,1.0,89
0.0,1.5,0.8,4.0,16,true,97,48,46,46,48,0.0,0.9977693532130917,100,0.6921354278449772,1.0,97
0.0,1.5,0.8,4.0,17,true,93,41,43,41,44,1.0,0.9978736887460261,100,0.7824588626426074,1.0,93
0.0,1.5,0.8,4.0,18,true,126,69,69,69,69,1.0,0.9984906843370969,99,0.7890838191300352,0.99,126
0.0,1.5,0.8,4.0,19,true,91,36,36,42,42,0.0,0.9984623866394786,100,0.7928114441696352,1.0,91
0.0,1.5,0.8,4.0,20,true,97,42,43,46,46,0.0,0.9978182140382912,100,0.7026558685611621,1.0,97
