N,condition,exp_on,norm_on,trial,converged,conv_tick,first_beh_tick,first_cryst_50,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err,mean_enforce,total_ticks
20,Neither,false,false,31,false,0,0,0,0.5,0.55,0,0.0,0.3325,0.0,3000
20,Neither,false,false,7,false,0,0,0,0.4,0.6,0,0.0,0.29166666666666663,0.0,3000
20,Neither,false,false,28,false,0,0,0,0.4,0.6,0,0.0,0.1983333333333333,0.0,3000
20,Neither,false,false,4,false,0,0,0,0.5,0.55,0,0.0,0.2891666666666667,0.0,3000
20,Neither,false,false,39,false,0,0,0,0.7,0.55,0,0.0,0.24666666666666673,0.0,3000
20,Neither,false,false,19,false,0,0,0,0.4,0.6,0,0.0,0.33166666666666667,0.0,3000
20,Neither,false,false,43,false,0,0,0,0.6,0.7,0,0.0,0.2775,0.0,3000
20,Neither,false,false,13,false,0,0,0,0.6,0.5,0,0.0,0.2666666666666667,0.0,3000
20,Neither,false,false,49,false,0,0,0,0.6,0.7,0,0.0,0.2733333333333333,0.0,3000
20,Neither,false,false,45,false,0,0,0,0.5,0.55,0,0.0,0.2558333333333333,0.0,3000
20,Neither,false,false,41,false,0,0,0,0.4,0.5,0,0.0,0.1833333333333333,0.0,3000
20,Neither,false,false,25,false,0,0,0,0.5,0.55,0,0.0,0.21666666666666662,0.0,3000
20,Neither,false,false,37,false,0,0,0,0.5,0.55,0,0.0,0.23999999999999994,0.0,3000
20,Neither,false,false,16,false,0,0,0,0.5,0.55,0,0.0,0.2033333333333333,0.0,3000
20,Neither,false,false,10,false,0,0,0,0.5,0.55,0,0.0,0.26166666666666666,0.0,3000
20,Neither,false,false,1,false,0,640,0,0.5,0.65,0,0.0,0.24666666666666665,0.0,3000
20,Neither,false,false,47,false,0,0,0,0.4,0.7,0,0.0,0.35,0.0,3000
20,Neither,false,false,22,false,0,0,0,0.4,0.5,0,0.0,0.2333333333333333,0.0,3000
20,Neither,false,false,35,false,0,0,0,0.6,0.5,0,0.0,0.2541666666666667,0.0,3000
