condition,forcing_fraction,trial,converged,flip,recovery_ticks,perturbation_depth,norm_survival,recrystallisation
EWA_RL,0.05,1,true,false,1,0.94,NaN,NaN
EWA_RL,0.05,2,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,3,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,4,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,5,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,6,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,7,true,false,1,0.94,NaN,NaN
EWA_RL,0.05,8,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,9,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,10,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,11,true,false,1,0.94,NaN,NaN
EWA_RL,0.05,12,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,13,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,14,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,15,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,16,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,17,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,18,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,19,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,20,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,21,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,22,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,23,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,24,true,false,1,0.94,NaN,NaN
EWA_RL,0.05,25,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,26,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,27,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,28,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,29,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,30,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,31,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,32,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,33,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,34,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,35,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,36,true,false,1,0.94,NaN,NaN
EWA_RL,0.05,37,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,38,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,39,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,40,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,41,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,42,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,43,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,44,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,45,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,46,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,47,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,48,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,49,true,false,1,0.95,NaN,NaN
EWA_RL,0.05,50,true,false,1,0.95,NaN,NaN
EWA_RL,0.1,1,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,2,true,false,1,0.89,NaN,NaN
EWA_RL,0.1,3,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,4,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,5,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,6,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,7,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,8,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,9,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,10,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,11,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,12,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,13,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,14,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,15,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,16,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,17,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,18,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,19,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,20,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,21,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,22,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,23,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,24,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,25,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,26,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,27,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,28,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,29,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,30,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,31,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,32,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,33,true,false,1,0.89,NaN,NaN
EWA_RL,0.1,34,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,35,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,36,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,37,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,38,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,39,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,40,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,41,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,42,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,43,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,44,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,45,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,46,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,47,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,48,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,49,true,false,1,0.9,NaN,NaN
EWA_RL,0.1,50,true,false,1,0.9,NaN,NaN
EWA_RL,0.15,1,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,2,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,3,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,4,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,5,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,6,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,7,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,8,true,false,1,0.84,NaN,NaN
EWA_RL,0.15,9,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,10,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,11,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,12,true,false,1,0.84,NaN,NaN
EWA_RL,0.15,13,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,14,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,15,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,16,true,false,1,0.84,NaN,NaN
EWA_RL,0.15,17,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,18,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,19,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,20,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,21,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,22,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,23,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,24,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,25,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,26,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,27,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,28,true,false,1,0.84,NaN,NaN
EWA_RL,0.15,29,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,30,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,31,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,32,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,33,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,34,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,35,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,36,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,37,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,38,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,39,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,40,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,41,true,false,1,0.84,NaN,NaN
EWA_RL,0.15,42,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,43,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,44,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,45,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,46,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,47,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,48,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,49,true,false,1,0.85,NaN,NaN
EWA_RL,0.15,50,true,false,1,0.85,NaN,NaN
EWA_RL,0.2,1,true,false,1,0.79,NaN,NaN
EWA_RL,0.2,2,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,3,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,4,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,5,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,6,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,7,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,8,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,9,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,10,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,11,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,12,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,13,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,14,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,15,true,false,1,0.79,NaN,NaN
EWA_RL,0.2,16,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,17,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,18,true,false,1,0.79,NaN,NaN
EWA_RL,0.2,19,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,20,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,21,true,false,1,0.79,NaN,NaN
EWA_RL,0.2,22,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,23,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,24,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,25,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,26,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,27,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,28,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,29,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,30,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,31,true,false,1,0.8,NaN,NaN
EWA_RL,0.2,32,true,false,1,0.79,NaN,NaN
EWA_RL,0.2,33,true,false,1,0.79,NaN,NaN
