condition,trial,symmetry_break_tick,agent_divergence_at_break,first_mover_mean_C,diffusion_duration,crystal_cascade_bursts,steady_state_tick,enforcement_at_steady,recovery_ticks,perturbation_depth,norm_survival_rate,recrystallisation_rate,norm_flip
EWA_MIX,4,5,0.3656871274339085,NaN,13,0,18,0.0,1,0.78,NaN,NaN,false
EWA_MIX,5,53,0.3729403276722156,NaN,17,0,70,0.0,1,0.8,NaN,NaN,false
EWA_MIX,6,3,0.4066858403204926,NaN,12,0,15,0.0,1,0.8,NaN,NaN,false
EWA_MIX,7,17,0.38825937126355936,NaN,20,0,37,0.0,1,0.8,NaN,NaN,false
EWA_MIX,8,10,0.42963541949731426,NaN,16,0,26,0.0,1,0.8,NaN,NaN,false
EWA_MIX,9,1,0.45524870096873155,NaN,12,0,13,0.0,1,0.8,NaN,NaN,false
EWA_MIX,10,16,0.3765692663063601,NaN,12,0,28,0.0,1,0.8,NaN,NaN,false
EWA_MIX,11,4,0.3951368318669745,NaN,18,0,22,0.0,1,0.8,NaN,NaN,false
EWA_MIX,12,4,0.3934277754423006,NaN,12,0,16,0.0,1,0.8,NaN,NaN,false
EWA_MIX,13,1,0.456791594911928,NaN,11,0,12,0.0,1,0.8,NaN,NaN,false
EWA_MIX,14,4,0.39610177620644144,NaN,12,0,16,0.0,1,0.8,NaN,NaN,false
EWA_MIX,15,13,0.38510494867493056,NaN,20,0,35,0.0,1,0.8,NaN,NaN,false
EWA_MIX,16,9,0.3697952280413597,NaN,17,0,26,0.0,1,0.8,NaN,NaN,false
EWA_MIX,17,4,0.3994927418508174,NaN,14,0,18,0.0,1,0.79,NaN,NaN,false
EWA_MIX,18,1,0.4550234049832473,NaN,11,0,12,0.0,1,0.8,NaN,NaN,false
EWA_MIX,19,1,0.4465036248457201,NaN,10,0,11,0.0,1,0.8,NaN,NaN,false
EWA_MIX,20,11,0.36867838488672783,NaN,15,0,26,0.0,1,0.79,NaN,NaN,false
EWA_MIX,21,4,0.3903749046736034,NaN,14,0,18,0.0,1,0.8,NaN,NaN,false
EWA_MIX,22,6,0.4128721092706321,NaN,15,0,21,0.0,1,0.8,NaN,NaN,false
EWA_MIX,23,2,0.40031258749129234,NaN,16,0,18,0.0,1,0.8,NaN,NaN,false
EWA_MIX,24,14,0.3835495691045488,NaN,16,0,30,0.0,1,0.79,NaN,NaN,false
EWA_MIX,25,6,0.4046223638256895,NaN,23,0,29,0.0,1,0.8,NaN,NaN,false
EWA_MIX,26,11,0.4025256968694304,NaN,16,0,27,0.0,1,0.8,NaN,NaN,false
EWA_MIX,27,1,0.4490977126927072,NaN,12,0,13,0.0,1,0.79,NaN,NaN,false
EWA_MIX,28,6,0.4221107835738646,NaN,18,0,24,0.0,1,0.8,NaN,NaN,false
EWA_MIX,29,22,0.3774217269168307,NaN,14,0,36,0.0,1,0.8,NaN,NaN,false
EWA_MIX,30,6,0.40065080875856585,NaN,17,0,23,0.0,1,0.79,NaN,NaN,false
EWA_MIX,31,11,0.3908070593694287,NaN,12,0,23,0.0,1,0.79,NaN,NaN,false
EWA_MIX,32,7,0.39773351937213675,NaN,12,0,21,0.0,1,0.79,NaN,NaN,false
EWA_MIX,33,8,0.4017477264633371,NaN,18,0,26,0.0,1,0.8,NaN,NaN,false
EWA_MIX,34,6,0.35728036493938475,NaN,10,0,16,0.0,1,0.8,NaN,NaN,false
EWA_MIX,35,7,0.39803833593996846,NaN,13,0,20,0.0,1,0.79,NaN,NaN,false
EWA_MIX,36,9,0.3787417089915321,NaN,12,0,21,0.0,1,0.8,NaN,NaN,false
EWA_MIX,37,11,0.3804402711427586,NaN,18,0,29,0.0,1,0.8,NaN,NaN,false
EWA_MIX,38,2,0.39500508009398105,NaN,16,0,18,0.0,1,0.8,NaN,NaN,false
EWA_MIX,39,1,0.4501164767510848,NaN,10,0,11,0.0,1,0.8,NaN,NaN,false
EWA_MIX,40,7,0.39938747395752106,NaN,13,0,20,0.0,1,0.8,NaN,NaN,false
EWA_MIX,41,11,0.3976219094101023,NaN,19,0,32,0.0,1,0.8,NaN,NaN,false
EWA_MIX,42,6,0.4042104320156545,NaN,12,0,18,0.0,1,0.8,NaN,NaN,false
EWA_MIX,43,3,0.4120995398836253,NaN,14,0,17,0.0,1,0.8,NaN,NaN,false
EWA_MIX,44,2,0.3740086592526014,NaN,13,0,15,0.0,1,0.8,NaN,NaN,false
EWA_MIX,45,15,0.3987149561365844,NaN,16,0,31,0.0,1,0.8,NaN,NaN,false
EWA_MIX,46,4,0.39724181911750955,NaN,14,0,18,0.0,1,0.8,NaN,NaN,false
EWA_MIX,47,11,0.39408956597019096,NaN,14,0,25,0.0,1,0.79,NaN,NaN,false
EWA_MIX,48,3,0.4035147440698407,NaN,10,0,13,0.0,1,0.79,NaN,NaN,false
EWA_MIX,49,5,0.3984855343708937,NaN,17,0,22,0.0,1,0.8,NaN,NaN,false
EWA_MIX,50,7,0.40094542887520584,NaN,13,0,20,0.0,1,0.8,NaN,NaN,false
EWA_BL,1,1,0.46771185413369526,NaN,8,0,9,0.0,1,0.79,NaN,NaN,false
EWA_BL,2,6,0.3922808788080724,NaN,10,0,16,0.0,1,0.8,NaN,NaN,false
EWA_BL,3,4,0.38005025063223014,NaN,10,0,14,0.0,1,0.8,NaN,NaN,false
EWA_BL,4,18,0.36565280429976155,NaN,13,0,31,0.0,1,0.79,NaN,NaN,false
EWA_BL,5,12,0.3452531133594559,NaN,9,0,21,0.0,1,0.79,NaN,NaN,false
EWA_BL,6,4,0.37582839799985024,NaN,11,0,15,0.0,1,0.8,NaN,NaN,false
EWA_BL,7,9,0.3665237451302169,NaN,12,0,21,0.0,1,0.79,NaN,NaN,false
EWA_BL,8,5,0.37684606316300817,NaN,13,0,18,0.0,1,0.8,NaN,NaN,false
EWA_BL,9,9,0.3754654307258916,NaN,13,0,22,0.0,1,0.79,NaN,NaN,false
EWA_BL,10,12,0.33054241323055067,NaN,12,0,24,0.0,1,0.79,NaN,NaN,false
EWA_BL,11,8,0.38857497496610055,NaN,16,0,24,0.0,1,0.8,NaN,NaN,false
EWA_BL,12,5,0.3983724294825619,NaN,13,0,18,0.0,1,0.78,NaN,NaN,false
EWA_BL,13,33,0.3339067769782666,NaN,13,0,46,0.0,1,0.79,NaN,NaN,false
EWA_BL,14,5,0.400008743212867,NaN,8,0,13,0.0,1,0.8,NaN,NaN,false
EWA_BL,15,8,0.3791778011225257,NaN,12,0,20,0.0,1,0.8,NaN,NaN,false
EWA_BL,16,4,0.40109957078374875,NaN,11,0,15,0.0,1,0.8,NaN,NaN,false
EWA_BL,17,6,0.3812521650298291,NaN,11,0,17,0.0,1,0.8,NaN,NaN,false
