theta_crystal,Phi,trial,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,2.0,14,true,107,107,1.0,0.9990314198998413,94,0.8329705206129779,0.94,41,41,58,58,31,886,25,0,1.0,4
3.0,5.0,4,true,109,109,1.0,0.9981123785520363,99,0.6738188067998049,0.99,58,58,59,60,46,1095,44,1,1.0,6
3.0,0.1,24,true,82,82,1.0,0.9974041439000435,99,0.8502431769727654,0.99,32,33,33,33,9,365,8,0,1.0,2
7.0,0.5,18,true,101,101,0.0,0.9992808011490297,95,0.8546716891982806,0.95,38,38,52,52,0,92,0,0,1.0,0
3.0,0.0,5,true,76,76,1.0,0.9977706039406518,99,0.8483032631583265,0.99,26,26,27,27,6,0,5,0,1.0,0
3.0,0.7,5,true,81,81,0.0,0.9976611486370913,96,0.8511109123121483,0.96,30,30,32,32,10,370,6,0,1.0,0
3.0,0.1,25,true,73,73,1.0,0.996748551626551,100,0.8477938192639718,1.0,24,24,23,24,2,180,2,0,1.0,0
3.0,5.0,5,true,109,109,0.0,0.9984410128989212,100,0.6718725921230589,1.0,54,55,60,60,44,1077,44,0,1.0,6
3.0,0.3,15,true,120,120,0.0,0.9982897699098291,99,0.7440044571171517,0.99,66,67,71,71,46,1236,40,5,1.0,12
3.0,0.0,6,true,78,78,1.0,0.998166150383486,100,0.8498128019021762,1.0,24,24,29,29,5,0,5,0,1.0,3
3.0,0.1,26,true,70,70,0.0,0.9980475549608012,99,0.8481033034549178,0.99,18,18,21,21,0,67,0,0,1.0,0
3.0,0.3,16,true,72,72,0.0,0.9973364701312313,100,0.8474646535897201,1.0,23,23,22,23,2,145,2,0,1.0,0
3.0,0.7,6,true,115,115,1.0,0.9998394662624748,96,0.864000131056065,0.96,39,39,66,66,20,641,17,0,1.0,1
3.0,0.0,7,true,83,83,0.0,0.9982151538274451,95,0.8459560200198738,0.95,30,30,34,34,9,0,4,0,1.0,2
3.0,5.0,6,true,102,102,1.0,0.9996850920659397,97,0.8640933425446077,0.97,31,33,53,53,20,537,17,0,1.0,2
3.0,0.3,17,true,73,73,1.0,0.9974200853157419,100,0.8475569205088281,1.0,21,21,24,24,3,159,3,0,1.0,0
3.0,0.1,27,true,75,75,0.0,0.9976685063089121,100,0.8482253326788264,1.0,22,22,26,26,3,155,3,0,1.0,0
3.0,0.7,7,true,106,106,1.0,0.9997943712338296,96,0.8669358046069974,0.96,34,34,57,57,12,404,8,0,1.0,0
3.0,0.0,8,true,84,84,0.0,0.9986253892809164,96,0.8477654628636566,0.96,28,28,35,35,9,0,5,0,1.0,3
3.0,5.0,7,true,115,115,0.0,0.9999218802033489,98,0.8726848730229874,0.98,30,32,66,66,17,460,16,0,1.0,2
3.0,0.3,18,true,78,78,0.0,0.9973044474235715,98,0.8492249698028065,0.98,28,29,27,29,7,284,5,0,1.0,0
3.0,0.1,28,true,97,97,0.0,0.9991646154951038,98,0.8568776945816514,0.98,37,37,48,48,11,442,9,0,1.0,0
3.0,0.7,8,true,81,81,0.0,0.9977252523131455,99,0.8499166635040305,0.99,32,32,28,32,8,322,7,0,1.0,0
3.0,0.0,9,true,93,93,1.0,0.9993635358099656,97,0.8543328291468657,0.97,28,30,44,44,11,0,8,0,1.0,0
3.0,2.0,15,true,158,158,0.0,0.9996231172282515,97,0.8229364006572911,0.97,89,89,109,109,122,1856,75,44,1.0,25
3.0,0.3,19,true,69,69,1.0,0.9973837625527956,100,0.8467981758911961,1.0,18,19,20,20,2,108,2,0,1.0,0
3.0,5.0,8,true,84,84,0.0,0.9989117784520157,97,0.8562459947484755,0.97,27,27,35,35,10,317,7,0,1.0,1
3.0,0.1,29,true,83,83,1.0,0.997576698503613,100,0.8482480594586211,1.0,31,33,34,34,9,348,9,0,1.0,1
3.0,0.7,9,true,101,101,1.0,0.9995272048466032,97,0.8618186986586769,0.97,35,35,52,52,15,485,12,0,1.0,1
3.0,0.0,10,true,103,103,0.0,0.9986294043842192,98,0.7517683950037711,0.98,46,46,54,54,30,0,28,0,1.0,15
3.0,0.3,20,true,100,100,1.0,0.9994702766334231,99,0.8602493528010215,0.99,36,36,51,51,12,433,11,0,1.0,0
3.0,2.0,16,true,104,104,0.0,0.9995731375981955,97,0.8631087571628231,0.97,38,38,55,55,23,618,21,0,1.0,3
3.0,0.7,10,true,70,70,0.0,0.9968101554899413,99,0.8463437120450638,0.99,20,20,21,21,3,136,3,0,1.0,0
3.0,0.0,11,true,79,79,0.0,0.9977082227476722,99,0.8444641566666452,0.99,27,28,30,30,8,0,7,0,1.0,2
3.0,0.3,21,true,70,70,1.0,0.9976306760965469,100,0.8475176337525275,1.0,19,19,21,21,1,97,1,0,1.0,0
3.0,0.1,30,true,107,107,0.0,0.9996368670360337,97,0.8631424865381623,0.97,38,39,58,58,15,566,12,0,1.0,3
3.0,5.0,9,true,145,145,0.0,0.9999934841537543,90,0.8877801072168353,0.9,37,37,96,96,30,731,20,0,1.0,2
3.0,1.0,25,true,124,124,0.0,0.9999592303439339,95,0.874989849064842,0.95,33,36,75,75,20,616,15,0,1.0,1
3.0,0.7,11,true,80,80,1.0,0.99818521433581,99,0.8510884459639664,0.99,26,27,25,28,7,279,6,0,1.0,0
3.0,0.0,12,true,74,74,0.0,0.9973489405331861,99,0.8474990960166393,0.99,25,25,25,25,4,0,3,0,1.0,0
3.0,0.3,22,true,78,78,0.0,0.997393668857656,99,0.8490542754665452,0.99,29,29,26,29,8,308,7,0,1.0,0
3.0,2.0,17,true,106,106,0.0,0.999787985372896,99,0.8653624927293869,0.99,33,33,57,57,18,508,17,0,1.0,1
3.0,0.0,13,true,85,85,0.0,0.9988678711451757,99,0.8540415231568643,0.99,21,25,36,36,10,0,9,0,1.0,1
3.0,0.2,1,true,116,116,1.0,0.9995080446920863,95,0.8196684427306336,0.95,53,53,67,67,31,1000,26,0,1.0,8
3.0,5.0,10,true,116,116,0.0,0.997989029163953,100,0.675586209331755,1.0,60,60,60,60,51,1129,45,6,1.0,7
3.0,1.0,26,true,106,106,1.0,0.9996612770733039,96,0.8640358465901308,0.96,37,37,57,57,18,595,14,0,1.0,1
3.0,0.3,23,true,80,80,0.0,0.9975695183861272,97,0.849564224774501,0.97,31,31,31,31,8,321,5,0,1.0,0
3.0,0.7,12,true,114,114,0.0,0.9998936925556002,97,0.8694220028599329,0.97,34,34,65,65,13,468,10,0,1.0,0
3.0,2.0,18,true,103,103,0.0,0.9995291429393042,94,0.8635992026498586,0.94,34,34,54,54,21,582,15,0,1.0,1
3.0,1.0,27,true,67,67,1.0,0.9973763554729667,100,0.8464180747265527,1.0,17,17,18,18,2,96,2,0,1.0,0
3.0,0.0,14,true,104,104,1.0,0.9996642767659282,98,0.8583170839834721,0.98,34,34,55,55,14,0,12,0,1.0,2
3.0,0.3,24,true,75,75,1.0,0.9972929223413748,99,0.8486498818708703,0.99,26,26,23,26,6,243,5,0,1.0,0
3.0,0.7,13,true,81,81,1.0,0.9975648185084839,98,0.8500766376581661,0.98,31,32,30,32,10,381,8,0,1.0,0
3.0,5.0,11,true,106,106,0.0,0.9976838505282718,98,0.7129831693328393,0.98,53,51,57,57,44,1057,42,0,1.0,6
3.0,0.2,2,true,116,116,1.0,0.9996980144004094,97,0.8558726714233631,0.97,44,44,67,67,21,707,18,0,1.0,5
3.0,2.0,19,true,99,99,0.0,0.9994251634354309,98,0.8631837872441197,0.98,30,30,50,50,13,439,11,0,1.0,1
3.0,1.0,28,true,113,113,0.0,0.9975648321474457,99,0.6870646172769779,0.99,62,62,64,64,46,1205,44,1,1.0,9
3.0,0.0,15,true,108,108,1.0,0.9990992762882697,99,0.8005232869750575,0.99,45,48,59,59,27,0,25,1,1.0,13
3.0,0.3,25,true,106,106,1.0,0.9997469938228973,97,0.8644989043994713,0.97,36,34,57,57,13,451,10,0,1.0,1
3.0,5.0,12,true,103,103,1.0,0.9988225516993979,99,0.7840591510298993,0.99,46,46,54,54,40,961,39,0,1.0,6
3.0,0.7,14,true,112,112,1.0,0.9995638243929656,96,0.8552640634046305,0.96,43,43,63,63,27,792,23,0,1.0,6
3.0,0.2,3,true,107,107,1.0,0.9996543923009034,98,0.8640034667844304,0.98,39,40,58,58,13,545,11,0,1.0,1
3.0,2.0,20,true,112,112,1.0,0.9973766728253031,100,0.6816030846315386,1.0,63,63,62,63,51,1174,47,4,1.0,10
3.0,0.0,16,true,99,99,1.0,0.9995261948627464,99,0.8584899195285368,0.99,34,33,50,50,15,0,14,0,1.0,5
3.0,0.3,26,true,83,83,0.0,0.9980860079091656,99,0.8520298672267703,0.99,32,31,29,32,10,359,9,0,1.0,0
3.0,1.0,29,true,107,107,1.0,0.9994098263674913,98,0.8614083701547857,0.98,45,44,58,58,27,783,25,0,1.0,4
3.0,5.0,13,true,106,106,1.0,0.9984729866841281,100,0.7038316818338523,1.0,51,51,57,57,41,1045,41,0,1.0,5
3.0,0.7,15,true,111,111,0.0,0.9997807651961935,95,0.8669088496946218,0.95,35,35,62,62,17,546,12,0,1.0,3
3.0,0.0,17,true,72,72,0.0,0.9975445088249544,100,0.8469422586388525,1.0,23,23,23,23,4,0,4,0,1.0,0
3.0,2.0,21,true,73,73,0.0,0.9974557814197071,99,0.8494576609126934,0.99,21,22,21,22,4,184,3,0,1.0,0
3.0,0.2,4,true,120,120,0.0,0.9993430056296805,97,0.7835426857565876,0.97,57,57,71,71,34,1061,31,0,1.0,10
3.0,0.3,27,true,76,76,1.0,0.9975076866878984,100,0.8479571459819654,1.0,26,27,25,27,5,230,5,0,1.0,0
3.0,0.7,16,true,77,77,1.0,0.9974512444605584,100,0.848318469777067,1.0,28,28,26,28,6,275,6,0,1.0,0
3.0,1.0,30,true,112,112,1.0,0.9995632076711266,94,0.8298033165477359,0.94,45,45,63,63,33,959,27,0,1.0,3
3.0,5.0,14,true,109,109,0.0,0.9972377631141908,100,0.688284527599902,1.0,59,60,59,60,55,1116,47,8,1.0,13
3.0,0.3,28,true,75,75,0.0,0.9976394763448125,100,0.8478122206155139,1.0,23,25,26,26,4,195,4,0,1.0,0
3.0,0.7,17,true,73,73,0.0,0.9971579912848242,98,0.8486680144474693,0.98,23,22,24,24,2,164,0,0,1.0,0
3.0,0.2,5,true,85,85,0.0,0.9971016477579725,96,0.8511847906145781,0.96,33,35,36,36,10,373,6,0,1.0,0
3.0,2.0,22,true,100,100,0.0,0.9996763066042904,97,0.863896152806721,0.97,30,30,51,51,16,451,13,0,1.0,0
3.0,0.0,18,true,75,75,1.0,0.9977410644471945,99,0.8485067167164833,0.99,21,26,24,26,6,0,5,0,1.0,1
3.0,0.7,18,true,68,68,1.0,0.9965466747851657,99,0.846874634404671,0.99,18,18,19,19,2,114,1,0,1.0,0
3.0,0.3,29,true,84,84,0.0,0.9979846513051582,99,0.8509309030771718,0.99,33,33,35,35,9,387,8,0,1.0,1
3.0,5.0,15,true,122,122,0.0,0.9988017442139957,96,0.7114764141128646,0.96,58,57,61,61,48,1148,38,6,1.0,9
3.0,0.2,6,true,81,81,1.0,0.9977452797368721,98,0.8500203423487966,0.98,32,31,29,32,6,286,4,0,1.0,0
3.0,2.0,23,true,86,86,1.0,0.9986019597688339,98,0.8550434488890925,0.98,30,31,28,31,9,310,7,0,1.0,1
3.0,0.0,19,true,75,75,1.0,0.9980136874534336,99,0.8480893122650595,0.99,23,23,26,26,5,0,4,0,1.0,0
