delta,lambda,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_all_met,final_fraction_A,final_coordination_rate,total_ticks
1.0,5.0,4,85,true,36,26,36,1.0,1.0,85
1.0,5.0,5,76,true,24,18,24,1.0,1.0,76
1.0,5.0,6,83,true,30,25,30,0.98,0.96,83
1.0,5.0,7,88,true,39,30,39,0.01,0.98,88
1.0,5.0,8,76,true,27,23,27,0.97,0.94,76
1.0,5.0,9,81,true,30,26,30,0.98,0.96,81
1.0,5.0,10,84,true,27,25,27,0.0,1.0,84
1.0,5.0,11,75,true,20,17,20,0.99,0.98,75
1.0,5.0,12,85,true,30,22,30,0.01,0.98,85
1.0,5.0,13,93,true,42,36,42,0.01,0.98,93
1.0,5.0,14,72,true,20,18,20,0.02,0.96,72
1.0,5.0,15,80,true,25,19,25,0.99,0.98,80
1.0,5.0,16,84,true,35,24,35,1.0,1.0,84
1.0,5.0,17,84,true,29,25,29,0.01,0.98,84
1.0,5.0,18,109,true,48,39,48,0.98,0.96,109
1.0,5.0,19,90,true,36,32,36,0.99,0.98,90
1.0,5.0,20,100,true,44,37,44,0.99,0.98,100
1.0,10.0,1,72,true,21,21,21,0.0,1.0,72
1.0,10.0,2,61,true,12,9,12,0.0,1.0,61
1.0,10.0,3,67,true,18,16,18,1.0,1.0,67
1.0,10.0,4,59,true,10,10,10,0.0,1.0,59
1.0,10.0,5,64,true,15,14,15,0.0,1.0,64
1.0,10.0,6,71,true,22,20,22,0.0,1.0,71
1.0,10.0,7,69,true,20,18,20,0.0,1.0,69
1.0,10.0,8,78,true,29,26,29,1.0,1.0,78
1.0,10.0,9,76,true,27,24,27,0.0,1.0,76
1.0,10.0,10,71,true,22,21,22,1.0,1.0,71
1.0,10.0,11,69,true,20,18,20,1.0,1.0,69
1.0,10.0,12,70,true,21,18,21,1.0,1.0,70
1.0,10.0,13,63,true,14,14,14,1.0,1.0,63
1.0,10.0,14,68,true,19,17,19,1.0,1.0,68
1.0,10.0,15,70,true,21,20,21,1.0,1.0,70
1.0,10.0,16,69,true,20,20,20,1.0,1.0,69
1.0,10.0,17,61,true,12,11,12,0.0,1.0,61
1.0,10.0,18,67,true,18,16,18,1.0,1.0,67
1.0,10.0,19,68,true,19,19,19,1.0,1.0,68
1.0,10.0,20,70,true,21,20,21,1.0,1.0,70
