section,metric,value,p_value,extra,note
S6,granger_mean_sigma_mean_beff_A_lag3,3.432048374629989,0.017453157836382904,3.0,**
S7,changepoint_n_crystallized,86.0,133.9493475661224,NaN,decrease
S7,changepoint_mean_beff_A,67.0,119.87346068405805,NaN,decrease
S7,changepoint_mean_sigma,84.0,117.0864983104936,NaN,decrease
S7,sensitivity_theta1.5_conv_rate,1.0,NaN,NaN,
S7,sensitivity_theta1.5_mean_tick,97.64444444444445,NaN,NaN,
S7,sensitivity_theta3.0_conv_rate,1.0,NaN,NaN,
S7,sensitivity_theta3.0_mean_tick,93.41111111111111,NaN,NaN,
S7,sensitivity_theta5.0_conv_rate,0.9222222222222223,NaN,NaN,
S7,sensitivity_theta5.0_mean_tick,105.40361445783132,NaN,NaN,
S7,ews_variance_trend,0.8772063131663185,NaN,NaN,CSD
S7,ews_lead_time,19.0,NaN,NaN,ticks
S8,do_phi_minus5_tick_pct_change,-5.939631661204191,NaN,NaN,
S8,do_theta_plus1_tick_pct_change,1.100154260800878,NaN,NaN,
S8,do_no_enforcement_tick_pct_change,-11.817395895979189,NaN,NaN,
