condition,w_base,w_max,enable_normative,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
B_lockin_only,2,6,false,1,0,false,127,126,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,2,0,false,92,94,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,3,0,false,77,78,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,4,0,false,106,106,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,5,0,false,67,66,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,6,0,false,62,62,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,7,0,false,147,140,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,8,0,false,147,147,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,9,0,false,68,103,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,10,0,false,127,127,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,11,0,false,106,106,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,12,0,false,56,53,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,13,0,false,83,85,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,14,0,false,47,55,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,15,0,false,118,139,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,16,0,false,84,85,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,17,0,false,81,79,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,18,0,false,64,62,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,19,0,false,118,135,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,20,0,false,79,83,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,21,0,false,405,406,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,22,0,false,141,141,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,23,0,false,107,107,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,24,0,false,181,181,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,25,0,false,57,59,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,26,0,false,143,143,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,27,0,false,58,59,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,28,0,false,85,85,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,29,0,false,73,73,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,30,0,false,67,67,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,31,0,false,63,63,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,32,0,false,149,149,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,33,0,false,47,51,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,34,0,false,109,109,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,35,0,false,133,128,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
B_lockin_only,2,6,false,36,0,false,162,165,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
