V,Phi,condition,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0,0.0,D_full_model,18,96,true,30,30,47,47,0.0,0.9994806396521398,99,0.8601575986598706,0.99,96
0,0.0,D_full_model,19,106,true,40,40,57,57,1.0,0.9995828716641175,98,0.8333257256797916,0.98,106
0,0.0,D_full_model,20,91,true,31,31,42,42,0.0,0.9991993244538689,98,0.8474894093371055,0.98,91
0,0.0,D_full_model,21,94,true,36,36,45,45,0.0,0.9989131762601615,100,0.8434362429084488,1.0,94
0,0.0,D_full_model,22,72,true,22,23,23,23,0.0,0.9975391533154538,100,0.8481392382570059,1.0,72
0,0.0,D_full_model,23,99,true,33,33,50,50,1.0,0.999389635118148,96,0.8504882005867885,0.96,99
0,0.0,D_full_model,24,101,true,37,38,52,52,0.0,0.999428956819029,96,0.8596116794992777,0.96,101
0,0.0,D_full_model,25,100,true,35,37,51,51,0.0,0.9994063097964815,98,0.8509176324953732,0.98,100
0,0.0,D_full_model,26,75,true,25,26,26,26,1.0,0.9972062212320238,99,0.8473279616083768,0.99,75
0,0.0,D_full_model,27,111,true,51,52,62,62,0.0,0.9989362695677313,97,0.7588497560674248,0.97,111
0,0.0,D_full_model,28,105,true,47,47,56,56,0.0,0.99855887001198,99,0.7588362839816951,0.99,105
0,0.0,D_full_model,29,106,true,45,46,57,57,1.0,0.9988996616218162,97,0.805534031347457,0.97,106
0,0.0,D_full_model,30,73,true,24,24,24,24,0.0,0.9973055253623357,98,0.8482640143549646,0.98,73
0,0.5,C_normative_only,1,0,false,40,40,30,40,0.91,0.7233631099415615,100,0.9932192699809106,0.91,3000
0,0.5,C_normative_only,2,0,false,0,0,0,0,0.84,0.560334768549365,100,0.9957431024254165,0.84,3000
0,0.5,C_normative_only,3,0,false,0,202,0,0,0.8,0.466102492717458,100,0.9973535401564996,0.79,3000
0,0.5,C_normative_only,4,0,false,0,185,0,0,0.85,0.5290999503920945,100,0.9961971653342647,0.83,3000
0,0.5,C_normative_only,5,0,false,80,0,0,0,0.86,0.5835115076515346,100,0.9947930184732421,0.86,3000
0,0.5,C_normative_only,6,0,false,179,0,0,0,0.87,0.5955499189639181,100,0.9950185558064719,0.86,3000
0,0.5,C_normative_only,7,70,true,21,21,19,21,0.0,0.9974512914094746,100,0.8484847819036097,1.0,70
0,0.5,C_normative_only,8,0,false,0,1545,0,0,0.8,0.49893699764135613,100,0.9970872858952612,0.8,3000
0,0.5,C_normative_only,9,0,false,37,33,26,37,0.95,0.778377362235182,100,0.9930891566183719,0.93,3000
0,0.5,C_normative_only,10,0,false,212,416,0,0,0.13,0.6269244779638442,100,0.9947894750477421,0.87,3000
0,0.5,C_normative_only,11,0,false,38,40,30,77,0.94,0.7291202538129555,100,0.9932793949145726,0.91,3000
0,0.5,C_normative_only,12,0,false,100,100,0,0,0.89,0.6716368900919619,100,0.9936252135480252,0.89,3000
0,0.5,C_normative_only,13,0,false,0,0,0,0,0.17,0.5276960640328131,100,0.9961351779011994,0.83,3000
0,0.5,C_normative_only,14,0,false,0,2555,0,0,0.85,0.5260967810731964,100,0.9965743793795571,0.82,3000
0,0.5,C_normative_only,15,0,false,0,0,0,0,0.63,0.2929499516234724,100,0.999621488242576,0.63,3000
0,0.5,C_normative_only,16,0,false,38,38,25,38,0.95,0.7607003508821092,100,0.9931614950097581,0.92,3000
0,0.5,C_normative_only,17,0,false,0,0,0,0,0.61,0.26364598825454366,100,0.999702460642292,0.61,3000
0,0.5,C_normative_only,18,0,false,0,382,0,0,0.82,0.49796779747093545,100,0.9968359475862932,0.81,3000
0,0.5,C_normative_only,19,0,false,34,34,28,34,0.94,0.7646035659889059,100,0.9934199202790035,0.92,3000
0,0.5,C_normative_only,20,0,false,0,0,0,0,0.51,0.2575584190658382,100,0.9998764841198533,0.51,3000
0,0.5,C_normative_only,21,0,false,0,100,0,0,0.85,0.5891506032623537,100,0.9952706763542476,0.85,3000
0,0.5,C_normative_only,22,0,false,32,34,29,34,0.07,0.7836621545393057,100,0.9930950441103613,0.93,3000
0,0.5,C_normative_only,23,0,false,0,0,0,0,0.75,0.40479750757013067,100,0.9985776847785727,0.74,3000
0,0.5,C_normative_only,24,0,false,217,247,0,0,0.09,0.6496663140004553,100,0.9939037170618158,0.88,3000
0,0.5,C_normative_only,25,0,false,0,2057,0,0,0.19,0.4798479695127883,100,0.9968429125071806,0.81,3000
0,0.5,C_normative_only,26,0,false,30,34,32,38,0.08,0.7613416814389637,100,0.9933065605246477,0.92,3000
0,0.5,C_normative_only,27,0,false,0,892,0,0,0.79,0.430831502180857,100,0.9975706691602241,0.79,3000
0,0.5,C_normative_only,28,300,true,41,32,26,41,0.96,0.8605383291765664,100,0.9412782809505436,0.95,300
0,0.5,C_normative_only,29,98,true,26,26,23,26,0.02,0.8858820414475769,100,0.8631941308310185,0.97,98
0,0.5,C_normative_only,30,0,false,478,478,0,0,0.9,0.6391876199357011,100,0.9943045709558638,0.87,3000
0,0.5,D_full_model,1,0,false,0,0,0,0,0.67,0.30466279303076793,100,0.9994204217679896,0.67,3000
0,0.5,D_full_model,2,0,false,28,31,24,32,0.93,0.7800351885855153,100,0.9929426031686021,0.93,3000
0,0.5,D_full_model,3,0,false,0,0,0,0,0.7,0.3421301179056968,100,0.9990503432715501,0.7,3000
0,0.5,D_full_model,4,0,false,0,0,0,0,0.79,0.4560868773196647,100,0.9972889931589165,0.79,3000
0,0.5,D_full_model,5,0,false,0,0,0,0,0.21,0.4513472965945865,100,0.9975990109909395,0.78,3000
0,0.5,D_full_model,6,0,false,29,29,25,29,0.96,0.8191636510486273,100,0.9934924540751586,0.94,3000
0,0.5,D_full_model,7,0,false,121,265,0,0,0.89,0.634980589775955,100,0.9944406193339613,0.88,3000
0,0.5,D_full_model,8,0,false,37,101,32,101,0.9,0.7149957966051298,100,0.9935475093126037,0.9,3000
0,0.5,D_full_model,9,0,false,0,0,0,0,0.67,0.3326440524641276,100,0.9993813988684086,0.67,3000
0,0.5,D_full_model,10,0,false,0,0,0,0,0.78,0.4691475937821617,100,0.9975825576627899,0.78,3000
0,0.5,D_full_model,11,0,false,0,0,0,0,0.71,0.3568560095558049,100,0.9990169797681144,0.71,3000
0,0.5,D_full_model,12,0,false,0,0,0,0,0.69,0.3389598940130169,100,0.9992937880801885,0.68,3000
0,0.5,D_full_model,13,0,false,0,0,0,0,0.23,0.44058685549915255,100,0.9978466768976737,0.77,3000
0,0.5,D_full_model,14,0,false,27,26,24,27,0.05,0.8183299899916023,100,0.9933943591049557,0.94,3000
0,0.5,D_full_model,15,0,false,373,373,0,0,0.86,0.5989892080941381,100,0.9951753025145463,0.86,3000
0,0.5,D_full_model,16,0,false,0,0,0,0,0.84,0.5036222057084975,100,0.9966026206558467,0.82,3000
0,0.5,D_full_model,17,73,true,24,24,22,24,0.02,0.882041837060063,100,0.8464413787109174,0.97,73
0,0.5,D_full_model,18,0,false,0,0,0,0,0.22,0.41891447890287603,100,0.997888244563398,0.77,3000
0,0.5,D_full_model,19,0,false,33,30,24,33,0.96,0.7863152624102758,100,0.9930722115765637,0.93,3000
0,0.5,D_full_model,20,0,false,0,0,0,0,0.4,0.2602320341053328,100,0.9997471334509135,0.6,3000
0,0.5,D_full_model,21,487,true,21,21,20,21,0.97,0.8710095151322816,100,0.9714018966288488,0.95,487
0,0.5,D_full_model,22,0,false,0,0,0,0,0.73,0.3759316725284401,100,0.9986870537178523,0.73,3000
0,0.5,D_full_model,23,0,false,0,0,0,0,0.65,0.3119301917681162,100,0.9995145495172967,0.65,3000
0,0.5,D_full_model,24,0,false,0,0,0,0,0.24,0.41339695719506414,100,0.9982511253938118,0.76,3000
0,0.5,D_full_model,25,0,false,0,0,0,0,0.83,0.5254289345071304,100,0.9964453562328921,0.82,3000
0,0.5,D_full_model,26,0,false,86,86,0,0,0.89,0.6820443441938938,100,0.993541361910138,0.89,3000
0,0.5,D_full_model,27,0,false,0,0,0,0,0.81,0.481850721143472,100,0.996918102120128,0.81,3000
0,0.5,D_full_model,28,0,false,29,29,26,29,0.06,0.8142061488948797,100,0.9934133399240324,0.94,3000
0,0.5,D_full_model,29,101,true,27,26,24,27,0.02,0.8957365355874413,100,0.8647844575426934,0.97,101
0,0.5,D_full_model,30,0,false,33,70,31,70,0.07,0.7358791951473396,100,0.9932627239336018,0.91,3000
0,1.0,C_normative_only,1,0,false,131,78,29,131,0.09,0.6945525176256413,100,0.9933724383303455,0.9,3000
0,1.0,C_normative_only,2,318,true,28,27,22,28,0.04,0.8564421311514222,100,0.9457780560156067,0.95,318
0,1.0,C_normative_only,3,0,false,0,0,0,0,0.51,0.24771867519080334,100,0.9998728086140777,0.51,3000
0,1.0,C_normative_only,4,0,false,0,71,0,0,0.18,0.4961707703947773,100,0.9962055017406041,0.82,3000
0,1.0,C_normative_only,5,0,false,27,27,22,27,0.95,0.8145073784529333,100,0.9932807182364087,0.94,3000
0,1.0,C_normative_only,6,0,false,27,27,21,27,0.05,0.8201262809656231,100,0.993146320368799,0.94,3000
0,1.0,C_normative_only,7,0,false,0,0,0,0,0.68,0.32488218961866516,100,0.999291900324294,0.68,3000
0,1.0,C_normative_only,8,0,false,0,0,0,0,0.86,0.5678831470079484,100,0.9950277067459503,0.85,3000
0,1.0,C_normative_only,9,0,false,0,0,0,0,0.33,0.31291359319974454,100,0.9993800086569741,0.67,3000
0,1.0,C_normative_only,10,0,false,93,43,26,93,0.07,0.7180174981047756,100,0.9929899784037443,0.91,3000
0,1.0,C_normative_only,11,0,false,102,886,0,0,0.11,0.6312679130324336,100,0.994758680915565,0.87,3000
0,1.0,C_normative_only,12,0,false,26,26,23,26,0.96,0.8169611882033031,100,0.9932839507567643,0.94,3000
0,1.0,C_normative_only,13,0,false,0,0,0,0,0.62,0.2798093248519361,100,0.9996679974699829,0.62,3000
0,1.0,C_normative_only,14,0,false,27,28,23,28,0.06,0.8152716371028794,100,0.9933202980253784,0.94,3000
0,1.0,C_normative_only,15,228,true,21,23,19,25,0.96,0.8860474650423249,100,0.9236991621780727,0.96,228
0,1.0,C_normative_only,16,0,false,0,835,0,0,0.76,0.396780094193709,100,0.9981821812975943,0.76,3000
0,1.0,C_normative_only,17,0,false,0,0,0,0,0.4,0.26758594121424933,100,0.999780860234241,0.59,3000
0,1.0,C_normative_only,18,0,false,0,0,0,0,0.77,0.416914029007172,100,0.9979201487913058,0.77,3000
0,1.0,C_normative_only,19,0,false,0,0,0,0,0.58,0.242119351393416,100,0.9997930887373697,0.58,3000
0,1.0,C_normative_only,20,0,false,30,30,22,30,0.93,0.7502458129204668,100,0.9931323578642168,0.92,3000
0,1.0,C_normative_only,21,0,false,0,2574,0,0,0.19,0.4683834874812676,100,0.996573686688323,0.81,3000
0,1.0,C_normative_only,22,72,true,23,23,19,23,0.01,0.9685923029563456,100,0.8484853203376743,0.99,72
0,1.0,C_normative_only,23,0,false,0,0,0,0,0.63,0.2735560293445505,100,0.9996470589121502,0.63,3000
0,1.0,C_normative_only,24,0,false,38,38,30,38,0.06,0.7267652904216766,100,0.9931654735168105,0.91,3000
0,1.0,C_normative_only,25,0,false,0,0,0,0,0.48,0.25070571662774205,100,0.9998713965426401,0.52,3000
0,1.0,C_normative_only,26,0,false,0,262,0,0,0.78,0.4291281714536936,100,0.9976211740046799,0.78,3000
0,1.0,C_normative_only,27,0,false,0,0,0,0,0.62,0.2913567106555059,100,0.9996621898019613,0.62,3000
0,1.0,C_normative_only,28,0,false,0,0,0,0,0.74,0.39677730646259946,100,0.9985450130963683,0.74,3000
0,1.0,C_normative_only,29,0,false,0,184,0,0,0.84,0.5359826198516666,100,0.9959677097790128,0.83,3000
0,1.0,C_normative_only,30,0,false,0,0,0,0,0.44,0.2721801548262945,100,0.9998319020277332,0.56,3000
0,1.0,D_full_model,1,0,false,0,0,0,0,0.81,0.4848033046529052,100,0.9968270336601615,0.81,3000
0,1.0,D_full_model,2,68,true,17,18,19,19,0.97,0.9281671805154551,100,0.8453534000866703,0.98,68
0,1.0,D_full_model,3,0,false,0,0,0,0,0.47,0.2529460278494403,100,0.9998659020257459,0.53,3000
0,1.0,D_full_model,4,0,false,22,22,25,35,0.06,0.8091949777166109,100,0.9930787019201438,0.94,3000
0,1.0,D_full_model,5,0,false,0,0,0,0,0.74,0.4095721757970267,100,0.9985751163172054,0.74,3000
0,1.0,D_full_model,6,0,false,145,281,0,0,0.12,0.669128830418596,100,0.9941700895304324,0.88,3000
0,1.0,D_full_model,7,0,false,91,54,0,0,0.91,0.6405643999603191,100,0.9941405721522278,0.88,3000
0,1.0,D_full_model,8,0,false,34,36,33,51,0.95,0.7493396391841727,100,0.9931952586509338,0.91,3000
0,1.0,D_full_model,9,0,false,141,0,0,0,0.88,0.6279435541286892,100,0.9942119101570356,0.87,3000
0,1.0,D_full_model,10,255,true,20,22,20,22,0.99,0.8801825325478773,100,0.9321169169252793,0.96,255
0,1.0,D_full_model,11,0,false,0,0,0,0,0.78,0.4525746767069409,100,0.9976057134013161,0.78,3000
0,1.0,D_full_model,12,0,false,206,402,0,0,0.11,0.6697765517396216,100,0.9941760247192347,0.88,3000
0,1.0,D_full_model,13,0,false,103,165,0,0,0.08,0.6883363586088851,100,0.9933008267978589,0.89,3000
0,1.0,D_full_model,14,0,false,0,0,0,0,0.28,0.3495270109667538,100,0.9988148856608278,0.72,3000
0,1.0,D_full_model,15,0,false,448,448,0,0,0.89,0.6263681120369684,100,0.9944641968666618,0.87,3000
0,1.0,D_full_model,16,75,true,22,22,21,22,0.99,0.8956335103993657,100,0.8488166008113731,0.97,75
0,1.0,D_full_model,17,0,false,25,48,25,48,0.08,0.7415372415123127,100,0.9929916670735099,0.92,3000
0,1.0,D_full_model,18,215,true,23,23,21,23,0.02,0.8792171501934909,100,0.9190804145943244,0.96,215
0,1.0,D_full_model,19,0,false,0,0,0,0,0.24,0.43498962564787486,100,0.9981737784426015,0.76,3000
0,1.0,D_full_model,20,0,false,86,161,29,161,0.9,0.6964957446866927,100,0.9932158328450104,0.9,3000
0,1.0,D_full_model,21,0,false,188,0,0,0,0.16,0.5515839891911294,100,0.9958297126430928,0.84,3000
0,1.0,D_full_model,22,433,true,25,25,20,25,0.99,0.8629212739704636,100,0.965216077531637,0.95,433
0,1.0,D_full_model,23,0,false,23,24,26,37,0.05,0.7896853562777126,100,0.9930775869553109,0.93,3000
0,1.0,D_full_model,24,0,false,308,0,0,0,0.86,0.5610953586336788,100,0.9950375655696575,0.85,3000
0,1.0,D_full_model,25,0,false,0,0,0,0,0.18,0.502191282275872,100,0.9963825230955449,0.82,3000
0,1.0,D_full_model,26,0,false,129,129,0,0,0.91,0.6662635581156411,100,0.9940885569406929,0.89,3000
0,1.0,D_full_model,27,0,false,0,0,0,0,0.15,0.5733382324779476,100,0.9958490294496272,0.84,3000
0,1.0,D_full_model,28,0,false,0,0,0,0,0.88,0.6051456186160407,100,0.9950520709039924,0.86,3000
0,1.0,D_full_model,29,0,false,36,33,23,36,0.92,0.750281874657134,100,0.9931542489000852,0.92,3000
0,1.0,D_full_model,30,0,false,255,0,0,0,0.13,0.590006085322698,100,0.9949554883032258,0.86,3000
0,2.0,C_normative_only,1,0,false,0,0,0,0,0.29,0.34937415111392417,100,0.9989813694795635,0.71,3000
0,2.0,C_normative_only,2,0,false,0,593,0,0,0.77,0.4519026385113703,100,0.997979802171871,0.77,3000
0,2.0,C_normative_only,3,0,false,0,0,0,0,0.46,0.2549367159388703,100,0.9998634918294365,0.54,3000
0,2.0,C_normative_only,4,72,true,21,23,19,23,0.02,0.917013810032348,100,0.8479026718404823,0.98,72
0,2.0,C_normative_only,5,0,false,36,27,23,36,0.95,0.8215091596306238,100,0.9931587850980987,0.94,3000
0,2.0,C_normative_only,6,0,false,0,0,0,0,0.7,0.33902547598194227,100,0.9990556308664605,0.7,3000
0,2.0,C_normative_only,7,0,false,169,169,0,0,0.1,0.6622956123484799,100,0.993421054040005,0.89,3000
0,2.0,C_normative_only,8,0,false,0,0,0,0,0.28,0.34055908157673626,100,0.9988430105362555,0.72,3000
0,2.0,C_normative_only,9,0,false,0,0,0,0,0.27,0.35850376076940427,100,0.9986939655534265,0.73,3000
0,2.0,C_normative_only,10,0,false,0,0,0,0,0.53,0.2466090266480158,100,0.9998650760517637,0.53,3000
0,2.0,C_normative_only,11,0,false,0,0,0,0,0.31,0.32461938848124355,100,0.999154843739131,0.69,3000
0,2.0,C_normative_only,12,0,false,0,0,0,0,0.24,0.4083973765701758,100,0.9981217584110861,0.76,3000
0,2.0,C_normative_only,13,0,false,0,0,0,0,0.47,0.2614008929135175,100,0.9998647934424268,0.53,3000
0,2.0,C_normative_only,14,0,false,248,669,0,0,0.1,0.6232555394505395,100,0.994489102645337,0.87,3000
0,2.0,C_normative_only,15,0,false,0,0,0,0,0.37,0.2905914335354341,100,0.999632593172287,0.63,3000
0,2.0,C_normative_only,16,69,true,20,20,17,20,0.98,0.9330721560697129,100,0.8469851259135419,0.98,69
0,2.0,C_normative_only,17,0,false,513,513,0,0,0.87,0.5955421149231985,100,0.9949935768163002,0.86,3000
0,2.0,C_normative_only,18,121,true,24,24,18,24,0.02,0.9176437602317598,100,0.8789538950856044,0.97,121
0,2.0,C_normative_only,19,0,false,0,0,0,0,0.16,0.5381704412736237,100,0.9955651807854725,0.84,3000
0,2.0,C_normative_only,20,0,false,25,25,24,25,0.91,0.7236929106244471,100,0.9931734533438354,0.91,3000
0,2.0,C_normative_only,21,0,false,0,0,0,0,0.57,0.2345216811301326,100,0.9998104170711268,0.57,3000
0,2.0,C_normative_only,22,0,false,0,373,0,0,0.74,0.3777866917635659,100,0.9985026437863402,0.74,3000
0,2.0,C_normative_only,23,0,false,0,0,0,0,0.77,0.4255192949665429,100,0.9981891068368475,0.76,3000
0,2.0,C_normative_only,24,0,false,0,303,0,0,0.26,0.39860867631902713,100,0.9985640941646754,0.74,3000
0,2.0,C_normative_only,25,0,false,0,0,0,0,0.69,0.3359490627653522,100,0.9992311633240566,0.69,3000
0,2.0,C_normative_only,26,0,false,0,0,0,0,0.39,0.27069495903976354,100,0.9997161361162082,0.61,3000
0,2.0,C_normative_only,27,0,false,0,0,0,0,0.35,0.31016297260654285,100,0.9995368912062698,0.65,3000
