tick,fraction_A,coordination,n_uncr,n_crA,n_crB,new_cryst_A,new_cryst_B,dissolutions,bexp_all,beff_all,bexp_crA,beff_crA,beff_crB,beff_uncr,sigma_crA,sigma_crB,n_enforce_A,n_enforce_B,bexp_var,beff_var,belief_variance,num_enforcements
116,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8049888804696118,NaN,82,0,0.0,0.0,0.0,0
117,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8059639360672632,NaN,82,0,0.0,0.0,0.0,0
118,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8069341163869272,NaN,82,0,0.0,0.0,0.0,0
119,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8078994458049928,NaN,82,0,0.0,0.0,0.0,0
120,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8088599485759678,NaN,82,0,0.0,0.0,0.0,0
121,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8098156488330883,NaN,82,0,0.0,0.0,0.0,0
122,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8107665705889223,NaN,82,0,0.0,0.0,0.0,0
123,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8117127377359781,NaN,82,0,0.0,0.0,0.0,0
124,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8126541740472979,NaN,82,0,0.0,0.0,0.0,0
125,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8135909031770613,NaN,82,0,0.0,0.0,0.0,0
126,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8145229486611759,NaN,82,0,0.0,0.0,0.0,0
127,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8154503339178705,NaN,82,0,0.0,0.0,0.0,0
128,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8163730822482811,NaN,82,0,0.0,0.0,0.0,0
129,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8172912168370394,NaN,82,0,0.0,0.0,0.0,0
130,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8182047607528545,NaN,82,0,0.0,0.0,0.0,0
131,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8191137369490903,NaN,82,0,0.0,0.0,0.0,0
132,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8200181682643446,NaN,82,0,0.0,0.0,0.0,0
133,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.820918077423023,NaN,82,0,0.0,0.0,0.0,0
134,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8218134870359075,NaN,82,0,0.0,0.0,0.0,0
135,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.822704419600728,NaN,82,0,0.0,0.0,0.0,0
136,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8235908975027245,NaN,82,0,0.0,0.0,0.0,0
137,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8244729430152108,NaN,82,0,0.0,0.0,0.0,0
138,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8253505783001351,NaN,82,0,0.0,0.0,0.0,0
139,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8262238254086345,NaN,82,0,0.0,0.0,0.0,0
140,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.827092706281591,NaN,82,0,0.0,0.0,0.0,0
141,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8279572427501829,NaN,82,0,0.0,0.0,0.0,0
142,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8288174565364324,NaN,82,0,0.0,0.0,0.0,0
143,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8296733692537499,NaN,82,0,0.0,0.0,0.0,0
144,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8305250024074811,NaN,82,0,0.0,0.0,0.0,0
145,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8313723773954439,NaN,82,0,0.0,0.0,0.0,0
146,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8322155155084668,NaN,82,0,0.0,0.0,0.0,0
147,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8330544379309243,NaN,82,0,0.0,0.0,0.0,0
148,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8338891657412696,NaN,82,0,0.0,0.0,0.0,0
149,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.834719719912563,NaN,82,0,0.0,0.0,0.0,0
150,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8355461213130008,NaN,82,0,0.0,0.0,0.0,0
151,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8363683907064353,NaN,82,0,0.0,0.0,0.0,0
152,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8371865487529033,NaN,82,0,0.0,0.0,0.0,0
153,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8380006160091388,NaN,82,0,0.0,0.0,0.0,0
154,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8388106129290933,NaN,82,0,0.0,0.0,0.0,0
155,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8396165598644476,NaN,82,0,0.0,0.0,0.0,0
156,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8404184770651253,NaN,82,0,0.0,0.0,0.0,0
157,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8412163846798,NaN,82,0,0.0,0.0,0.0,0
158,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8420103027564009,NaN,82,0,0.0,0.0,0.0,0
159,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8428002512426187,NaN,82,0,0.0,0.0,0.0,0
160,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8435862499864055,NaN,82,0,0.0,0.0,0.0,0
161,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8443683187364739,NaN,82,0,0.0,0.0,0.0,0
162,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8451464771427916,NaN,82,0,0.0,0.0,0.0,0
163,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8459207447570771,NaN,82,0,0.0,0.0,0.0,0
164,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8466911410332925,NaN,82,0,0.0,0.0,0.0,0
165,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8474576853281259,NaN,82,0,0.0,0.0,0.0,0
166,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8482203969014845,NaN,82,0,0.0,0.0,0.0,0
167,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8489792949169774,NaN,82,0,0.0,0.0,0.0,0
168,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8497343984423926,NaN,82,0,0.0,0.0,0.0,0
169,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8504857264501807,NaN,82,0,0.0,0.0,0.0,0
170,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8512332978179293,NaN,82,0,0.0,0.0,0.0,0
171,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8519771313288405,NaN,82,0,0.0,0.0,0.0,0
172,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8527172456721958,NaN,82,0,0.0,0.0,0.0,0
173,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.853453659443835,NaN,82,0,0.0,0.0,0.0,0
174,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8541863911466157,NaN,82,0,0.0,0.0,0.0,0
175,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8549154591908825,NaN,82,0,0.0,0.0,0.0,0
176,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8556408818949285,NaN,82,0,0.0,0.0,0.0,0
177,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8563626774854538,NaN,82,0,0.0,0.0,0.0,0
178,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8570808640980263,NaN,82,0,0.0,0.0,0.0,0
179,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8577954597775364,NaN,82,0,0.0,0.0,0.0,0
180,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8585064824786481,NaN,82,0,0.0,0.0,0.0,0
181,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8592139500662548,NaN,82,0,0.0,0.0,0.0,0
182,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8599178803159241,NaN,82,0,0.0,0.0,0.0,0
183,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8606182909143443,NaN,82,0,0.0,0.0,0.0,0
184,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8613151994597729,NaN,82,0,0.0,0.0,0.0,0
185,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.862008623462474,NaN,82,0,0.0,0.0,0.0,0
186,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8626985803451618,NaN,82,0,0.0,0.0,0.0,0
187,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8633850874434357,NaN,82,0,0.0,0.0,0.0,0
188,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8640681620062178,NaN,82,0,0.0,0.0,0.0,0
189,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8647478211961869,NaN,82,0,0.0,0.0,0.0,0
190,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8654240820902065,NaN,82,0,0.0,0.0,0.0,0
191,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8660969616797555,NaN,82,0,0.0,0.0,0.0,0
192,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8667664768713568,NaN,82,0,0.0,0.0,0.0,0
193,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8674326444869997,NaN,82,0,0.0,0.0,0.0,0
194,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8680954812645647,NaN,82,0,0.0,0.0,0.0,0
195,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8687550038582416,NaN,82,0,0.0,0.0,0.0,0
196,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8694112288389506,NaN,82,0,0.0,0.0,0.0,0
197,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.870064172694756,NaN,82,0,0.0,0.0,0.0,0
198,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8707138518312819,NaN,82,0,0.0,0.0,0.0,0
199,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8713602825721262,NaN,82,0,0.0,0.0,0.0,0
200,1.0,1.0,3,97,0,0,0,0,1.0,1.0,1.0,1.0,NaN,1.0,0.8720034811592654,NaN,82,0,0.0,0.0,0.0,0
