condition,tick,fraction_A,mean_confidence,coordination_rate,num_crystallised,mean_norm_strength,num_enforcements,belief_error,belief_variance,frac_dominant_norm,convergence_counter
EWA_RL,1,0.43,0.0,0.54,0,0.0,0,0.28961778969662133,0.12743258795141651,0.0,0
EWA_RL,2,0.39,0.0,0.46,0,0.0,0,0.3661669650381465,0.16281446384267567,0.0,0
EWA_RL,3,0.38,0.0,0.56,0,0.0,0,0.402816021863349,0.1832019989647799,0.0,0
EWA_RL,4,0.39,0.0,0.46,0,0.0,0,0.41516724684785444,0.18735951346931468,0.0,0
EWA_RL,5,0.32,0.0,0.68,0,0.0,0,0.39610742093560153,0.18528031678221307,0.0,0
EWA_RL,6,0.33,0.0,0.5,0,0.0,0,0.3925132140277405,0.1788410695824192,0.0,0
EWA_RL,7,0.34,0.0,0.52,0,0.0,0,0.39562889988136846,0.1785654950833362,0.0,0
EWA_RL,8,0.35,0.0,0.5,0,0.0,0,0.40059652722120453,0.179686011610341,0.0,0
EWA_RL,9,0.31,0.0,0.58,0,0.0,0,0.38240573921326726,0.17485583546514236,0.0,0
EWA_RL,10,0.33,0.0,0.62,0,0.0,0,0.39481662351733393,0.17895453602699196,0.0,0
EWA_RL,11,0.31,0.0,0.62,0,0.0,0,0.3916133164330947,0.1806300232578327,0.0,0
EWA_RL,12,0.32,0.0,0.68,0,0.0,0,0.4071612476212685,0.18850462131700166,0.0,0
EWA_RL,13,0.31,0.0,0.58,0,0.0,0,0.40448025329731174,0.18799857861041872,0.0,0
EWA_RL,14,0.33,0.0,0.54,0,0.0,0,0.414233409038567,0.1896871817361639,0.0,0
EWA_RL,15,0.32,0.0,0.6,0,0.0,0,0.4148497007636652,0.19342080416884555,0.0,0
EWA_RL,16,0.31,0.0,0.62,0,0.0,0,0.4098609520767701,0.19210287106499727,0.0,0
EWA_RL,17,0.31,0.0,0.58,0,0.0,0,0.4053936622762351,0.18869356380393953,0.0,0
EWA_RL,18,0.32,0.0,0.48,0,0.0,0,0.4069445599973791,0.18689668072496823,0.0,0
EWA_RL,19,0.31,0.0,0.54,0,0.0,0,0.403563626405161,0.1854647206583196,0.0,0
EWA_RL,20,0.29,0.0,0.62,0,0.0,0,0.39125709214947463,0.18187836464864346,0.0,0
EWA_RL,21,0.29,0.0,0.58,0,0.0,0,0.3879939591063428,0.17931433204206637,0.0,0
EWA_RL,22,0.29,0.0,0.62,0,0.0,0,0.38555976008685905,0.1766250954872432,0.0,0
EWA_RL,23,0.28,0.0,0.64,0,0.0,0,0.37688159959005624,0.17275606687707562,0.0,0
EWA_RL,24,0.28,0.0,0.6,0,0.0,0,0.37032345470805916,0.16714281976312315,0.0,0
EWA_RL,25,0.27,0.0,0.58,0,0.0,0,0.3610930628059702,0.16255034435113147,0.0,0
EWA_RL,26,0.29,0.0,0.58,0,0.0,0,0.3697716891335159,0.16256857394380764,0.0,0
EWA_RL,27,0.23,0.0,0.66,0,0.0,0,0.33288886039619703,0.15434164550813073,0.0,0
EWA_RL,28,0.24,0.0,0.52,0,0.0,0,0.32712213137754,0.14613718519839766,0.0,0
EWA_RL,29,0.25,0.0,0.66,0,0.0,0,0.32807667245469035,0.14318597925147494,0.0,0
EWA_RL,30,0.22,0.0,0.56,0,0.0,0,0.3071745657810261,0.1361924339739558,0.0,0
EWA_RL,31,0.18,0.0,0.64,0,0.0,0,0.2788706145057469,0.12590562193397242,0.0,0
EWA_RL,32,0.19,0.0,0.62,0,0.0,0,0.2766843698640961,0.11667060322336992,0.0,0
EWA_RL,33,0.19,0.0,0.74,0,0.0,0,0.2789140417884795,0.11898635513954367,0.0,0
