N,condition,norm_on,trial,converged,conv_tick,first_beh_tick,first_cryst_50,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err,mean_enforce,total_ticks
20,Dyn_noNorm,false,1,true,57,30,0,1.0,1.0,0,0.0,0.0,0.0,257
20,Dyn_noNorm,false,2,true,75,53,0,1.0,1.0,0,0.0,0.0,0.0,275
20,Dyn_noNorm,false,3,true,94,48,0,1.0,1.0,0,0.0,0.0,0.0,294
20,Dyn_noNorm,false,4,true,98,70,0,1.0,1.0,0,0.0,0.0,0.0,298
20,Dyn_noNorm,false,5,true,170,8,0,1.0,1.0,0,0.0,0.0,0.0,370
20,Dyn_noNorm,false,6,true,50,39,0,1.0,1.0,0,0.0,0.0,0.0,250
20,Dyn_noNorm,false,7,true,158,26,0,1.0,1.0,0,0.0,0.0,0.0,358
20,Dyn_noNorm,false,8,true,107,99,0,1.0,1.0,0,0.0,0.0,0.0,307
20,Dyn_noNorm,false,9,true,39,33,0,1.0,1.0,0,0.0,0.0,0.0,239
20,Dyn_noNorm,false,10,true,24,21,0,1.0,1.0,0,0.0,0.0,0.0,224
20,Dyn_noNorm,false,11,true,25,22,0,1.0,1.0,0,0.0,0.0,0.0,225
20,Dyn_noNorm,false,12,true,129,97,0,1.0,1.0,0,0.0,0.0,0.0,329
20,Dyn_noNorm,false,13,true,34,26,0,1.0,1.0,0,0.0,0.0,0.0,234
20,Dyn_noNorm,false,14,true,85,37,0,1.0,1.0,0,0.0,0.0,0.0,285
20,Dyn_noNorm,false,15,true,66,44,0,1.0,1.0,0,0.0,0.0,0.0,266
20,Dyn_noNorm,false,16,true,22,22,0,1.0,1.0,0,0.0,0.0,0.0,222
20,Dyn_noNorm,false,17,true,63,21,0,1.0,1.0,0,0.0,0.0,0.0,263
20,Dyn_noNorm,false,18,true,29,26,0,1.0,1.0,0,0.0,0.0,0.0,229
20,Dyn_noNorm,false,19,true,83,62,0,1.0,1.0,0,0.0,0.0,0.0,283
20,Dyn_noNorm,false,20,true,80,23,0,1.0,1.0,0,0.0,0.0,0.0,280
20,Dyn_noNorm,false,21,true,42,34,0,1.0,1.0,0,0.0,0.0,0.0,242
20,Dyn_noNorm,false,22,true,53,53,0,1.0,1.0,0,0.0,0.0,0.0,253
20,Dyn_noNorm,false,23,true,57,28,0,1.0,1.0,0,0.0,0.0,0.0,257
20,Dyn_noNorm,false,24,true,81,81,0,1.0,1.0,0,0.0,0.0,0.0,281
20,Dyn_noNorm,false,25,true,28,17,0,1.0,1.0,0,0.0,0.0,0.0,228
20,Dyn_noNorm,false,26,true,64,39,0,1.0,1.0,0,0.0,0.0,0.0,264
20,Dyn_noNorm,false,27,true,58,33,0,1.0,1.0,0,0.0,0.0,0.0,258
20,Dyn_noNorm,false,28,true,161,42,0,1.0,1.0,0,0.0,0.0,0.0,361
20,Dyn_noNorm,false,29,true,45,38,0,1.0,1.0,0,0.0,0.0,0.0,245
20,Dyn_noNorm,false,30,true,22,17,0,1.0,1.0,0,0.0,0.0,0.0,222
20,Dyn_noNorm,false,31,true,90,42,0,1.0,1.0,0,0.0,0.0,0.0,290
20,Dyn_noNorm,false,32,true,70,51,0,1.0,1.0,0,0.0,0.0,0.0,270
20,Dyn_noNorm,false,33,true,23,14,0,1.0,1.0,0,0.0,0.0,0.0,223
20,Dyn_noNorm,false,34,true,60,45,0,1.0,1.0,0,0.0,0.0,0.0,260
20,Dyn_noNorm,false,35,true,259,74,0,1.0,1.0,0,0.0,0.0,0.0,459
20,Dyn_noNorm,false,36,true,92,76,0,1.0,1.0,0,0.0,0.0,0.0,292
20,Dyn_noNorm,false,37,true,113,33,0,1.0,1.0,0,0.0,0.0,0.0,313
20,Dyn_noNorm,false,38,true,100,61,0,1.0,1.0,0,0.0,0.0,0.0,300
20,Dyn_noNorm,false,39,true,85,52,0,1.0,1.0,0,0.0,0.0,0.0,285
20,Dyn_noNorm,false,40,true,92,30,0,1.0,1.0,0,0.0,0.0,0.0,292
20,Dyn_noNorm,false,41,true,44,21,0,1.0,1.0,0,0.0,0.0,0.0,244
20,Dyn_noNorm,false,42,true,186,29,0,1.0,1.0,0,0.0,0.0,0.0,386
20,Dyn_noNorm,false,43,true,19,17,0,1.0,1.0,0,0.0,0.0,0.0,219
20,Dyn_noNorm,false,44,true,29,20,0,1.0,1.0,0,0.0,0.0,0.0,229
20,Dyn_noNorm,false,45,true,70,26,0,1.0,1.0,0,0.0,0.0,0.0,270
20,Dyn_noNorm,false,46,true,118,14,0,1.0,1.0,0,0.0,0.0,0.0,318
