N,condition,norm_on,trial,converged,conv_tick,first_beh_tick,first_cryst_50,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err,mean_enforce,total_ticks
4,Dyn_noNorm,false,57,true,4,4,0,1.0,1.0,0,0.0,0.0,0.0,204
4,Dyn_noNorm,false,58,true,38,28,0,1.0,1.0,0,0.0,0.0,0.0,238
4,Dyn_noNorm,false,59,true,14,14,0,1.0,1.0,0,0.0,0.0,0.0,214
4,Dyn_noNorm,false,60,true,22,3,0,1.0,1.0,0,0.0,0.0,0.0,222
4,Dyn_noNorm,false,61,true,21,21,0,1.0,1.0,0,0.0,0.0,0.0,221
4,Dyn_noNorm,false,62,true,15,13,0,1.0,1.0,0,0.0,0.0,0.0,215
4,Dyn_noNorm,false,63,true,1,1,0,1.0,1.0,0,0.0,0.0,0.0,201
4,Dyn_noNorm,false,64,true,20,18,0,1.0,1.0,0,0.0,0.0,0.0,220
4,Dyn_noNorm,false,65,true,17,5,0,1.0,1.0,0,0.0,0.0,0.0,217
4,Dyn_noNorm,false,66,true,14,5,0,1.0,1.0,0,0.0,0.0,0.0,214
4,Dyn_noNorm,false,67,true,3,3,0,1.0,1.0,0,0.0,0.0,0.0,203
4,Dyn_noNorm,false,68,true,11,11,0,1.0,1.0,0,0.0,0.0,0.0,211
4,Dyn_noNorm,false,69,true,21,3,0,1.0,1.0,0,0.0,0.0,0.0,221
4,Dyn_noNorm,false,70,true,8,8,0,1.0,1.0,0,0.0,0.0,0.0,208
4,Dyn_noNorm,false,71,true,20,5,0,1.0,1.0,0,0.0,0.0,0.0,220
4,Dyn_noNorm,false,72,true,45,9,0,1.0,1.0,0,0.0,0.0,0.0,245
4,Dyn_noNorm,false,73,true,1,1,0,1.0,1.0,0,0.0,0.0,0.0,201
4,Dyn_noNorm,false,74,true,57,17,0,1.0,1.0,0,0.0,0.0,0.0,257
4,Dyn_noNorm,false,75,true,68,3,0,1.0,1.0,0,0.0,0.0,0.0,268
4,Dyn_noNorm,false,76,true,35,10,0,1.0,1.0,0,0.0,0.0,0.0,235
4,Dyn_noNorm,false,77,true,9,5,0,1.0,1.0,0,0.0,0.0,0.0,209
4,Dyn_noNorm,false,78,true,17,14,0,1.0,1.0,0,0.0,0.0,0.0,217
4,Dyn_noNorm,false,79,true,30,3,0,1.0,1.0,0,0.0,0.0,0.0,230
4,Dyn_noNorm,false,80,true,31,31,0,1.0,1.0,0,0.0,0.0,0.0,231
4,Dyn_noNorm,false,81,true,33,15,0,1.0,1.0,0,0.0,0.0,0.0,233
4,Dyn_noNorm,false,82,true,3,3,0,1.0,1.0,0,0.0,0.0,0.0,203
4,Dyn_noNorm,false,83,true,34,4,0,1.0,1.0,0,0.0,0.0,0.0,234
4,Dyn_noNorm,false,84,true,36,11,0,1.0,1.0,0,0.0,0.0,0.0,236
4,Dyn_noNorm,false,85,true,1,1,0,1.0,1.0,0,0.0,0.0,0.0,201
4,Dyn_noNorm,false,86,true,14,12,0,1.0,1.0,0,0.0,0.0,0.0,214
4,Dyn_noNorm,false,87,true,12,12,0,1.0,1.0,0,0.0,0.0,0.0,212
4,Dyn_noNorm,false,88,true,66,3,0,1.0,1.0,0,0.0,0.0,0.0,266
4,Dyn_noNorm,false,89,true,35,20,0,1.0,1.0,0,0.0,0.0,0.0,235
