N,condition,norm_on,trial,converged,conv_tick,first_beh_tick,first_cryst_50,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err,mean_enforce,total_ticks
8,Dyn_noNorm,false,1,true,38,19,0,1.0,1.0,0,0.0,0.0,0.0,238
8,Dyn_noNorm,false,2,true,53,25,0,1.0,1.0,0,0.0,0.0,0.0,253
8,Dyn_noNorm,false,3,true,25,22,0,1.0,1.0,0,0.0,0.0,0.0,225
8,Dyn_noNorm,false,4,true,28,20,0,1.0,1.0,0,0.0,0.0,0.0,228
8,Dyn_noNorm,false,5,true,41,9,0,1.0,1.0,0,0.0,0.0,0.0,241
8,Dyn_noNorm,false,6,true,106,26,0,1.0,1.0,0,0.0,0.0,0.0,306
8,Dyn_noNorm,false,7,true,4,4,0,1.0,1.0,0,0.0,0.0,0.0,204
8,Dyn_noNorm,false,8,true,17,13,0,1.0,1.0,0,0.0,0.0,0.0,217
8,Dyn_noNorm,false,9,true,19,17,0,1.0,1.0,0,0.0,0.0,0.0,219
8,Dyn_noNorm,false,10,true,45,43,0,1.0,1.0,0,0.0,0.0,0.0,245
8,Dyn_noNorm,false,11,true,34,32,0,1.0,1.0,0,0.0,0.0,0.0,234
8,Dyn_noNorm,false,12,true,44,25,0,1.0,1.0,0,0.0,0.0,0.0,244
8,Dyn_noNorm,false,13,true,17,12,0,1.0,1.0,0,0.0,0.0,0.0,217
8,Dyn_noNorm,false,14,true,70,5,0,1.0,1.0,0,0.0,0.0,0.0,270
8,Dyn_noNorm,false,15,true,83,83,0,1.0,1.0,0,0.0,0.0,0.0,283
8,Dyn_noNorm,false,16,true,14,5,0,1.0,1.0,0,0.0,0.0,0.0,214
8,Dyn_noNorm,false,17,true,22,15,0,1.0,1.0,0,0.0,0.0,0.0,222
8,Dyn_noNorm,false,18,true,41,32,0,1.0,1.0,0,0.0,0.0,0.0,241
8,Dyn_noNorm,false,19,true,73,14,0,1.0,1.0,0,0.0,0.0,0.0,273
8,Dyn_noNorm,false,20,true,10,8,0,1.0,1.0,0,0.0,0.0,0.0,210
8,Dyn_noNorm,false,21,true,18,16,0,1.0,1.0,0,0.0,0.0,0.0,218
8,Dyn_noNorm,false,22,true,18,16,0,1.0,1.0,0,0.0,0.0,0.0,218
8,Dyn_noNorm,false,23,true,51,48,0,1.0,1.0,0,0.0,0.0,0.0,251
8,Dyn_noNorm,false,24,true,45,8,0,1.0,1.0,0,0.0,0.0,0.0,245
8,Dyn_noNorm,false,25,true,17,17,0,1.0,1.0,0,0.0,0.0,0.0,217
8,Dyn_noNorm,false,26,true,84,21,0,1.0,1.0,0,0.0,0.0,0.0,284
8,Dyn_noNorm,false,27,true,13,13,0,1.0,1.0,0,0.0,0.0,0.0,213
8,Dyn_noNorm,false,28,true,115,6,0,1.0,1.0,0,0.0,0.0,0.0,315
8,Dyn_noNorm,false,29,true,26,16,0,1.0,1.0,0,0.0,0.0,0.0,226
8,Dyn_noNorm,false,30,true,7,7,0,1.0,1.0,0,0.0,0.0,0.0,207
8,Dyn_noNorm,false,31,true,57,57,0,1.0,1.0,0,0.0,0.0,0.0,257
8,Dyn_noNorm,false,32,true,75,39,0,1.0,1.0,0,0.0,0.0,0.0,275
8,Dyn_noNorm,false,33,true,63,43,0,1.0,1.0,0,0.0,0.0,0.0,263
8,Dyn_noNorm,false,34,true,41,38,0,1.0,1.0,0,0.0,0.0,0.0,241
8,Dyn_noNorm,false,35,true,25,10,0,1.0,1.0,0,0.0,0.0,0.0,225
8,Dyn_noNorm,false,36,true,13,13,0,1.0,1.0,0,0.0,0.0,0.0,213
8,Dyn_noNorm,false,37,true,47,32,0,1.0,1.0,0,0.0,0.0,0.0,247
8,Dyn_noNorm,false,38,true,72,7,0,1.0,1.0,0,0.0,0.0,0.0,272
8,Dyn_noNorm,false,39,true,22,18,0,1.0,1.0,0,0.0,0.0,0.0,222
8,Dyn_noNorm,false,40,true,51,6,0,1.0,1.0,0,0.0,0.0,0.0,251
8,Dyn_noNorm,false,41,true,44,35,0,1.0,1.0,0,0.0,0.0,0.0,244
8,Dyn_noNorm,false,42,true,57,16,0,1.0,1.0,0,0.0,0.0,0.0,257
8,Dyn_noNorm,false,43,true,34,28,0,1.0,1.0,0,0.0,0.0,0.0,234
8,Dyn_noNorm,false,44,true,33,31,0,1.0,1.0,0,0.0,0.0,0.0,233
8,Dyn_noNorm,false,45,true,41,41,0,1.0,1.0,0,0.0,0.0,0.0,241
8,Dyn_noNorm,false,46,true,37,9,0,1.0,1.0,0,0.0,0.0,0.0,237
8,Dyn_noNorm,false,47,true,133,5,0,1.0,1.0,0,0.0,0.0,0.0,333
8,Dyn_noNorm,false,48,true,44,24,0,1.0,1.0,0,0.0,0.0,0.0,244
8,Dyn_noNorm,false,49,true,39,34,0,1.0,1.0,0,0.0,0.0,0.0,239
