N,condition,norm_on,trial,converged,conv_tick,first_beh_tick,first_cryst_50,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err,mean_enforce,total_ticks
6,Dyn_noNorm,false,1,true,12,7,0,1.0,1.0,0,0.0,0.0,0.0,212
6,Dyn_noNorm,false,2,true,20,3,0,1.0,1.0,0,0.0,0.0,0.0,220
6,Dyn_noNorm,false,3,true,34,3,0,1.0,1.0,0,0.0,0.0,0.0,234
6,Dyn_noNorm,false,4,true,23,16,0,1.0,1.0,0,0.0,0.0,0.0,223
6,Dyn_noNorm,false,5,true,19,19,0,1.0,1.0,0,0.0,0.0,0.0,219
6,Dyn_noNorm,false,6,true,40,17,0,1.0,1.0,0,0.0,0.0,0.0,240
6,Dyn_noNorm,false,7,true,8,8,0,1.0,1.0,0,0.0,0.0,0.0,208
6,Dyn_noNorm,false,8,true,14,14,0,1.0,1.0,0,0.0,0.0,0.0,214
6,Dyn_noNorm,false,9,true,46,46,0,1.0,1.0,0,0.0,0.0,0.0,246
6,Dyn_noNorm,false,10,true,34,34,0,1.0,1.0,0,0.0,0.0,0.0,234
6,Dyn_noNorm,false,11,true,103,4,0,1.0,1.0,0,0.0,0.0,0.0,303
6,Dyn_noNorm,false,12,true,53,28,0,1.0,1.0,0,0.0,0.0,0.0,253
6,Dyn_noNorm,false,13,true,8,5,0,1.0,1.0,0,0.0,0.0,0.0,208
6,Dyn_noNorm,false,14,true,23,4,0,1.0,1.0,0,0.0,0.0,0.0,223
6,Dyn_noNorm,false,15,true,36,36,0,1.0,1.0,0,0.0,0.0,0.0,236
6,Dyn_noNorm,false,16,true,44,8,0,1.0,1.0,0,0.0,0.0,0.0,244
6,Dyn_noNorm,false,17,true,60,58,0,1.0,1.0,0,0.0,0.0,0.0,260
6,Dyn_noNorm,false,18,true,84,8,0,1.0,1.0,0,0.0,0.0,0.0,284
6,Dyn_noNorm,false,19,true,9,6,0,1.0,1.0,0,0.0,0.0,0.0,209
6,Dyn_noNorm,false,20,true,39,14,0,1.0,1.0,0,0.0,0.0,0.0,239
6,Dyn_noNorm,false,21,true,5,5,0,1.0,1.0,0,0.0,0.0,0.0,205
6,Dyn_noNorm,false,22,true,32,17,0,1.0,1.0,0,0.0,0.0,0.0,232
6,Dyn_noNorm,false,23,true,35,8,0,1.0,1.0,0,0.0,0.0,0.0,235
6,Dyn_noNorm,false,24,true,34,10,0,1.0,1.0,0,0.0,0.0,0.0,234
6,Dyn_noNorm,false,25,true,37,32,0,1.0,1.0,0,0.0,0.0,0.0,237
6,Dyn_noNorm,false,26,true,15,11,0,1.0,1.0,0,0.0,0.0,0.0,215
6,Dyn_noNorm,false,27,true,33,3,0,1.0,1.0,0,0.0,0.0,0.0,233
6,Dyn_noNorm,false,28,true,9,5,0,1.0,1.0,0,0.0,0.0,0.0,209
6,Dyn_noNorm,false,29,true,47,10,0,1.0,1.0,0,0.0,0.0,0.0,247
6,Dyn_noNorm,false,30,true,6,4,0,1.0,1.0,0,0.0,0.0,0.0,206
6,Dyn_noNorm,false,31,true,34,34,0,1.0,1.0,0,0.0,0.0,0.0,234
6,Dyn_noNorm,false,32,true,57,7,0,1.0,1.0,0,0.0,0.0,0.0,257
6,Dyn_noNorm,false,33,true,12,10,0,1.0,1.0,0,0.0,0.0,0.0,212
6,Dyn_noNorm,false,34,true,18,18,0,1.0,1.0,0,0.0,0.0,0.0,218
6,Dyn_noNorm,false,35,true,42,11,0,1.0,1.0,0,0.0,0.0,0.0,242
6,Dyn_noNorm,false,36,true,18,16,0,1.0,1.0,0,0.0,0.0,0.0,218
6,Dyn_noNorm,false,37,true,21,7,0,1.0,1.0,0,0.0,0.0,0.0,221
6,Dyn_noNorm,false,38,true,66,38,0,1.0,1.0,0,0.0,0.0,0.0,266
6,Dyn_noNorm,false,39,true,3,3,0,1.0,1.0,0,0.0,0.0,0.0,203
6,Dyn_noNorm,false,40,true,20,20,0,1.0,1.0,0,0.0,0.0,0.0,220
6,Dyn_noNorm,false,41,true,42,26,0,1.0,1.0,0,0.0,0.0,0.0,242
6,Dyn_noNorm,false,42,true,39,36,0,1.0,1.0,0,0.0,0.0,0.0,239
6,Dyn_noNorm,false,43,true,27,27,0,1.0,1.0,0,0.0,0.0,0.0,227
6,Dyn_noNorm,false,44,true,35,27,0,1.0,1.0,0,0.0,0.0,0.0,235
6,Dyn_noNorm,false,45,true,10,10,0,1.0,1.0,0,0.0,0.0,0.0,210
6,Dyn_noNorm,false,46,true,20,9,0,1.0,1.0,0,0.0,0.0,0.0,220
6,Dyn_noNorm,false,47,true,16,16,0,1.0,1.0,0,0.0,0.0,0.0,216
6,Dyn_noNorm,false,48,true,6,6,0,1.0,1.0,0,0.0,0.0,0.0,206
6,Dyn_noNorm,false,49,true,48,17,0,1.0,1.0,0,0.0,0.0,0.0,248
6,Dyn_noNorm,false,50,true,40,38,0,1.0,1.0,0,0.0,0.0,0.0,240
6,Dyn_noNorm,false,51,true,46,4,0,1.0,1.0,0,0.0,0.0,0.0,246
6,Dyn_noNorm,false,52,true,49,41,0,1.0,1.0,0,0.0,0.0,0.0,249
6,Dyn_noNorm,false,53,true,70,37,0,1.0,1.0,0,0.0,0.0,0.0,270
6,Dyn_noNorm,false,54,true,32,3,0,1.0,1.0,0,0.0,0.0,0.0,232
6,Dyn_noNorm,false,55,true,9,9,0,1.0,1.0,0,0.0,0.0,0.0,209
6,Dyn_noNorm,false,56,true,14,14,0,1.0,1.0,0,0.0,0.0,0.0,214
6,Dyn_noNorm,false,57,true,25,3,0,1.0,1.0,0,0.0,0.0,0.0,225
6,Dyn_noNorm,false,58,true,20,17,0,1.0,1.0,0,0.0,0.0,0.0,220
6,Dyn_noNorm,false,59,true,48,12,0,1.0,1.0,0,0.0,0.0,0.0,248
6,Dyn_noNorm,false,60,true,28,16,0,1.0,1.0,0,0.0,0.0,0.0,228
6,Dyn_noNorm,false,61,true,57,11,0,1.0,1.0,0,0.0,0.0,0.0,257
6,Dyn_noNorm,false,62,true,152,9,0,1.0,1.0,0,0.0,0.0,0.0,352
6,Dyn_noNorm,false,63,true,39,3,0,1.0,1.0,0,0.0,0.0,0.0,239
6,Dyn_noNorm,false,64,true,16,16,0,1.0,1.0,0,0.0,0.0,0.0,216
6,Dyn_noNorm,false,65,true,21,14,0,1.0,1.0,0,0.0,0.0,0.0,221
6,Dyn_noNorm,false,66,true,1,1,0,1.0,1.0,0,0.0,0.0,0.0,201
6,Dyn_noNorm,false,67,true,14,12,0,1.0,1.0,0,0.0,0.0,0.0,214
6,Dyn_noNorm,false,68,true,84,31,0,1.0,1.0,0,0.0,0.0,0.0,284
6,Dyn_noNorm,false,69,true,93,14,0,1.0,1.0,0,0.0,0.0,0.0,293
6,Dyn_noNorm,false,70,true,53,6,0,1.0,1.0,0,0.0,0.0,0.0,253
6,Dyn_noNorm,false,71,true,32,24,0,1.0,1.0,0,0.0,0.0,0.0,232
6,Dyn_noNorm,false,72,true,12,5,0,1.0,1.0,0,0.0,0.0,0.0,212
6,Dyn_noNorm,false,73,true,45,34,0,1.0,1.0,0,0.0,0.0,0.0,245
6,Dyn_noNorm,false,74,true,43,13,0,1.0,1.0,0,0.0,0.0,0.0,243
6,Dyn_noNorm,false,75,true,37,8,0,1.0,1.0,0,0.0,0.0,0.0,237
6,Dyn_noNorm,false,76,true,19,16,0,1.0,1.0,0,0.0,0.0,0.0,219
6,Dyn_noNorm,false,77,true,29,7,0,1.0,1.0,0,0.0,0.0,0.0,229
6,Dyn_noNorm,false,78,true,31,6,0,1.0,1.0,0,0.0,0.0,0.0,231
6,Dyn_noNorm,false,79,true,12,10,0,1.0,1.0,0,0.0,0.0,0.0,212
6,Dyn_noNorm,false,80,true,16,13,0,1.0,1.0,0,0.0,0.0,0.0,216
