N,condition,exp_level,norm_on,trial,converged,conv_tick,first_beh_tick,first_cryst_50,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err,mean_enforce,total_ticks
1000,None_noNorm,none,false,5,false,0,0,0,0.466,0.515,0,0.0,0.18702999999999959,0.0,5000
1000,None_noNorm,none,false,3,false,0,0,0,0.506,0.501,0,0.0,0.18101599999999915,0.0,5000
1000,None_noNorm,none,false,30,false,0,0,0,0.502,0.505,0,0.0,0.190729999999999,0.0,5000
1000,None_noNorm,none,false,19,false,0,0,0,0.51,0.523,0,0.0,0.18317599999999812,0.0,5000
1000,None_noNorm,none,false,15,false,0,0,0,0.504,0.524,0,0.0,0.1872959999999987,0.0,5000
1000,None_noNorm,none,false,29,false,0,0,0,0.51,0.517,0,0.0,0.19367199999999835,0.0,5000
1000,None_noNorm,none,false,9,false,0,0,0,0.538,0.507,0,0.0,0.1901119999999991,0.0,5000
1000,None_noNorm,none,false,11,false,0,0,0,0.494,0.517,0,0.0,0.1872599999999986,0.0,5000
1000,None_noNorm,none,false,25,false,0,0,0,0.486,0.511,0,0.0,0.19121999999999917,0.0,5000
1000,None_noNorm,none,false,17,false,0,0,0,0.484,0.526,0,0.0,0.18622000000000147,0.0,5000
1000,None_noNorm,none,false,21,false,0,0,0,0.504,0.504,0,0.0,0.18998400000000185,0.0,5000
1000,None_noNorm,none,false,23,false,0,0,0,0.53,0.501,0,0.0,0.18560599999999908,0.0,5000
1000,None_noNorm,none,false,1,false,0,0,0,0.526,0.505,0,0.0,0.19638999999999895,0.0,5000
1000,None_noNorm,none,false,27,false,0,0,0,0.526,0.505,0,0.0,0.19427999999999904,0.0,5000
1000,None_noNorm,none,false,13,false,0,0,0,0.522,0.505,0,0.0,0.18567999999999932,0.0,5000
1000,None_noNorm,none,false,7,false,0,0,0,0.476,0.506,0,0.0,0.18456799999999843,0.0,5000
1000,None_noNorm,none,false,6,false,0,0,0,0.52,0.534,0,0.0,0.18567999999999946,0.0,5000
1000,None_noNorm,none,false,20,false,0,0,0,0.502,0.503,0,0.0,0.19053200000000006,0.0,5000
1000,None_noNorm,none,false,4,false,0,0,0,0.516,0.514,0,0.0,0.1865240000000013,0.0,5000
1000,None_noNorm,none,false,16,false,0,0,0,0.486,0.521,0,0.0,0.18862400000000057,0.0,5000
1000,None_noNorm,none,false,10,false,0,0,0,0.486,0.509,0,0.0,0.18729800000000005,0.0,5000
1000,None_noNorm,none,false,18,false,0,0,0,0.526,0.513,0,0.0,0.18283599999999936,0.0,5000
1000,None_noNorm,none,false,26,false,0,0,0,0.51,0.513,0,0.0,0.18628799999999968,0.0,5000
1000,None_noNorm,none,false,12,false,0,0,0,0.5,0.538,0,0.0,0.18644800000000117,0.0,5000
1000,None_noNorm,none,false,22,false,0,0,0,0.496,0.502,0,0.0,0.18910000000000193,0.0,5000
1000,None_noNorm,none,false,24,false,0,0,0,0.488,0.502,0,0.0,0.18902000000000208,0.0,5000
1000,None_noNorm,none,false,2,false,0,0,0,0.476,0.522,0,0.0,0.18722000000000233,0.0,5000
1000,None_noNorm,none,false,28,false,0,0,0,0.528,0.51,0,0.0,0.18522000000000216,0.0,5000
1000,None_noNorm,none,false,14,false,0,0,0,0.492,0.528,0,0.0,0.1887599999999993,0.0,5000
1000,None_noNorm,none,false,8,false,0,0,0,0.498,0.521,0,0.0,0.19103,0.0,5000
1000,None_Norm,none,true,1,false,0,0,21,0.524,0.602,661,0.525417892028304,0.16809199999999958,0.0,5000
1000,None_Norm,none,true,30,false,0,0,21,0.546,0.593,683,0.5243908937783888,0.1698260000000006,0.0,5000
1000,None_Norm,none,true,21,false,0,0,21,0.576,0.588,655,0.53119204384977,0.1742160000000002,0.0,5000
1000,None_Norm,none,true,17,false,0,0,20,0.512,0.5840000000000001,690,0.5362881572602373,0.1692159999999991,0.0,5000
1000,None_Norm,none,true,11,false,0,0,20,0.522,0.599,701,0.5293297936482112,0.16479800000000036,0.0,5000
1000,None_Norm,none,true,19,false,0,0,20,0.536,0.608,685,0.5338217635043228,0.17167199999999933,0.0,5000
1000,None_Norm,none,true,13,false,0,0,20,0.498,0.591,666,0.5408928934126892,0.16444399999999995,0.0,5000
1000,None_Norm,none,true,9,false,0,0,20,0.536,0.58,646,0.5203449045306777,0.17172000000000093,0.0,5000
1000,None_Norm,none,true,23,false,0,0,20,0.536,0.56,652,0.5501516077979074,0.17907999999999977,0.0,5000
1000,None_Norm,none,true,3,false,0,0,21,0.486,0.581,701,0.5209849132975568,0.16638200000000042,0.0,5000
1000,None_Norm,none,true,7,false,0,0,21,0.502,0.591,654,0.5179451031711799,0.16748000000000005,0.0,5000
1000,None_Norm,none,true,25,false,0,0,21,0.532,0.626,713,0.527971559594983,0.17845200000000133,0.0,5000
1000,None_Norm,none,true,29,false,0,0,21,0.55,0.619,682,0.5408115543619895,0.1706440000000007,0.0,5000
1000,None_Norm,none,true,5,false,0,0,22,0.544,0.61,670,0.5250006450495226,0.16505999999999899,0.0,5000
1000,None_Norm,none,true,27,false,0,0,21,0.506,0.575,708,0.5197686755875216,0.18175000000000086,0.0,5000
1000,None_Norm,none,true,15,false,0,0,21,0.51,0.593,675,0.5585278361475848,0.1747380000000006,0.0,5000
1000,None_Norm,none,true,2,false,0,0,21,0.536,0.5920000000000001,683,0.5258826470510194,0.17095199999999966,0.0,5000
1000,None_Norm,none,true,20,false,0,0,20,0.506,0.573,671,0.5358524527094667,0.17410999999999965,0.0,5000
1000,None_Norm,none,true,12,false,0,0,21,0.512,0.594,672,0.533047004835229,0.16974399999999984,0.0,5000
1000,None_Norm,none,true,22,false,0,0,21,0.51,0.571,645,0.5283800189362303,0.1735120000000002,0.0,5000
1000,None_Norm,none,true,18,false,0,0,21,0.482,0.621,692,0.5445574117852874,0.16792999999999977,0.0,5000
1000,None_Norm,none,true,8,false,0,0,20,0.546,0.573,678,0.5399240765185447,0.17840199999999998,0.0,5000
1000,None_Norm,none,true,14,false,0,0,22,0.504,0.596,689,0.5230515889223343,0.17182399999999917,0.0,5000
1000,None_Norm,none,true,10,false,0,0,19,0.502,0.587,682,0.5201262322814164,0.17091600000000076,0.0,5000
1000,None_Norm,none,true,24,false,0,0,20,0.536,0.6,684,0.5341926644682754,0.1697999999999997,0.0,5000
