section,metric,value,p_value,extra,note
S1,N,10000.0,NaN,NaN,
S1,convergence_rate,0.5266666666666666,NaN,NaN,
S1,mean_conv_tick,123.10759493670886,NaN,NaN,
S3,pseudo_r2,0.8975338161054149,NaN,NaN,
S6,adf_anomaly,-4.904337196993516,NaN,NaN,stationary
S6,adf_mean_sigma,-3.0753805350517567,NaN,NaN,stationary
S6,adf_belief_shift,-1.3816828513464052,NaN,NaN,non-stationary
S6,adf_mean_C,-1.7037253779706312,NaN,NaN,non-stationary
S6,granger_anomaly_mean_sigma_lag1,0.05147074504110745,0.821000990178588,10000.0,
S6,granger_anomaly_mean_sigma_lag2,6.1322071925643025,0.003138918348828401,10000.0,
S6,granger_anomaly_mean_sigma_lag3,7.479714429836551,0.0001569092275558459,10000.0,
S6,granger_belief_shift_anomaly_lag1,0.9909484908540801,0.3219874764955579,10000.0,
S6,granger_belief_shift_anomaly_lag2,0.8617285589004435,0.4257410148971774,10000.0,
S6,granger_belief_shift_anomaly_lag3,0.7947006974601457,0.499947968012879,10000.0,
S6,granger_mean_C_mean_sigma_lag1,5.123367509857857,0.025834093012830683,10000.0,
S6,granger_mean_C_mean_sigma_lag2,1.051201970878481,0.35358945354381444,10000.0,
S6,granger_mean_C_mean_sigma_lag3,3.165570887754089,0.02821826456976484,10000.0,
S7,cusum_cp_mean_beff_A,44.0,NaN,-9.998328506107159,
S7,cusum_cp_mean_sigma,52.0,NaN,-8.370074322008392,
S7,cusum_cp_mean_C,37.0,NaN,-0.3692390424229698,
