N,condition,exp_level,norm_on,trial,converged,conv_tick,first_beh_tick,first_cryst_50,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err,mean_enforce,total_ticks
10000,None_noNorm,none,false,13,false,0,0,0,0.5064,0.5078,0,0.0,0.1870232800000191,0.0,10000
10000,None_noNorm,none,false,21,false,0,0,0,0.5026,0.5099,0,0.0,0.18616337999997357,0.0,10000
10000,None_noNorm,none,false,19,false,0,0,0,0.5092,0.504,0,0.0,0.18665520000002003,0.0,10000
10000,None_noNorm,none,false,23,false,0,0,0,0.5044,0.501,0,0.0,0.18700640000000462,0.0,10000
10000,None_noNorm,none,false,1,false,0,0,0,0.5008,0.5072,0,0.0,0.18606511999997277,0.0,10000
10000,None_noNorm,none,false,11,false,0,0,0,0.5044,0.5028,0,0.0,0.18800111999997138,0.0,10000
10000,None_noNorm,none,false,5,false,0,0,0,0.5056,0.506,0,0.0,0.1888660000000197,0.0,10000
10000,None_noNorm,none,false,15,false,0,0,0,0.504,0.504,0,0.0,0.18662560000002007,0.0,10000
10000,None_noNorm,none,false,30,false,0,0,0,0.5016,0.5064,0,0.0,0.187838399999973,0.0,10000
10000,None_noNorm,none,false,3,false,0,0,0,0.4954,0.5011,0,0.0,0.18904219999999647,0.0,10000
10000,None_noNorm,none,false,29,false,0,0,0,0.5022,0.5007,0,0.0,0.1877822399999971,0.0,10000
10000,None_noNorm,none,false,27,false,0,0,0,0.4946,0.5093,0,0.0,0.18794791999999727,0.0,10000
10000,None_noNorm,none,false,7,false,0,0,0,0.498,0.5032,0,0.0,0.18635584000001618,0.0,10000
10000,None_noNorm,none,false,25,false,0,0,0,0.4974,0.5013000000000001,0,0.0,0.1864130200000211,0.0,10000
10000,None_noNorm,none,false,9,false,0,0,0,0.4988,0.507,0,0.0,0.18856959999999684,0.0,10000
10000,None_noNorm,none,false,17,false,0,0,0,0.4878,0.5003,0,0.0,0.18865976000001047,0.0,10000
10000,None_noNorm,none,false,22,false,0,0,0,0.5152,0.5002,0,0.0,0.18811607999999436,0.0,10000
10000,None_noNorm,none,false,14,false,0,0,0,0.5082,0.5025,0,0.0,0.18603649999999802,0.0,10000
10000,None_noNorm,none,false,20,false,0,0,0,0.4934,0.5019,0,0.0,0.18691605999997102,0.0,10000
10000,None_noNorm,none,false,24,false,0,0,0,0.5014,0.5013,0,0.0,0.18662622000002113,0.0,10000
10000,None_noNorm,none,false,2,false,0,0,0,0.4854,0.5015,0,0.0,0.18774510000000955,0.0,10000
10000,None_noNorm,none,false,6,false,0,0,0,0.4838,0.5089,0,0.0,0.1887203199999936,0.0,10000
10000,None_noNorm,none,false,16,false,0,0,0,0.4882,0.5071,0,0.0,0.18633491999999438,0.0,10000
10000,None_noNorm,none,false,12,false,0,0,0,0.4962,0.5023,0,0.0,0.18861862000001672,0.0,10000
10000,None_noNorm,none,false,4,false,0,0,0,0.5004,0.5074000000000001,0,0.0,0.1872747999999944,0.0,10000
10000,None_noNorm,none,false,28,false,0,0,0,0.4914,0.5006999999999999,0,0.0,0.18684977999999774,0.0,10000
10000,None_noNorm,none,false,8,false,0,0,0,0.5158,0.5005,0,0.0,0.1855834000000211,0.0,10000
10000,None_noNorm,none,false,26,false,0,0,0,0.5028,0.502,0,0.0,0.1880623999999961,0.0,10000
10000,None_noNorm,none,false,18,false,0,0,0,0.5114,0.5031,0,0.0,0.18686900000001952,0.0,10000
10000,None_noNorm,none,false,10,false,0,0,0,0.493,0.5103,0,0.0,0.18868370000001933,0.0,10000
10000,None_Norm,none,true,19,false,0,0,20,0.5232,0.609,7054,0.5255448523746151,0.17103820000001527,0.0,10000
10000,None_Norm,none,true,5,false,0,0,20,0.521,0.5935,6719,0.5323072093918759,0.16766589999999645,0.0,10000
10000,None_Norm,none,true,13,false,0,0,21,0.5204,0.6022,6773,0.5363270035546636,0.16696135999997183,0.0,10000
10000,None_Norm,none,true,15,false,0,0,21,0.5086,0.5903,6765,0.5232001346077181,0.1680559200000112,0.0,10000
10000,None_Norm,none,true,23,false,0,0,20,0.535,0.6017,6754,0.5351804937124215,0.16822372000001332,0.0,10000
10000,None_Norm,none,true,17,false,0,0,21,0.5134,0.5994999999999999,6867,0.5257826256926563,0.16769769999999457,0.0,10000
10000,None_Norm,none,true,21,false,0,0,21,0.5224,0.5948,6810,0.530766946697813,0.16869608000000896,0.0,10000
10000,None_Norm,none,true,29,false,0,0,21,0.5244,0.6033999999999999,6911,0.528051676374112,0.1662764400000176,0.0,10000
10000,None_Norm,none,true,11,false,0,0,20,0.5302,0.5943,6761,0.5282864309170084,0.16704454000000074,0.0,10000
10000,None_Norm,none,true,9,false,0,0,21,0.5106,0.5945,6699,0.5384937271161877,0.16997550000000627,0.0,10000
10000,None_Norm,none,true,27,false,0,0,21,0.5044,0.5958,6846,0.5295625104387838,0.1689167199999931,0.0,10000
10000,None_Norm,none,true,7,false,0,0,21,0.5286,0.5955,6727,0.5297475489557503,0.16760150000002136,0.0,10000
10000,None_Norm,none,true,25,false,0,0,21,0.5128,0.6016,6879,0.5367508043066763,0.16680448000001738,0.0,10000
10000,None_Norm,none,true,30,false,0,0,21,0.5258,0.5887,6808,0.5299390186606536,0.16966855999997624,0.0,10000
10000,None_Norm,none,true,3,false,0,0,20,0.5192,0.5958,6767,0.5336804293857679,0.1689639599999929,0.0,10000
10000,None_Norm,none,true,1,false,0,0,20,0.5248,0.5958,6817,0.5232810828652082,0.16656291999999331,0.0,10000
10000,None_Norm,none,true,18,false,0,0,21,0.5164,0.5938,6872,0.5325240919634879,0.16768500000001713,0.0,10000
10000,None_Norm,none,true,22,false,0,0,20,0.532,0.6016,6896,0.5312517413530172,0.16511680000001788,0.0,10000
10000,None_Norm,none,true,24,false,0,0,21,0.5114,0.6009,6830,0.5272606399143679,0.16368240000001788,0.0,10000
10000,None_Norm,none,true,14,false,0,0,21,0.511,0.5921,6794,0.5299223731747523,0.1676213400000112,0.0,10000
10000,None_Norm,none,true,20,false,0,0,20,0.5266,0.5923,6883,0.5312629638265678,0.17171044000000396,0.0,10000
10000,None_Norm,none,true,6,false,0,0,21,0.5214,0.5895,6800,0.5277564284362478,0.16882139999999446,0.0,10000
10000,None_Norm,none,true,16,false,0,0,21,0.5144,0.5974,6849,0.5315691150433056,0.16390044000001172,0.0,10000
10000,None_Norm,none,true,8,false,0,0,21,0.5238,0.6041000000000001,6863,0.5256186307266916,0.16665792000000426,0.0,10000
10000,None_Norm,none,true,12,false,0,0,21,0.5036,0.5968,6883,0.5272784192957377,0.1691745600000037,0.0,10000
10000,None_Norm,none,true,10,false,0,0,21,0.5302,0.6033,6841,0.5323645532927925,0.16680193999999188,0.0,10000
10000,None_Norm,none,true,28,false,0,0,21,0.5388,0.6068,6829,0.5266958190078238,0.16791792000000488,0.0,10000
10000,None_Norm,none,true,2,false,0,0,20,0.515,0.5963,6875,0.5313310994391035,0.16780678000000715,0.0,10000
10000,None_Norm,none,true,26,false,0,0,21,0.5258,0.5917,6780,0.5272438761291657,0.16906681999999973,0.0,10000
10000,None_Norm,none,true,4,false,0,0,21,0.5242,0.5985,6839,0.5322160050876799,0.16699909999999402,0.0,10000
10000,Fixed_noNorm,fixed,false,9,false,0,0,0,0.5846,0.7081,0,0.0,0.1692704399999765,0.0,10000
10000,Fixed_noNorm,fixed,false,23,false,0,0,0,0.524,0.5954,0,0.0,0.1696584800000084,0.0,10000
10000,Fixed_noNorm,fixed,false,13,false,0,0,0,0.4978,0.5327,0,0.0,0.18508550000000168,0.0,10000
10000,Fixed_noNorm,fixed,false,11,false,0,0,0,0.5102,0.5605,0,0.0,0.18044089999999358,0.0,10000
10000,Fixed_noNorm,fixed,false,29,false,0,0,0,0.6052,0.7374,0,0.0,0.16195867999999602,0.0,10000
10000,Fixed_noNorm,fixed,false,19,false,0,0,0,0.5344,0.6162,0,0.0,0.17124484000001364,0.0,10000
10000,Fixed_noNorm,fixed,false,25,false,0,0,0,0.5148,0.52,0,0.0,0.18793599999997293,0.0,10000
10000,Fixed_noNorm,fixed,false,27,false,0,0,0,0.5058,0.5729,0,0.0,0.17538242000001808,0.0,10000
10000,Fixed_noNorm,fixed,false,3,false,0,0,0,0.4946,0.5077,0,0.0,0.1875951800000184,0.0,10000
10000,Fixed_noNorm,fixed,false,15,false,0,0,0,0.556,0.6666000000000001,0,0.0,0.17420220000000367,0.0,10000
10000,Fixed_noNorm,fixed,false,7,false,0,0,0,0.5224,0.6138,0,0.0,0.1686076399999947,0.0,10000
10000,Fixed_noNorm,fixed,false,21,false,0,0,0,0.5192,0.5826,0,0.0,0.17415907999999564,0.0,10000
10000,Fixed_noNorm,fixed,false,17,false,0,0,0,0.5558,0.6733,0,0.0,0.17583372000001932,0.0,10000
10000,Fixed_noNorm,fixed,false,30,false,0,0,0,0.5822,0.7073,0,0.0,0.16994313999997573,0.0,10000
10000,Fixed_noNorm,fixed,false,5,false,0,0,0,0.5138,0.5769,0,0.0,0.1728222200000051,0.0,10000
10000,Fixed_noNorm,fixed,false,1,false,0,0,0,0.5052,0.5338,0,0.0,0.18834744000001077,0.0,10000
10000,Fixed_noNorm,fixed,false,10,false,0,0,0,0.5658,0.6867,0,0.0,0.17413822000000695,0.0,10000
10000,Fixed_noNorm,fixed,false,14,false,0,0,0,0.5148,0.5346,0,0.0,0.1845248799999948,0.0,10000
10000,Fixed_noNorm,fixed,false,24,false,0,0,0,0.5082,0.5701,0,0.0,0.17672596000001795,0.0,10000
10000,Fixed_noNorm,fixed,false,12,false,0,0,0,0.5534,0.6505000000000001,0,0.0,0.17486910000001846,0.0,10000
10000,Fixed_noNorm,fixed,false,22,false,0,0,0,0.6308,0.754,0,0.0,0.1570928000000202,0.0,10000
10000,Fixed_noNorm,fixed,false,16,false,0,0,0,0.523,0.5799,0,0.0,0.17582617999999697,0.0,10000
10000,Fixed_noNorm,fixed,false,28,false,0,0,0,0.5044,0.5642,0,0.0,0.17725144000000362,0.0,10000
10000,Fixed_noNorm,fixed,false,18,false,0,0,0,0.5394,0.6459,0,0.0,0.17409907999999474,0.0,10000
10000,Fixed_noNorm,fixed,false,26,false,0,0,0,0.51,0.5700000000000001,0,0.0,0.17631199999999775,0.0,10000
10000,Fixed_noNorm,fixed,false,20,false,0,0,0,0.4932,0.5546,0,0.0,0.17966563999999657,0.0,10000
10000,Fixed_noNorm,fixed,false,2,false,0,0,0,0.5496,0.6546000000000001,0,0.0,0.17405632000000584,0.0,10000
10000,Fixed_noNorm,fixed,false,8,false,0,0,0,0.5192,0.577,0,0.0,0.17459359999997306,0.0,10000
10000,Fixed_noNorm,fixed,false,6,false,0,0,0,0.5226,0.5929,0,0.0,0.1687056000000169,0.0,10000
10000,Fixed_noNorm,fixed,false,4,false,0,0,0,0.4984,0.5222,0,0.0,0.185774760000018,0.0,10000
