section,metric,value,p_value,extra,note
S1,N,1000.0,NaN,NaN,
S1,convergence_rate,0.5833333333333334,NaN,NaN,
S1,mean_conv_tick,113.32,NaN,NaN,
S3,pseudo_r2,0.6684623899432653,NaN,NaN,
S6,adf_anomaly,-4.5284550909942265,NaN,NaN,stationary
S6,adf_mean_sigma,-3.516357966740016,NaN,NaN,stationary
S6,adf_belief_shift,-1.6980429292667638,NaN,NaN,non-stationary
S6,adf_mean_C,-3.0281135708634146,NaN,NaN,stationary
S6,granger_anomaly_mean_sigma_lag1,2.3082964877481507,0.13197169135067832,1000.0,
S6,granger_anomaly_mean_sigma_lag2,9.963730697930021,0.00012002654912246502,1000.0,
S6,granger_anomaly_mean_sigma_lag3,6.00664807403043,0.0008890647386332606,1000.0,
S6,granger_belief_shift_anomaly_lag1,0.08664011488745832,0.7691283349695375,1000.0,
S6,granger_belief_shift_anomaly_lag2,3.5195538573504273,0.03361715592899239,1000.0,
S6,granger_belief_shift_anomaly_lag3,1.247826670663397,0.2971932160129075,1000.0,
S6,granger_mean_C_mean_sigma_lag1,0.3609099178381641,0.5494170814675128,1000.0,
S6,granger_mean_C_mean_sigma_lag2,2.4786089051903644,0.08938457222416685,1000.0,
S6,granger_mean_C_mean_sigma_lag3,4.287473957174178,0.007087100965323501,1000.0,
S7,cusum_cp_mean_beff_A,39.0,NaN,9.29189044236392,
S7,cusum_cp_mean_sigma,47.0,NaN,-8.92097920374031,
S7,cusum_cp_mean_C,48.0,NaN,-14.708557770337414,
