theta_crystal,Phi,trial,N,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,0.0,1,1000,true,106,106,0.0,0.9988878195035539,976,0.7780015973560964,0.976,49,49,57,57,277,0,252,1,1.0,29
5.0,0.0,22,1000,true,110,110,0.0,0.9995274528612935,925,0.8485970303655542,0.925,45,44,61,61,67,0,16,0,1.0,19
3.0,2.0,25,1000,true,108,108,0.0,0.9987477883118492,979,0.7603524843995024,0.979,52,51,59,59,403,10287,382,0,1.0,15
3.0,0.5,28,1000,true,119,119,0.0,0.9990611575935393,975,0.7795907331010431,0.975,59,57,70,70,351,11054,326,0,1.0,27
3.0,0.0,2,1000,true,103,103,0.0,0.9994402549281288,980,0.835963092637703,0.98,40,39,54,54,185,0,165,0,1.0,21
5.0,0.0,23,1000,true,115,115,0.0,0.9997568700308225,913,0.8579164090846276,0.913,43,43,66,66,64,0,13,0,1.0,18
3.0,2.0,26,1000,true,111,111,0.0,0.9975429036395318,996,0.6710863562970496,0.996,62,61,61,62,469,11488,452,13,1.0,23
3.0,0.5,29,1000,true,118,118,0.0,0.9978984779531334,988,0.7271782656450012,0.988,65,64,69,69,401,12078,378,11,1.0,29
5.0,0.0,24,1000,true,99,99,1.0,0.9992174881818372,937,0.8535155447740312,0.937,38,38,50,50,31,0,4,0,1.0,10
3.0,0.0,3,1000,true,110,110,0.0,0.9986482470264809,983,0.7551758014900922,0.983,54,54,61,61,327,0,297,13,1.0,30
3.0,0.5,30,1000,true,117,117,0.0,0.9994218123892641,970,0.8130112075531967,0.97,54,52,68,68,323,10006,293,0,1.0,23
3.0,2.0,27,1000,true,155,155,0.0,0.9996407485064795,972,0.8434821366549835,0.972,88,87,106,106,1127,16313,673,426,1.0,58
3.0,0.0,4,1000,true,113,113,1.0,0.9983654356030697,992,0.7429501311272317,0.992,60,59,64,64,399,0,350,41,1.0,33
3.0,1.0,1,1000,true,117,117,1.0,0.9973447089861868,996,0.6960923800805724,0.996,68,67,68,68,504,12321,444,56,1.0,33
3.0,2.0,28,1000,true,109,109,1.0,0.9992167516289542,967,0.7892646637025591,0.967,50,48,60,60,391,10010,358,0,1.0,17
3.0,0.0,5,1000,true,106,106,1.0,0.9994947080045748,966,0.8209390271729629,0.966,41,41,57,57,223,0,189,0,1.0,22
3.0,1.0,2,1000,true,114,114,0.0,0.9996057248445851,962,0.8461944234627888,0.962,45,45,65,65,292,8623,254,0,1.0,19
3.0,0.0,6,1000,true,101,101,0.0,0.9995078892007712,963,0.8472705866036275,0.963,36,35,52,52,163,0,126,0,1.0,17
3.0,2.0,29,1000,true,114,114,1.0,0.9973042359754126,999,0.682948742553506,0.999,65,63,63,65,523,11706,476,46,1.0,28
3.0,1.0,3,1000,true,114,114,0.0,0.9993537876297274,978,0.8068052600534736,0.978,52,50,65,65,342,9884,320,0,1.0,21
3.0,2.0,30,1000,true,109,109,1.0,0.9970311799108955,991,0.6785131495247667,0.991,59,58,60,60,441,11262,428,4,1.0,17
3.0,0.0,7,1000,true,103,103,0.0,0.9994652398994861,965,0.8443642418487675,0.965,38,38,54,54,193,0,158,0,1.0,19
3.0,1.0,4,1000,true,116,116,0.0,0.999350243938117,958,0.7845785592921001,0.958,54,53,67,67,381,10696,339,0,1.0,21
3.0,5.0,1,1000,true,106,106,0.0,0.9993956351951722,957,0.8275004636278883,0.957,42,41,57,57,351,8731,309,0,1.0,14
3.0,1.0,5,1000,true,111,111,0.0,0.9994209641895053,968,0.8381723293019592,0.968,47,47,62,62,313,9026,281,0,1.0,19
3.0,0.0,8,1000,true,102,102,1.0,0.9995389914393492,965,0.8513216296907978,0.965,36,35,53,53,164,0,129,0,1.0,19
3.0,5.0,2,1000,true,107,107,1.0,0.9986341987239059,980,0.7522743386215444,0.98,50,50,58,58,420,10224,394,6,1.0,19
3.0,1.0,6,1000,true,112,112,0.0,0.9995137019772483,963,0.8372248617885168,0.963,47,47,63,63,306,8935,269,0,1.0,20
3.0,0.0,9,1000,true,105,105,0.0,0.999429432881735,972,0.8254392812595711,0.972,42,41,56,56,211,0,184,0,1.0,21
3.0,1.0,7,1000,true,114,114,1.0,0.99973192455725,954,0.8576318281294133,0.954,42,42,65,65,270,7854,225,0,1.0,15
3.0,1.0,8,1000,true,116,116,1.0,0.9998058576978288,951,0.8631589134492285,0.951,42,42,67,67,252,7412,203,0,1.0,17
