section,metric,value,p_value,extra,note
S1,N,20000.0,NaN,NaN,
S1,convergence_rate,0.5233333333333333,NaN,NaN,
S1,mean_conv_tick,127.3312101910828,NaN,NaN,
S3,pseudo_r2,0.9214989188738684,NaN,NaN,
S6,adf_anomaly,-5.5028394126611495,NaN,NaN,stationary
S6,adf_mean_sigma,-1.5602799709254231,NaN,NaN,non-stationary
S6,adf_belief_shift,-1.2502302888340335,NaN,NaN,non-stationary
S6,adf_mean_C,-0.8793136588239512,NaN,NaN,non-stationary
S6,granger_anomaly_mean_sigma_lag1,4.6371121297596565,0.0337410344128799,20000.0,
S6,granger_anomaly_mean_sigma_lag2,3.7203553092845816,0.027824257550605025,20000.0,
S6,granger_anomaly_mean_sigma_lag3,0.8544071369685072,0.4677823251058848,20000.0,
S6,granger_belief_shift_anomaly_lag1,0.43503288558454056,0.5110767018939082,20000.0,
S6,granger_belief_shift_anomaly_lag2,0.33163679490317033,0.7185755423058109,20000.0,
S6,granger_belief_shift_anomaly_lag3,0.36322476397003184,0.7796995828228922,20000.0,
S6,granger_mean_C_mean_sigma_lag1,2.046728729127649,0.15571452454143486,20000.0,
S6,granger_mean_C_mean_sigma_lag2,3.3643505312726463,0.038752974277565855,20000.0,
S6,granger_mean_C_mean_sigma_lag3,2.8974673156405726,0.039296634631730054,20000.0,
S7,cusum_cp_mean_beff_A,59.0,NaN,-10.205079117587148,
S7,cusum_cp_mean_sigma,25.0,NaN,0.27693182301284813,
S7,cusum_cp_mean_C,56.0,NaN,-0.47083584143802065,
