N,condition,w_base,w_max,enable_normative,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
1000,B_lockin_only,2,6,false,16,0,false,190,143,0,0,0.932,0.8109848701126238,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,24,0,false,168,159,0,0,0.96,0.871555719710859,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,18,0,false,134,124,0,0,0.939,0.8502879491944718,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,28,0,false,115,110,0,0,0.058,0.8069738885731832,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,14,0,false,153,130,0,0,0.071,0.798225684427538,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,26,0,false,177,167,0,0,0.937,0.829747358566929,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,22,0,false,126,125,0,0,0.061,0.8408789881452324,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,6,0,false,136,127,0,0,0.961,0.8680709780147433,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,4,0,false,115,110,0,0,0.043,0.9000869519012904,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,2,0,false,138,129,0,0,0.04,0.8827031850560257,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,10,0,false,127,126,0,0,0.075,0.8179416516707674,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,20,0,false,124,110,0,0,0.947,0.8349359874010553,0,0.0,0.0,5000
1000,B_lockin_only,2,6,false,12,0,false,106,98,0,0,0.046,0.8771609552687579,0,0.0,0.0,5000
1000,C_normative_only,5,5,true,11,108,true,51,50,59,59,1.0,0.9988303286445531,986,0.7855726759901397,0.986,108
1000,C_normative_only,5,5,true,9,105,true,49,49,56,56,1.0,0.9988049132562403,979,0.7826552105494304,0.979,105
1000,C_normative_only,5,5,true,1,110,true,58,57,61,61,1.0,0.9980972074196658,987,0.7608465763395003,0.987,110
1000,C_normative_only,5,5,true,27,110,true,56,56,61,61,1.0,0.9983700104541686,995,0.7664388366933838,0.995,110
1000,C_normative_only,5,5,true,7,117,true,66,65,68,68,0.0,0.9980742179201906,993,0.747254670606914,0.993,117
1000,C_normative_only,5,5,true,19,109,true,55,54,60,60,1.0,0.9985920323659123,988,0.7706011462224454,0.988,109
1000,C_normative_only,5,5,true,21,107,true,51,51,58,58,0.0,0.9983516178113634,980,0.7735906253806537,0.98,107
1000,C_normative_only,5,5,true,23,110,true,59,58,61,61,0.0,0.9979890298405606,995,0.7549083450611033,0.995,110
1000,C_normative_only,5,5,true,3,114,true,63,63,65,65,1.0,0.9979842484322983,991,0.7564447298135886,0.991,114
1000,C_normative_only,5,5,true,5,110,true,58,57,61,61,0.0,0.9981929380218763,989,0.7633204522641713,0.989,110
