theta_crystal,Phi,trial,N,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,2.0,28,1000,true,109,109,0.0,0.9996467904341351,953,0.8592587964137758,0.953,39,39,60,60,290,7631,244,0,1.0,15
3.0,2.0,10,1000,true,117,117,1.0,0.9968461520790098,999,0.6992399489694312,0.999,68,68,66,68,605,11918,479,125,1.0,26
3.0,0.5,13,1000,true,116,116,0.0,0.9995889004630194,960,0.8358295359929974,0.96,49,48,67,67,276,9033,236,0,1.0,20
3.0,0.0,25,1000,true,90,90,1.0,0.999128446507828,971,0.8555014934899723,0.971,29,29,41,41,106,0,77,0,1.0,17
3.0,1.0,2,1000,true,125,125,0.0,0.9974466370240033,997,0.7443462207367854,0.997,74,74,76,76,705,13162,483,219,1.0,45
3.0,1.0,21,1000,true,113,113,1.0,0.9990770561198842,972,0.7807258676132699,0.972,54,54,64,64,371,10544,343,0,1.0,24
3.0,5.0,18,1000,true,108,108,0.0,0.9975899167644963,995,0.6720813114829034,0.995,59,59,59,59,489,11059,463,21,1.0,22
3.0,2.0,29,1000,true,116,116,0.0,0.9975377709476906,996,0.6903033261871896,0.996,67,66,65,67,572,11893,473,95,1.0,32
3.0,2.0,11,1000,true,109,109,1.0,0.9991366550869082,975,0.7734705831086609,0.975,49,49,60,60,404,10153,379,0,1.0,19
3.0,0.5,14,1000,true,116,116,1.0,0.9998279034271649,963,0.8665328509831016,0.963,40,40,67,67,193,6496,156,0,1.0,17
3.0,0.0,26,1000,true,106,106,0.0,0.9992997819527647,973,0.8053595767564965,0.973,44,43,57,57,247,0,220,0,1.0,23
3.0,1.0,3,1000,true,107,107,0.0,0.9997191141738749,972,0.8646213371294624,0.972,37,36,58,58,164,5204,138,0,1.0,14
3.0,1.0,22,1000,true,113,113,1.0,0.9992189988810728,973,0.798797893801227,0.973,53,52,64,64,362,10138,335,0,1.0,21
3.0,2.0,30,1000,true,109,109,0.0,0.9985342155983309,989,0.7144662505519871,0.989,55,54,60,60,419,10862,404,4,1.0,21
3.0,5.0,19,1000,true,138,138,0.0,0.9989617079885725,993,0.7621874318709628,0.993,80,77,89,89,853,13576,598,248,1.0,52
3.0,0.5,15,1000,true,95,95,0.0,0.9993817199212195,988,0.8591719956462354,0.988,33,32,46,46,101,3670,89,0,1.0,6
3.0,2.0,12,1000,true,110,110,1.0,0.999061378434171,977,0.7606427289370135,0.977,52,52,61,61,415,10489,392,0,1.0,17
3.0,0.0,27,1000,true,106,106,1.0,0.9994478694328522,972,0.8203348653106732,0.972,43,42,57,57,224,0,196,0,1.0,22
3.0,1.0,4,1000,true,112,112,0.0,0.9991752654502515,976,0.795543987734684,0.976,53,52,63,63,351,10129,327,0,1.0,22
3.0,5.0,20,1000,true,107,107,1.0,0.9972568096820067,994,0.6757371128725885,0.994,57,56,58,58,461,10965,440,15,1.0,25
3.0,1.0,23,1000,true,112,112,0.0,0.999658753200021,965,0.8544132425775945,0.965,44,44,63,63,273,7971,238,0,1.0,18
3.0,0.5,16,1000,true,109,109,1.0,0.9996946702142483,965,0.8639537579875104,0.965,39,39,60,60,184,6134,149,0,1.0,14
3.0,5.0,1,1000,true,126,126,0.0,0.9977209310800705,998,0.7135722339501134,0.998,77,74,66,77,704,12707,535,167,1.0,44
3.0,2.0,13,1000,true,109,109,1.0,0.9989943890565849,978,0.7670419058837105,0.978,51,51,60,60,405,10247,383,0,1.0,18
3.0,0.0,28,1000,true,99,99,1.0,0.9995157518691611,974,0.8504321760681737,0.974,33,33,50,50,145,0,119,0,1.0,14
3.0,0.0,9,1000,true,109,109,0.0,0.9988206441957823,973,0.7603253122742842,0.973,54,53,60,60,308,0,275,6,1.0,28
3.0,1.0,5,1000,true,113,113,1.0,0.9991570029488387,965,0.7832033732181525,0.965,54,52,64,64,373,10521,338,0,1.0,20
