N,condition,exp_level,norm_on,trial,converged,conv_tick,first_beh_tick,first_cryst_50,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err,mean_enforce,total_ticks
2000,None_noNorm,none,false,9,false,0,0,0,0.497,0.5045,0,0.0,0.19158099999999917,0.0,5000
2000,None_noNorm,none,false,7,false,0,0,0,0.513,0.5165,0,0.0,0.18492999999999893,0.0,5000
2000,None_noNorm,none,false,5,false,0,0,0,0.512,0.503,0,0.0,0.18671500000000088,0.0,5000
2000,None_noNorm,none,false,1,false,0,0,0,0.499,0.5105,0,0.0,0.18522649999999638,0.0,5000
2000,None_noNorm,none,false,21,false,0,0,0,0.518,0.503,0,0.0,0.18931000000000062,0.0,5000
2000,None_noNorm,none,false,27,false,0,0,0,0.5,0.504,0,0.0,0.18763199999999905,0.0,5000
2000,None_noNorm,none,false,19,false,0,0,0,0.51,0.513,0,0.0,0.18657799999999616,0.0,5000
2000,None_noNorm,none,false,25,false,0,0,0,0.53,0.502,0,0.0,0.18537800000000185,0.0,5000
2000,None_noNorm,none,false,30,false,0,0,0,0.487,0.5025,0,0.0,0.19029250000000586,0.0,5000
2000,None_noNorm,none,false,23,false,0,0,0,0.493,0.5085,0,0.0,0.1878209999999973,0.0,5000
2000,None_noNorm,none,false,29,false,0,0,0,0.486,0.519,0,0.0,0.1862430000000044,0.0,5000
2000,None_noNorm,none,false,11,false,0,0,0,0.493,0.5145,0,0.0,0.18755650000000612,0.0,5000
2000,None_noNorm,none,false,3,false,0,0,0,0.467,0.5065,0,0.0,0.19204150000000159,0.0,5000
2000,None_noNorm,none,false,15,false,0,0,0,0.497,0.5255000000000001,0,0.0,0.18586449999999616,0.0,5000
2000,None_noNorm,none,false,13,false,0,0,0,0.484,0.523,0,0.0,0.18715499999999574,0.0,5000
2000,None_noNorm,none,false,17,false,0,0,0,0.517,0.5025,0,0.0,0.1876075000000063,0.0,5000
2000,None_noNorm,none,false,10,false,0,0,0,0.496,0.504,0,0.0,0.18733199999999897,0.0,5000
2000,None_noNorm,none,false,8,false,0,0,0,0.525,0.5035,0,0.0,0.18731049999999697,0.0,5000
2000,None_noNorm,none,false,20,false,0,0,0,0.496,0.512,0,0.0,0.18920800000000462,0.0,5000
2000,None_noNorm,none,false,28,false,0,0,0,0.475,0.5115000000000001,0,0.0,0.19013900000000133,0.0,5000
2000,None_noNorm,none,false,22,false,0,0,0,0.484,0.521,0,0.0,0.18738800000000022,0.0,5000
2000,None_noNorm,none,false,6,false,0,0,0,0.484,0.515,0,0.0,0.18602500000000108,0.0,5000
2000,None_noNorm,none,false,26,false,0,0,0,0.495,0.5015,0,0.0,0.1873954999999963,0.0,5000
2000,None_noNorm,none,false,2,false,0,0,0,0.521,0.5005,0,0.0,0.1825885000000011,0.0,5000
2000,None_noNorm,none,false,24,false,0,0,0,0.472,0.512,0,0.0,0.18870400000000498,0.0,5000
2000,None_noNorm,none,false,12,false,0,0,0,0.49,0.511,0,0.0,0.187487999999996,0.0,5000
2000,None_noNorm,none,false,4,false,0,0,0,0.51,0.508,0,0.0,0.1878439999999992,0.0,5000
2000,None_noNorm,none,false,16,false,0,0,0,0.476,0.518,0,0.0,0.1902059999999964,0.0,5000
2000,None_noNorm,none,false,14,false,0,0,0,0.47,0.505,0,0.0,0.18960500000000458,0.0,5000
2000,None_noNorm,none,false,18,false,0,0,0,0.495,0.5015,0,0.0,0.18700599999999623,0.0,5000
2000,None_Norm,none,true,23,false,0,0,20,0.516,0.589,1381,0.5475080144319406,0.16700200000000415,0.0,5000
2000,None_Norm,none,true,3,false,0,0,21,0.563,0.6054999999999999,1367,0.513189504464339,0.1675369999999995,0.0,5000
2000,None_Norm,none,true,19,false,0,0,21,0.52,0.619,1348,0.5380709510522528,0.17296599999999945,0.0,5000
2000,None_Norm,none,true,29,false,0,0,21,0.517,0.6085,1350,0.524576106230919,0.173571000000003,0.0,5000
2000,None_Norm,none,true,15,false,0,0,21,0.521,0.5895,1331,0.5449270779619119,0.17364350000000145,0.0,5000
2000,None_Norm,none,true,17,false,0,0,20,0.506,0.606,1390,0.522400447565902,0.17011999999999855,0.0,5000
2000,None_Norm,none,true,9,false,0,0,20,0.513,0.6045,1408,0.5044534226777935,0.16550750000000067,0.0,5000
2000,None_Norm,none,true,7,false,0,0,21,0.517,0.6165,1332,0.5252412826543488,0.16774400000000095,0.0,5000
2000,None_Norm,none,true,5,false,0,0,20,0.539,0.5965,1391,0.5430759082177131,0.1625544999999987,0.0,5000
2000,None_Norm,none,true,11,false,0,0,21,0.514,0.604,1343,0.5292219603263719,0.16988000000000247,0.0,5000
2000,None_Norm,none,true,27,false,0,0,20,0.509,0.5954999999999999,1366,0.5305541678331462,0.1662345000000006,0.0,5000
2000,None_Norm,none,true,25,false,0,0,21,0.54,0.601,1337,0.5334054281476526,0.16543500000000136,0.0,5000
2000,None_Norm,none,true,1,false,0,0,21,0.519,0.5875,1361,0.5386239801114882,0.16724999999999673,0.0,5000
2000,None_Norm,none,true,13,false,0,0,21,0.526,0.6,1332,0.5255444156611111,0.16399999999999657,0.0,5000
2000,None_Norm,none,true,30,false,0,0,20,0.533,0.5775,1340,0.5294587110321107,0.1721275000000015,0.0,5000
2000,None_Norm,none,true,21,false,0,0,20,0.492,0.592,1389,0.5293980727344029,0.17111200000000162,0.0,5000
2000,None_Norm,none,true,24,false,0,0,21,0.531,0.5875,1349,0.5270550344877628,0.1690624999999969,0.0,5000
2000,None_Norm,none,true,4,false,0,0,20,0.514,0.588,1372,0.5405611091622985,0.17403199999999652,0.0,5000
2000,None_Norm,none,true,20,false,0,0,20,0.533,0.5825,1291,0.5169927892793281,0.16838249999999932,0.0,5000
2000,None_Norm,none,true,16,false,0,0,20,0.505,0.6094999999999999,1411,0.5281222372322981,0.17093049999999713,0.0,5000
2000,None_Norm,none,true,18,false,0,0,21,0.518,0.606,1351,0.5343009317199089,0.16449799999999853,0.0,5000
2000,None_Norm,none,true,10,false,0,0,21,0.519,0.5935,1320,0.534081264388862,0.16135049999999967,0.0,5000
2000,None_Norm,none,true,6,false,0,0,20,0.521,0.6085,1361,0.5338542345991687,0.17260300000000212,0.0,5000
