theta_crystal,Phi,trial,N,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
5.0,0.7,17,1000,true,92,92,0.0,0.9986167129530844,958,0.8524313218019641,0.958,37,36,43,43,24,1698,0,0,1.0,6
3.0,0.0,1,1000,true,105,105,1.0,0.9989467026454019,981,0.783140840029354,0.981,47,47,56,56,264,0,245,0,1.0,23
5.0,0.3,15,1000,true,104,104,0.0,0.9988107737468496,927,0.8562464535588464,0.927,49,48,55,55,64,3472,1,0,1.0,12
3.0,2.0,9,1000,true,110,110,0.0,0.9994929611563858,974,0.8305916946938074,0.974,46,45,61,61,345,9018,319,0,1.0,18
3.0,0.5,5,1000,true,112,112,0.0,0.9996667138965422,968,0.8614033237090365,0.968,43,42,63,63,206,7019,174,0,1.0,20
3.0,0.2,3,1000,true,113,113,1.0,0.9996635643584012,964,0.8611745729074005,0.964,44,43,64,64,212,7313,176,0,1.0,17
5.0,0.1,13,1000,true,101,101,0.0,0.9987088689592541,930,0.8555815755174303,0.93,45,45,52,52,53,3020,0,0,1.0,11
3.0,1.0,7,1000,true,114,114,1.0,0.9998126473530137,960,0.8674114480979064,0.96,39,39,65,65,211,6583,171,0,1.0,17
3.0,5.0,11,1000,true,124,124,1.0,0.9967489814582009,988,0.7301374668638166,0.988,71,70,65,71,735,12367,520,203,1.0,42
7.0,1.0,29,1000,true,127,127,1.0,0.9999014698398626,906,0.8689172225493916,0.906,47,46,78,78,12,1382,0,0,1.0,6
5.0,1.5,19,1000,true,150,150,0.0,0.9985544622410705,967,0.7382431933190459,0.967,95,94,101,101,587,13741,424,130,1.0,47
5.0,0.7,18,1000,true,105,105,1.0,0.9992148715944006,926,0.8583982653282126,0.926,45,44,56,56,61,3119,4,0,1.0,11
5.0,0.3,16,1000,true,101,101,0.0,0.9989142207709304,941,0.8557952280286244,0.941,44,44,52,52,50,2825,1,0,1.0,11
3.0,0.0,2,1000,true,106,106,0.0,0.9993266924285307,973,0.8108488159173545,0.973,43,43,57,57,242,0,215,0,1.0,22
3.0,2.0,10,1000,true,110,110,0.0,0.9991607599181269,968,0.7678011881041665,0.968,51,50,61,61,400,10337,369,0,1.0,19
3.0,1.0,8,1000,true,108,108,1.0,0.9997171186923677,969,0.8644633847302209,0.969,37,37,59,59,188,5752,157,0,1.0,11
3.0,0.2,4,1000,true,118,118,0.0,0.9998149574030228,962,0.866134337828335,0.962,43,43,69,69,205,7027,167,0,1.0,18
3.0,0.5,6,1000,true,116,116,0.0,0.9987595892346365,983,0.7710114695153114,0.983,59,59,67,67,366,11162,348,1,1.0,26
5.0,1.5,20,1000,true,98,98,0.0,0.9988772868236683,924,0.8561843560460431,0.924,40,40,49,49,51,2661,1,0,1.0,10
3.0,5.0,12,1000,true,138,138,1.0,0.9989990803329543,984,0.8030294419850568,0.984,80,78,89,89,961,13753,578,367,1.0,46
5.0,0.3,17,1000,true,97,97,0.0,0.9985806513776165,942,0.8539083542833661,0.942,43,42,48,48,40,2456,2,0,1.0,7
5.0,0.7,19,1000,true,123,123,0.0,0.9997926764875548,906,0.8687154432372951,0.906,50,50,74,74,91,4238,9,0,1.0,13
3.0,1.0,9,1000,true,105,105,1.0,0.999721705537534,970,0.8647011670595885,0.97,34,34,56,56,147,4846,117,0,1.0,9
3.0,2.0,11,1000,true,110,110,1.0,0.9997420294689258,960,0.8636977063959743,0.96,40,38,61,61,251,6783,212,0,1.0,16
3.0,0.2,5,1000,true,108,108,0.0,0.9996331750358416,981,0.8631173921218369,0.981,40,39,59,59,162,5668,143,0,1.0,11
3.0,0.0,3,1000,true,113,113,0.0,0.9979945953299851,983,0.7392546484792684,0.983,59,59,64,64,390,0,329,45,1.0,31
3.0,0.5,7,1000,true,119,119,0.0,0.999808270580591,954,0.862236550940858,0.954,44,44,70,70,232,7627,186,0,1.0,15
3.0,5.0,13,1000,true,106,106,0.0,0.9995407033902861,956,0.8490200147590249,0.956,40,39,57,57,330,8059,286,0,1.0,12
5.0,0.3,18,1000,true,106,106,0.0,0.9986074564802452,930,0.8555600177449728,0.93,51,51,57,57,67,3764,3,0,1.0,12
3.0,2.0,12,1000,true,110,110,1.0,0.9997005974128492,954,0.8589817823245706,0.954,40,39,61,61,283,7518,237,0,1.0,16
