theta_crystal,Phi,trial,N,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,1.0,17,10000,true,113,113,0.0,0.9995369198273673,9621,0.83768679319921,0.9621,48,47,64,64,3107,89823,2729,1,1.0,28
3.0,0.5,9,10000,true,115,115,0.0,0.999542073001923,9655,0.8408648888473889,0.9655,50,49,66,66,2789,89435,2444,0,1.0,27
3.0,2.0,25,10000,true,117,117,0.0,0.9971890667101352,9970,0.7053597668499733,0.997,68,67,67,68,6221,120296,4781,1410,1.0,50
3.0,0.0,20,10000,true,107,107,1.0,0.9992075790305059,9786,0.7954761730198726,0.9786,47,46,58,58,2621,0,2403,5,1.0,30
3.0,0.0,1,10000,true,122,122,1.0,0.9979984154800912,9912,0.760493908597133,0.9912,70,70,73,73,6030,0,4118,1824,1.0,55
3.0,2.0,6,10000,true,111,111,0.0,0.9972055322375929,9964,0.6729823344875315,0.9964,62,61,62,62,4768,115419,4509,223,1.0,44
3.0,0.5,28,10000,true,116,116,1.0,0.9993981403412113,9683,0.8205532279350447,0.9683,53,52,67,67,3124,98472,2807,0,1.0,30
3.0,5.0,14,10000,true,148,148,1.0,0.9993995585852792,9841,0.787886395943042,0.9841,84,83,99,99,9648,147485,6482,3007,1.0,75
3.0,1.0,18,10000,true,114,114,1.0,0.9986695015095692,9835,0.7417105667458651,0.9835,58,58,65,65,4021,112178,3843,13,1.0,32
3.0,0.5,10,10000,true,117,117,1.0,0.9991152900542749,9771,0.7809632271238043,0.9771,58,57,68,68,3515,108644,3276,10,1.0,34
3.0,2.0,26,10000,true,112,112,1.0,0.9974439623343158,9970,0.6744875227377561,0.997,63,62,62,63,4837,115721,4557,250,1.0,44
3.0,0.0,21,10000,true,117,117,1.0,0.9982010856715094,9918,0.7429936369722232,0.9918,64,63,68,68,4697,0,3741,874,1.0,46
3.0,0.0,2,10000,true,107,107,1.0,0.9991997744997254,9780,0.7905529122989524,0.978,47,46,58,58,2667,0,2443,5,1.0,31
3.0,2.0,7,10000,true,110,110,0.0001,0.9972517171089574,9935,0.6892963018536256,0.9935,59,58,61,61,4489,112760,4351,73,1.0,37
3.0,0.5,29,10000,true,122,122,0.0001,0.99760110912691,9938,0.7164996087230561,0.9938,71,71,73,73,4733,127609,4155,516,1.0,47
3.0,5.0,15,10000,true,148,148,1.0,0.9994094717712653,9846,0.7990659916899481,0.9846,84,82,99,99,9871,147277,6465,3252,1.0,76
3.0,1.0,19,10000,true,120,120,1.0,0.9972064429670044,9975,0.7117288956627967,0.9975,71,71,71,71,5826,127174,4621,1180,1.0,48
3.0,0.5,11,10000,true,119,119,1.0,0.9983010104116243,9894,0.7306119197067654,0.9894,66,65,70,70,3985,119422,3779,100,1.0,40
3.0,0.0,3,10000,true,107,107,1.0,0.9990875819316593,9789,0.785328679775514,0.9789,48,47,58,58,2720,0,2495,14,1.0,31
3.0,2.0,27,10000,true,116,116,0.0,0.9972293854512724,9972,0.6924531350188059,0.9972,67,66,65,67,5776,118918,4750,998,1.0,48
3.0,0.0,22,10000,true,112,112,0.0,0.9983345747502622,9898,0.7435448814362805,0.9898,58,58,63,63,3764,0,3329,333,1.0,39
