theta_crystal,Phi,trial,N,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,0.0,1,20000,true,109,109,0.0,0.9987381500079462,19668,0.7591260611362384,0.9834,53,52,60,60,6319,0,5847,140,1.0,37
3.0,0.0,20,20000,true,110,110,0.0,0.9986947006130332,19683,0.754351301401521,0.98415,54,53,61,61,6473,0,5963,194,1.0,38
3.0,2.0,6,20000,true,116,116,0.0,0.9973676055049007,19965,0.6918102507027533,0.99825,67,66,65,67,11526,237640,9460,2031,1.0,51
3.0,0.5,28,20000,true,118,118,1.0,0.9986081429134087,19716,0.7448898815331905,0.9858,63,63,69,69,7671,234017,7313,74,1.0,38
3.0,0.5,9,20000,true,117,117,1.0,0.9991650638586694,19509,0.7882452033895788,0.97545,57,56,68,68,6900,215181,6398,11,1.0,35
3.0,2.0,25,20000,true,145,145,1.0,0.9993220822202186,19672,0.8221784102128125,0.9836,83,83,96,96,20204,295406,12012,7864,1.0,68
3.0,5.0,14,20000,true,166,166,5.0e-5,0.9963077799559503,19739,0.6729573456528095,0.98695,117,114,111,117,30753,455105,19847,10645,1.0,108
3.0,1.0,17,20000,true,180,180,0.0,0.9974742831670628,19879,0.7219726102525527,0.99395,131,130,131,131,31097,503186,19829,11147,1.0,109
3.0,0.0,21,20000,true,110,110,1.0,0.99869490622255,19718,0.7546246440525322,0.9859,54,54,61,61,6516,0,6011,223,1.0,38
3.0,0.0,2,20000,true,117,117,0.0,0.9980648903875347,19824,0.7461057179853857,0.9912,65,64,68,68,9858,0,7556,2126,1.0,50
3.0,0.5,29,20000,true,114,114,0.0,0.9996028309473562,19218,0.8519502671280318,0.9609,47,46,65,65,5112,164928,4330,0,1.0,27
3.0,0.5,10,20000,true,116,116,1.0,0.9992791565862135,19463,0.8069134678736067,0.97315,55,54,67,67,6533,204883,5994,2,1.0,31
3.0,2.0,26,20000,true,115,115,0.0,0.9973321975969127,19951,0.6855663061863673,0.99755,66,65,64,66,11058,236879,9415,1594,1.0,49
3.0,2.0,7,20000,true,157,157,1.0,0.999607851445996,19464,0.8442743010539419,0.9732,90,89,108,108,23252,341742,14117,8599,1.0,74
3.0,1.0,18,20000,true,113,113,0.0,0.9994868462942571,19277,0.8333519022273067,0.96385,49,48,64,64,6388,184612,5667,0,1.0,29
3.0,0.0,22,20000,true,110,110,0.0,0.9985890928415787,19697,0.749889056541928,0.98485,55,54,61,61,6746,0,6173,270,1.0,40
3.0,0.0,3,20000,true,114,114,0.0,0.9983553613245102,19779,0.7412412092511109,0.98895,60,60,65,65,8092,0,6895,980,1.0,42
3.0,5.0,15,20000,true,157,157,0.0,0.9994172247403591,19320,0.8247574627592598,0.966,91,90,108,108,25107,366123,16173,8254,1.0,91
3.0,0.5,30,20000,true,118,118,1.0,0.9985377368682402,19739,0.7391337050814372,0.98695,63,63,69,69,7802,235848,7420,121,1.0,39
3.0,0.5,11,20000,true,120,120,1.0,0.9980688983000023,19799,0.7206672108010986,0.98995,68,67,71,71,8480,246463,7894,385,1.0,43
3.0,2.0,8,20000,true,110,110,1.0,0.997492561297549,19907,0.6814006170811957,0.99535,60,60,61,61,9173,227484,8863,217,1.0,42
3.0,2.0,27,20000,true,118,118,1.0,0.9971617739407022,19924,0.7098595940789828,0.9962,69,68,67,69,12782,242295,9660,3046,1.0,55
3.0,0.0,23,20000,true,111,111,1.0,0.9985923483810418,19744,0.7473439325768376,0.9872,56,55,62,62,6899,0,6282,362,1.0,41
3.0,0.0,4,20000,true,112,112,1.0,0.9986035948314098,19741,0.7444329609401062,0.98705,57,56,63,63,7198,0,6456,484,1.0,39
