theta_crystal,Phi,trial,N,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,1.0,8,5000,true,124,124,1.0,0.9973193842248947,4978,0.7456741748642284,0.9956,75,75,75,75,3497,65537,2388,1087,1.0,52
3.0,5.0,6,5000,true,124,124,1.0,0.9971188032267215,4926,0.7179791288533499,0.9852,75,73,66,75,3592,63071,2605,913,1.0,62
3.0,1.0,9,5000,true,114,114,1.0,0.9988394578482582,4895,0.7596339713370998,0.979,57,56,65,65,1942,54870,1832,5,1.0,32
3.0,0.0,12,5000,true,108,108,1.0,0.9988777528864204,4922,0.7686507763678253,0.9844,51,50,59,59,1496,0,1402,17,1.0,31
3.0,5.0,7,5000,true,158,158,1.0,0.99841020517966,4868,0.7480580476243471,0.9736,100,99,109,109,7032,105093,4541,2359,1.0,90
3.0,1.0,10,5000,true,119,119,1.0,0.9973172099227431,4983,0.6984779359362386,0.9966,70,69,70,70,2668,62755,2259,392,1.0,41
3.0,0.0,13,5000,true,109,109,0.0,0.9986274865311637,4942,0.7531969212652827,0.9884,53,53,60,60,1591,0,1499,34,1.0,33
3.0,5.0,8,5000,true,109,109,1.0,0.9972225763761516,4981,0.669483748665252,0.9962,60,59,59,60,2485,55825,2293,173,1.0,38
3.0,1.0,11,5000,true,124,124,1.0,0.997215396590847,4981,0.7379470539828767,0.9962,75,75,75,75,3439,65247,2418,1002,1.0,52
3.0,0.0,14,5000,true,107,107,0.0,0.9990949629245537,4915,0.7880066234156622,0.983,48,47,58,58,1351,0,1265,2,1.0,31
3.0,5.0,9,5000,true,110,110,0.0,0.9966846746326719,4993,0.6680342865847195,0.9986,61,61,60,61,2594,56217,2335,252,1.0,39
3.0,1.0,12,5000,true,114,114,0.0,0.9991814868982845,4861,0.7903374778978377,0.9722,54,53,65,65,1830,52144,1690,1,1.0,30
3.0,5.0,10,5000,true,107,107,0.0,0.9971331246442089,4930,0.682846214515101,0.986,57,55,58,58,2292,54707,2166,56,1.0,36
3.0,0.0,15,5000,true,106,106,1.0,0.9990735059940326,4888,0.790613584413362,0.9776,47,46,57,57,1323,0,1207,4,1.0,31
3.0,1.0,13,5000,true,112,112,0.0,0.9995891219191805,4814,0.8495531365105399,0.9628,46,45,63,63,1421,41649,1235,0,1.0,25
3.0,5.0,11,5000,true,111,111,1.0,0.9971698505862221,4977,0.6669424815506401,0.9954,62,60,59,62,2466,56398,2286,157,1.0,45
3.0,0.0,16,5000,true,116,116,0.0,0.9981071232819346,4949,0.743988452201354,0.9898,64,63,67,67,2386,0,1863,472,1.0,45
3.0,1.0,14,5000,true,114,114,0.0,0.9987501831418858,4931,0.745405295308077,0.9862,58,57,65,65,2001,55971,1925,7,1.0,32
3.0,5.0,12,5000,true,147,147,0.0,0.9993998612335968,4906,0.7892552648267501,0.9812,84,82,98,98,4806,73153,3211,1501,1.0,72
3.0,1.0,15,5000,true,115,115,1.0,0.9981718119023748,4951,0.7090991108073925,0.9902,63,62,66,66,2193,59078,2097,47,1.0,34
3.0,5.0,13,5000,true,107,107,0.0,0.9980167164322649,4967,0.692880273262795,0.9934,56,55,58,58,2242,53806,2185,24,1.0,28
3.0,0.0,17,5000,true,118,118,1.0,0.9980896971343626,4964,0.7533120456076062,0.9928,66,65,69,69,2606,0,1933,637,1.0,48
3.0,0.0,18,5000,true,107,107,1.0,0.9987672123449476,4931,0.7680485049804807,0.9862,51,50,58,58,1477,0,1392,16,1.0,30
3.0,1.0,16,5000,true,171,171,0.0,0.9994223045870342,4853,0.822994969908562,0.9706,108,106,122,122,6307,105560,3921,2239,1.0,82
3.0,5.0,14,5000,true,125,125,0.0,0.9973150332021392,4938,0.7461475266123996,0.9876,76,73,68,76,3966,63757,2731,1173,1.0,61
3.0,0.0,19,5000,true,112,112,0.0,0.9983030954376045,4945,0.7410501310092161,0.989,58,58,63,63,1905,0,1690,160,1.0,40
3.0,1.0,17,5000,true,116,116,0.0,0.9976216715104883,4973,0.6921858297581645,0.9946,66,65,67,67,2335,61000,2170,138,1.0,36
3.0,5.0,15,5000,true,116,116,0.0,0.9963870900550439,4929,0.7038036735505545,0.9858,67,66,64,67,3262,59474,2445,746,1.0,50
3.0,1.0,18,5000,true,114,114,1.0,0.9989575914714067,4913,0.7637474872949513,0.9826,57,55,65,65,1942,54617,1854,1,1.0,31
3.0,0.0,20,5000,true,108,108,1.0,0.9990144724979279,4914,0.7750785880472137,0.9828,50,49,59,59,1459,0,1366,8,1.0,29
3.0,1.0,19,5000,true,113,113,1.0,0.9995827155413288,4804,0.8424590852991631,0.9608,47,46,64,64,1509,43729,1314,0,1.0,23
3.0,5.0,16,5000,true,209,209,1.0,0.9990878201037251,4850,0.7941518866744,0.97,144,143,160,160,11605,152681,6955,4500,1.0,137
3.0,0.0,21,5000,true,115,115,1.0,0.9983457936083608,4954,0.7393943510770071,0.9908,62,61,66,66,2154,0,1799,309,1.0,41
3.0,1.0,20,5000,true,115,115,0.0,0.9981248924051211,4952,0.7152509786716467,0.9904,62,62,66,66,2103,58751,2024,31,1.0,35
3.0,5.0,17,5000,true,126,126,1.0,0.9970347399900317,4915,0.7382932642933193,0.983,77,76,73,77,3989,65795,2769,1135,1.0,64
3.0,0.0,22,5000,true,109,109,0.0,0.9986113953574888,4932,0.75345685975246,0.9864,54,54,60,60,1650,0,1524,58,1.0,35
3.0,1.0,21,5000,true,110,110,1.0,0.9996779927849091,4807,0.8621391077399535,0.9614,41,40,61,61,1127,34542,935,0,1.0,21
3.0,5.0,18,5000,true,106,106,1.0,0.9974269017456713,4943,0.6862188256829196,0.9886,56,54,57,57,2225,54216,2127,41,1.0,36
3.0,1.0,22,5000,true,114,114,0.0,0.9994256545429898,4853,0.8155257705612347,0.9706,51,50,65,65,1698,48987,1551,0,1.0,25
3.0,0.0,23,5000,true,105,105,1.0,0.9993180826475313,4865,0.8152266097538251,0.973,43,42,56,56,1141,0,1006,0,1.0,26
3.0,5.0,19,5000,true,114,114,1.0,0.996662923543989,4957,0.6670810416484879,0.9914,65,63,60,65,2597,57924,2309,245,1.0,50
3.0,1.0,23,5000,true,115,115,1.0,0.9985750658335192,4928,0.7355820797045867,0.9856,60,59,66,66,2047,57237,1964,11,1.0,33
3.0,0.0,24,5000,true,124,124,0.0,0.9979661629354362,4951,0.7723526347852325,0.9902,72,72,75,75,3261,0,2146,1066,1.0,54
3.0,5.0,20,5000,true,157,157,1.0,0.9993216562671136,4827,0.8188768293156129,0.9654,93,92,108,108,6605,96484,4221,2211,1.0,79
3.0,1.0,24,5000,true,114,114,1.0,0.9992776055839364,4877,0.7952916391602868,0.9754,53,52,65,65,1806,51394,1683,0,1.0,29
3.0,0.0,25,5000,true,105,105,1.0,0.9991904253535072,4869,0.8003299438523748,0.9738,45,44,56,56,1225,0,1093,1,1.0,28
3.0,1.0,25,5000,true,114,114,0.0,0.9992457838941574,4862,0.7943659306142434,0.9724,53,52,65,65,1821,51906,1682,1,1.0,29
3.0,5.0,21,5000,true,120,120,1.0,0.9967017381805033,4931,0.714761844738428,0.9862,71,67,65,71,3475,61264,2554,852,1.0,56
3.0,0.0,26,5000,true,106,106,0.0,0.9990461244781249,4907,0.7903390098745785,0.9814,47,46,57,57,1291,0,1196,2,1.0,27
3.0,1.0,26,5000,true,115,115,0.0,0.9981922788970238,4958,0.7094701904309607,0.9916,63,62,66,66,2129,59049,2045,42,1.0,37
3.0,5.0,22,5000,true,120,120,1.0,0.9969871792254217,4941,0.7081669101080466,0.9882,71,67,64,71,3342,60820,2507,776,1.0,56
3.0,0.0,27,5000,true,118,118,1.0,0.9981190061946931,4964,0.7516771724614004,0.9928,66,65,69,69,2565,0,1919,610,1.0,45
3.0,1.0,27,5000,true,163,163,0.0,0.9995924515799254,4895,0.8456025320082102,0.979,95,95,114,114,5571,88871,3299,2167,1.0,71
3.0,0.0,28,5000,true,103,103,1.0,0.9994929896204372,4848,0.8407520298147761,0.9696,38,37,54,54,932,0,780,0,1.0,20
3.0,5.0,23,5000,true,156,156,0.0,0.9995779657377311,4839,0.8386437081242567,0.9678,89,89,107,107,6179,88181,3913,2105,1.0,75
3.0,1.0,28,5000,true,114,114,1.0,0.9982307633062661,4950,0.7136453192155499,0.99,62,61,65,65,2084,58193,2012,22,1.0,35
3.0,0.0,29,5000,true,106,106,1.0,0.9992537036960945,4889,0.8032300084209539,0.9778,45,44,57,57,1253,0,1140,2,1.0,26
