N,condition,exp_level,norm_on,trial,converged,conv_tick,first_beh_tick,first_cryst_50,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err,mean_enforce,total_ticks
20000,None_noNorm,none,false,11,false,0,0,0,0.5005,0.50625,0,0.0,0.18673999999998045,0.0,10000
20000,None_noNorm,none,false,30,false,0,0,0,0.4996,0.5049,0,0.0,0.18799872999997977,0.0,10000
20000,None_noNorm,none,false,3,false,0,0,0,0.509,0.5039,0,0.0,0.18703440000004073,0.0,10000
20000,None_noNorm,none,false,7,false,0,0,0,0.4989,0.50335,0,0.0,0.18862530999999844,0.0,10000
20000,None_noNorm,none,false,29,false,0,0,0,0.4983,0.50415,0,0.0,0.1856792500000151,0.0,10000
20000,None_noNorm,none,false,17,false,0,0,0,0.5045,0.50525,0,0.0,0.18901270000003173,0.0,10000
20000,None_noNorm,none,false,23,false,0,0,0,0.4984,0.5019,0,0.0,0.18859442000001575,0.0,10000
20000,None_noNorm,none,false,27,false,0,0,0,0.5021,0.50215,0,0.0,0.18706860000003458,0.0,10000
20000,None_noNorm,none,false,25,false,0,0,0,0.4907,0.50185,0,0.0,0.18671018499997719,0.0,10000
20000,None_noNorm,none,false,15,false,0,0,0,0.4994,0.5017,0,0.0,0.1868779000000321,0.0,10000
20000,None_noNorm,none,false,9,false,0,0,0,0.5092,0.5017,0,0.0,0.18724674000003405,0.0,10000
20000,None_noNorm,none,false,5,false,0,0,0,0.5014,0.5056,0,0.0,0.18878495999999811,0.0,10000
20000,None_noNorm,none,false,21,false,0,0,0,0.4975,0.50275,0,0.0,0.18764642499997644,0.0,10000
20000,None_noNorm,none,false,13,false,0,0,0,0.4961,0.50315,0,0.0,0.18695645499998217,0.0,10000
20000,None_noNorm,none,false,19,false,0,0,0,0.5063,0.50005,0,0.0,0.18728010499998085,0.0,10000
20000,None_noNorm,none,false,1,false,0,0,0,0.5059,0.50275,0,0.0,0.18738457499997896,0.0,10000
20000,None_noNorm,none,false,4,false,0,0,0,0.5022,0.503,0,0.0,0.18841530000004014,0.0,10000
